fits,Type,DATE-OBS,apparent_diameter_arcsec,mercury_sun_distance_au,mercury_sun_radial_velocity_km_s,mercury_earth_radial_velocity_km_s,phase_angle_deg,true_anomaly_deg,ecliptic_longitude_deg,ecliptic_latitude_deg,terminator_side,terminator_lon_delta_deg
C:/Users/hanac/univ/Mercury/Data/20250705/ledA17b_clf590n_1.fits,LED,2025-07-05T05:13:49,8.236207,0.454705,4.424795,-26.411196,102.373281,153.909331,231.379908,-0.378248,Dawn,-102.449849
C:/Users/hanac/univ/Mercury/Data/20250705/ledA17b_clf590n_2.fits,LED,2025-07-05T05:14:22,8.236266,0.454706,4.424620,-26.410749,102.374037,153.910440,231.381009,-0.378383,Dawn,-102.450614
C:/Users/hanac/univ/Mercury/Data/20250705/ledA17b_clf590n_3.fits,LED,2025-07-05T05:14:56,8.236326,0.454707,4.424440,-26.410291,102.374816,153.911582,231.382142,-0.378522,Dawn,-102.451402
C:/Users/hanac/univ/Mercury/Data/20250705/ledA17b_clf590n_4.fits,LED,2025-07-05T05:15:29,8.236385,0.454708,4.424266,-26.409849,102.375572,153.912690,231.383243,-0.378657,Dawn,-102.452167
C:/Users/hanac/univ/Mercury/Data/20250705/ledB07b_clf590n_1.fits,LED,2025-07-05T06:21:45,8.243461,0.454825,4.403198,-26.373701,102.466705,154.046185,231.515783,-0.394914,Dawn,-102.544352
C:/Users/hanac/univ/Mercury/Data/20250705/ledB07b_clf590n_2.fits,LED,2025-07-05T06:22:18,8.243519,0.454826,4.403023,-26.373545,102.467461,154.047293,231.516882,-0.395049,Dawn,-102.545118
C:/Users/hanac/univ/Mercury/Data/20250705/ledB07b_clf590n_3.fits,LED,2025-07-05T06:22:52,8.243580,0.454827,4.402843,-26.373387,102.468241,154.048434,231.518015,-0.395188,Dawn,-102.545906
C:/Users/hanac/univ/Mercury/Data/20250705/ledB07b_clf590n_4.fits,LED,2025-07-05T06:23:25,8.243639,0.454828,4.402668,-26.373235,102.468997,154.049542,231.519115,-0.395323,Dawn,-102.546672
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_1.fits,MERCURY,2025-07-05T05:19:14,8.236785,0.454715,4.423074,-26.406896,102.380728,153.920246,231.390745,-0.379577,Dawn,-102.457382
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_2.fits,MERCURY,2025-07-05T05:20:17,8.236897,0.454716,4.422740,-26.406089,102.382172,153.922362,231.392845,-0.379835,Dawn,-102.458842
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_3.fits,MERCURY,2025-07-05T05:21:18,8.237006,0.454718,4.422417,-26.405315,102.383570,153.924410,231.394879,-0.380084,Dawn,-102.460256
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_4.fits,MERCURY,2025-07-05T05:22:21,8.237118,0.454720,4.422083,-26.404524,102.385014,153.926526,231.396980,-0.380342,Dawn,-102.461717
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_5.fits,MERCURY,2025-07-05T05:23:25,8.237232,0.454722,4.421744,-26.403729,102.386480,153.928675,231.399114,-0.380604,Dawn,-102.463200
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_6.fits,MERCURY,2025-07-05T05:24:28,8.237344,0.454724,4.421410,-26.402955,102.387924,153.930791,231.401214,-0.380862,Dawn,-102.464661
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_7.fits,MERCURY,2025-07-05T05:25:32,8.237458,0.454726,4.421071,-26.402177,102.389391,153.932940,231.403348,-0.381123,Dawn,-102.466144
C:/Users/hanac/univ/Mercury/Data/20250705/meB01_clf590n_8.fits,MERCURY,2025-07-05T05:26:35,8.237570,0.454728,4.420738,-26.401420,102.390835,153.935056,231.405448,-0.381381,Dawn,-102.467605
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_1.fits,MERCURY,2025-07-05T05:29:14,8.237853,0.454732,4.419895,-26.399547,102.394478,153.940395,231.410750,-0.382031,Dawn,-102.471291
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_2.fits,MERCURY,2025-07-05T05:30:17,8.237965,0.454734,4.419562,-26.398820,102.395922,153.942511,231.412850,-0.382289,Dawn,-102.472751
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_3.fits,MERCURY,2025-07-05T05:31:20,8.238077,0.454736,4.419228,-26.398101,102.397366,153.944626,231.414950,-0.382546,Dawn,-102.474212
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_4.fits,MERCURY,2025-07-05T05:32:23,8.238189,0.454738,4.418894,-26.397391,102.398810,153.946742,231.417051,-0.382804,Dawn,-102.475672
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_5.fits,MERCURY,2025-07-05T05:33:27,8.238303,0.454740,4.418555,-26.396679,102.400277,153.948891,231.419184,-0.383066,Dawn,-102.477156
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_6.fits,MERCURY,2025-07-05T05:34:30,8.238415,0.454742,4.418221,-26.395986,102.401720,153.951006,231.421285,-0.383323,Dawn,-102.478616
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_7.fits,MERCURY,2025-07-05T05:35:34,8.238529,0.454744,4.417882,-26.395290,102.403187,153.953155,231.423418,-0.383585,Dawn,-102.480100
C:/Users/hanac/univ/Mercury/Data/20250705/meB02_clf590n_8.fits,MERCURY,2025-07-05T05:36:37,8.238641,0.454745,4.417548,-26.394614,102.404631,153.955271,231.425519,-0.383843,Dawn,-102.481561
C:/Users/hanac/univ/Mercury/Data/20250705/meB03_clf590n_1.fits,MERCURY,2025-07-05T05:39:13,8.238919,0.454750,4.416722,-26.392978,102.408206,153.960509,231.430719,-0.384481,Dawn,-102.485177
C:/Users/hanac/univ/Mercury/Data/20250705/meB03_clf590n_2.fits,MERCURY,2025-07-05T05:40:17,8.239033,0.454752,4.416383,-26.392321,102.409673,153.962658,231.432853,-0.384742,Dawn,-102.486661
C:/Users/hanac/univ/Mercury/Data/20250705/meB03_clf590n_3.fits,MERCURY,2025-07-05T05:41:20,8.239145,0.454754,4.416049,-26.391684,102.411117,153.964773,231.434953,-0.385000,Dawn,-102.488122
C:/Users/hanac/univ/Mercury/Data/20250705/meB03_clf590n_4.fits,MERCURY,2025-07-05T05:42:24,8.239259,0.454756,4.415710,-26.391045,102.412584,153.966922,231.437087,-0.385262,Dawn,-102.489605
C:/Users/hanac/univ/Mercury/Data/20250705/meB03_clf590n_5.fits,MERCURY,2025-07-05T05:43:27,8.239371,0.454758,4.415376,-26.390425,102.414028,153.969038,231.439187,-0.385519,Dawn,-102.491066
