fits,Type,DATE-OBS,apparent_diameter_arcsec,mercury_sun_distance_au,mercury_sun_radial_velocity_km_s,mercury_earth_radial_velocity_km_s,phase_angle_deg,true_anomaly_deg,ecliptic_longitude_deg,ecliptic_latitude_deg,terminator_side,terminator_lon_delta_deg,g_factor
C:/Users/hanac/univ/Mercury/Data/20251021/meE01_clf590n_1.fits,MERCURY,2025-10-21T03:51:09,5.783694,0.450988,-5.040863,-25.272781,57.367158,210.07638,287.38047,-6.01614,Dawn,-57.308226,0.24644290889827727
C:/Users/hanac/univ/Mercury/Data/20251021/meE01_clf590n_2.fits,MERCURY,2025-10-21T03:52:13,5.783748,0.450986,-5.041195,-25.272574,57.368391,210.078566,287.382663,-6.016277,Dawn,-57.309462,0.2464680108365221
C:/Users/hanac/univ/Mercury/Data/20251021/meE01_clf590n_3.fits,MERCURY,2025-10-21T03:53:16,5.783801,0.450984,-5.041522,-25.272378,57.369605,210.080718,287.384823,-6.016412,Dawn,-57.310678,0.24649273529270754
C:/Users/hanac/univ/Mercury/Data/20251021/meE01_clf590n_4.fits,MERCURY,2025-10-21T03:54:20,5.783854,0.450981,-5.041854,-25.272187,57.370838,210.082904,287.387016,-6.016549,Dawn,-57.311914,0.24651783836675645
C:/Users/hanac/univ/Mercury/Data/20251021/meE02_clf590n_1.fits,MERCURY,2025-10-21T03:56:50,5.78398,0.450976,-5.042632,-25.271769,57.373729,210.088028,287.392157,-6.016869,Dawn,-57.314811,0.24657666648176632
C:/Users/hanac/univ/Mercury/Data/20251021/meE02_clf590n_2.fits,MERCURY,2025-10-21T03:57:53,5.784033,0.450974,-5.042959,-25.271607,57.374943,210.090181,287.394316,-6.017004,Dawn,-57.316027,0.24660139337288225
C:/Users/hanac/univ/Mercury/Data/20251021/meE02_clf590n_3.fits,MERCURY,2025-10-21T03:58:57,5.784087,0.450972,-5.043291,-25.271451,57.376176,210.092367,287.39651,-6.017141,Dawn,-57.317263,0.24662649891643987
C:/Users/hanac/univ/Mercury/Data/20251021/meE02_clf590n_4.fits,MERCURY,2025-10-21T04:00:00,5.78414,0.45097,-5.043618,-25.271304,57.37739,210.094519,287.398669,-6.017276,Dawn,-57.31848,0.24665122692088806
C:/Users/hanac/univ/Mercury/Data/20251021/meE03_clf590n_1.fits,MERCURY,2025-10-21T04:02:29,5.784265,0.450965,-5.044391,-25.270989,57.380261,210.099609,287.403776,-6.017594,Dawn,-57.321358,0.24670968399803408
C:/Users/hanac/univ/Mercury/Data/20251021/meE03_clf590n_2.fits,MERCURY,2025-10-21T04:03:33,5.784319,0.450963,-5.044723,-25.270867,57.381495,210.101796,287.40597,-6.017731,Dawn,-57.322594,0.2467347919906508
C:/Users/hanac/univ/Mercury/Data/20251021/meE03_clf590n_3.fits,MERCURY,2025-10-21T04:04:36,5.784372,0.450961,-5.04505,-25.270756,57.382709,210.103948,287.408129,-6.017866,Dawn,-57.323811,0.24675952240756102
C:/Users/hanac/univ/Mercury/Data/20251021/meE03_clf590n_4.fits,MERCURY,2025-10-21T04:05:40,5.784425,0.450958,-5.045382,-25.27065,57.383942,210.106135,287.410323,-6.018003,Dawn,-57.325047,0.24678463152812644
C:/Users/hanac/univ/Mercury/Data/20251021/meE04_clf590n_1.fits,MERCURY,2025-10-21T04:08:10,5.784551,0.450953,-5.04616,-25.270434,57.386833,210.111259,287.415465,-6.018323,Dawn,-57.327945,0.24684347379012647
C:/Users/hanac/univ/Mercury/Data/20251021/meE04_clf590n_2.fits,MERCURY,2025-10-21T04:09:13,5.784604,0.450951,-5.046487,-25.270357,57.388048,210.113412,287.417624,-6.018458,Dawn,-57.329162,0.2468682066180088
C:/Users/hanac/univ/Mercury/Data/20251021/meE04_clf590n_3.fits,MERCURY,2025-10-21T04:10:16,5.784657,0.450949,-5.046814,-25.270288,57.389262,210.115564,287.419784,-6.018593,Dawn,-57.330379,0.24689293999393427
C:/Users/hanac/univ/Mercury/Data/20251021/meE04_clf590n_4.fits,MERCURY,2025-10-21T04:11:20,5.784711,0.450947,-5.047146,-25.270226,57.390496,210.117751,287.421977,-6.01873,Dawn,-57.331615,0.2469180521156233
C:/Users/hanac/univ/Mercury/Data/20251021/meE05_clf590n_1.fits,MERCURY,2025-10-21T04:13:49,5.784836,0.450942,-5.047919,-25.270114,57.393368,210.122842,287.427085,-6.019048,Dawn,-57.334494,0.2469765231818586
C:/Users/hanac/univ/Mercury/Data/20251021/meE05_clf590n_2.fits,MERCURY,2025-10-21T04:14:53,5.78489,0.45094,-5.048251,-25.270079,57.394602,210.125028,287.429279,-6.019185,Dawn,-57.33573,0.24700163717574447
C:/Users/hanac/univ/Mercury/Data/20251021/meE05_clf590n_3.fits,MERCURY,2025-10-21T04:15:56,5.784943,0.450938,-5.048578,-25.270053,57.395816,210.127181,287.431439,-6.019319,Dawn,-57.336947,0.24702637349628814
C:/Users/hanac/univ/Mercury/Data/20251021/meE05_clf590n_4.fits,MERCURY,2025-10-21T04:17:00,5.784997,0.450936,-5.04891,-25.270035,57.39705,210.129368,287.433632,-6.019456,Dawn,-57.338184,0.24705148860443904
C:/Users/hanac/univ/Mercury/Data/20251021/meE06_clf590n_1.fits,MERCURY,2025-10-21T04:19:29,5.785122,0.450931,-5.049683,-25.270025,57.399923,210.134459,287.43874,-6.019774,Dawn,-57.341063,0.2471099666146095
C:/Users/hanac/univ/Mercury/Data/20251021/meE06_clf590n_2.fits,MERCURY,2025-10-21T04:20:33,5.785175,0.450928,-5.050015,-25.270035,57.401157,210.136646,287.440934,-6.019911,Dawn,-57.3423,0.24713508358431258
C:/Users/hanac/univ/Mercury/Data/20251021/meE06_clf590n_3.fits,MERCURY,2025-10-21T04:21:36,5.785228,0.450926,-5.050342,-25.270052,57.402371,210.138798,287.443094,-6.020046,Dawn,-57.343517,0.24715982283499863
C:/Users/hanac/univ/Mercury/Data/20251021/meE06_clf590n_4.fits,MERCURY,2025-10-21T04:22:39,5.785281,0.450924,-5.050668,-25.270078,57.403586,210.140951,287.445254,-6.02018,Dawn,-57.344734,0.24718448697170975
C:/Users/hanac/univ/Mercury/Data/20251021/meE07_clf590n_1.fits,MERCURY,2025-10-21T04:25:09,5.785407,0.450919,-5.051446,-25.270172,57.406479,210.146076,287.450396,-6.020501,Dawn,-57.347633,0.24724335017433569
C:/Users/hanac/univ/Mercury/Data/20251021/meE07_clf590n_2.fits,MERCURY,2025-10-21T04:26:13,5.785461,0.450917,-5.051778,-25.270227,57.407713,210.148263,287.45259,-6.020637,Dawn,-57.34887,0.24726847010862701
C:/Users/hanac/univ/Mercury/Data/20251021/meE07_clf590n_3.fits,MERCURY,2025-10-21T04:27:16,5.785514,0.450915,-5.052105,-25.270288,57.408928,210.150416,287.45475,-6.020772,Dawn,-57.350088,0.2472932122732358
C:/Users/hanac/univ/Mercury/Data/20251021/meE07_clf590n_4.fits,MERCURY,2025-10-21T04:28:20,5.785568,0.450913,-5.052437,-25.270359,57.410162,210.152603,287.456944,-6.020909,Dawn,-57.351325,0.24731833331007247
C:/Users/hanac/univ/Mercury/Data/20251021/skyD13b_clf590n_1.fits,SKY,2025-10-21T03:42:16,5.783246,0.451006,-5.038097,-25.274814,57.35689,210.058173,287.362204,-6.014999,Dawn,-57.297935,0.2462337988083388
