TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5630e+29,1.8491e+29,6.6170e+29,2.9085e+27,6.7775e+27,1.1747e+29,6.7442e+28,3.4571e+29,3.1599e+29,1.5090e+27,1.3995e+27,3.3690e+27,3.4085e+27,21.6,77.3,0.3,0.8,8.5631e+29,8.2947e+29,2.6256e+28,5.8850e+26,3.4613e+28,0.0000e+00,96.9,3.1,0.1
1,8.6284e+29,1.8613e+29,6.6692e+29,2.9530e+27,6.8330e+27,1.1795e+29,6.8180e+28,3.4822e+29,3.1870e+29,1.5330e+27,1.4200e+27,3.4310e+27,3.4020e+27,21.6,77.3,0.3,0.8,8.6259e+29,8.3541e+29,2.6600e+28,5.8000e+26,3.4860e+28,0.0000e+00,96.8,3.1,0.1
2,8.5855e+29,1.8433e+29,6.6460e+29,2.8530e+27,6.7765e+27,1.1641e+29,6.7918e+28,3.4685e+29,3.1775e+29,1.5045e+27,1.3485e+27,3.3645e+27,3.4120e+27,21.5,77.4,0.3,0.8,8.5873e+29,8.3182e+29,2.6330e+28,5.7450e+26,3.4592e+28,0.0000e+00,96.9,3.1,0.1
3,8.5880e+29,1.8414e+29,6.6495e+29,2.9430e+27,6.7720e+27,1.1579e+29,6.8349e+28,3.4687e+29,3.1807e+29,1.5250e+27,1.4180e+27,3.4300e+27,3.3420e+27,21.4,77.4,0.3,0.8,8.5871e+29,8.3175e+29,2.6372e+28,5.9400e+26,3.4572e+28,0.0000e+00,96.9,3.1,0.1
4,8.6207e+29,1.8356e+29,6.6873e+29,3.0100e+27,6.7680e+27,1.1516e+29,6.8403e+28,3.4918e+29,3.1955e+29,1.5835e+27,1.4265e+27,3.3225e+27,3.4455e+27,21.3,77.6,0.3,0.8,8.6203e+29,8.3484e+29,2.6555e+28,6.3100e+26,3.4545e+28,0.0000e+00,96.8,3.1,0.1
5,8.6780e+29,1.8450e+29,6.7348e+29,3.0110e+27,6.8175e+27,1.1516e+29,6.9334e+28,3.5087e+29,3.2261e+29,1.5610e+27,1.4500e+27,3.4040e+27,3.4135e+27,21.3,77.6,0.3,0.8,8.6768e+29,8.4039e+29,2.6667e+28,6.2050e+26,3.4765e+28,0.0000e+00,96.9,3.1,0.1
6,8.6027e+29,1.8275e+29,6.6778e+29,2.9735e+27,6.7590e+27,1.1364e+29,6.9115e+28,3.4687e+29,3.2092e+29,1.5930e+27,1.3805e+27,3.3560e+27,3.4030e+27,21.2,77.6,0.3,0.8,8.6039e+29,8.3328e+29,2.6451e+28,6.5800e+26,3.4470e+28,0.0000e+00,96.8,3.1,0.1
7,8.6556e+29,1.8333e+29,6.7241e+29,3.0110e+27,6.8120e+27,1.1368e+29,6.9649e+28,3.4902e+29,3.2339e+29,1.5790e+27,1.4320e+27,3.4075e+27,3.4045e+27,21.2,77.7,0.3,0.8,8.6573e+29,8.3855e+29,2.6489e+28,6.8950e+26,3.4676e+28,0.0000e+00,96.9,3.1,0.1
8,8.5545e+29,1.8102e+29,6.6471e+29,2.9585e+27,6.7540e+27,1.1198e+29,6.9046e+28,3.4442e+29,3.2030e+29,1.5640e+27,1.3945e+27,3.3495e+27,3.4045e+27,21.2,77.7,0.3,0.8,8.5560e+29,8.2880e+29,2.6093e+28,7.0250e+26,3.4369e+28,0.0000e+00,96.9,3.0,0.1
9,8.6022e+29,1.8215e+29,6.6824e+29,3.0270e+27,6.8020e+27,1.1234e+29,6.9809e+28,3.4573e+29,3.2251e+29,1.6080e+27,1.4190e+27,3.3720e+27,3.4300e+27,21.2,77.7,0.4,0.8,8.6042e+29,8.3336e+29,2.6341e+28,7.2300e+26,3.4561e+28,0.0000e+00,96.9,3.1,0.1
