TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped,Hop_Count,Hop_Per_Particle
0,8.5255e+29,1.8469e+29,6.5821e+29,2.8750e+27,6.7780e+27,1.1743e+29,6.7264e+28,3.4441e+29,3.1380e+29,1.5280e+27,1.3470e+27,3.3550e+27,3.4230e+27,21.7,77.2,0.3,0.8,8.5267e+29,8.2573e+29,2.6347e+28,5.9500e+26,3.4613e+28,0.0000e+00,96.8,3.1,0.1,2.1020e+29,0.2465
1,8.6283e+29,1.8585e+29,6.6722e+29,2.9290e+27,6.8240e+27,1.1749e+29,6.8358e+28,3.4857e+29,3.1865e+29,1.5000e+27,1.4290e+27,3.4960e+27,3.3280e+27,21.5,77.3,0.3,0.8,8.6229e+29,8.3491e+29,2.6798e+28,5.8200e+26,3.4860e+28,0.0000e+00,96.8,3.1,0.1,2.1360e+29,0.2477
2,8.5770e+29,1.8419e+29,6.6376e+29,2.9620e+27,6.7800e+27,1.1614e+29,6.8053e+28,3.4746e+29,3.1630e+29,1.5580e+27,1.4040e+27,3.4340e+27,3.3460e+27,21.5,77.4,0.3,0.8,8.5787e+29,8.3109e+29,2.6183e+28,5.9400e+26,3.4592e+28,0.0000e+00,96.9,3.1,0.1,2.1279e+29,0.2480
3,8.5948e+29,1.8369e+29,6.6609e+29,2.9230e+27,6.7790e+27,1.1578e+29,6.7909e+28,3.4822e+29,3.1787e+29,1.5290e+27,1.3940e+27,3.4270e+27,3.3520e+27,21.4,77.5,0.3,0.8,8.5923e+29,8.3216e+29,2.6448e+28,6.2400e+26,3.4572e+28,0.0000e+00,96.8,3.1,0.1,2.1201e+29,0.2467
4,8.5704e+29,1.8296e+29,6.6419e+29,3.1170e+27,6.7760e+27,1.1439e+29,6.8577e+28,3.4563e+29,3.1855e+29,1.6600e+27,1.4570e+27,3.3300e+27,3.4460e+27,21.3,77.5,0.4,0.8,8.5704e+29,8.3004e+29,2.6382e+28,6.2300e+26,3.4545e+28,0.0000e+00,96.8,3.1,0.1,2.1199e+29,0.2474
5,8.6124e+29,1.8388e+29,6.6764e+29,2.8890e+27,6.8250e+27,1.1478e+29,6.9102e+28,3.4716e+29,3.2049e+29,1.4680e+27,1.4210e+27,3.4300e+27,3.3950e+27,21.4,77.5,0.3,0.8,8.6146e+29,8.3444e+29,2.6362e+28,6.5300e+26,3.4765e+28,0.0000e+00,96.9,3.1,0.1,2.1297e+29,0.2472
6,8.5448e+29,1.8240e+29,6.6237e+29,2.9470e+27,6.7640e+27,1.1347e+29,6.8922e+28,3.4437e+29,3.1801e+29,1.5460e+27,1.4010e+27,3.4180e+27,3.3460e+27,21.3,77.5,0.3,0.8,8.5438e+29,8.2738e+29,2.6360e+28,6.4700e+26,3.4470e+28,0.0000e+00,96.8,3.1,0.1,2.1111e+29,0.2471
7,8.6467e+29,1.8350e+29,6.7147e+29,2.9020e+27,6.8070e+27,1.1381e+29,6.9686e+28,3.4743e+29,3.2404e+29,1.4950e+27,1.4070e+27,3.3130e+27,3.4940e+27,21.2,77.7,0.3,0.8,8.6489e+29,8.3763e+29,2.6581e+28,6.8100e+26,3.4676e+28,0.0000e+00,96.8,3.1,0.1,2.1371e+29,0.2471
8,8.5444e+29,1.8131e+29,6.6351e+29,2.8610e+27,6.7600e+27,1.1204e+29,6.9270e+28,3.4337e+29,3.2014e+29,1.5050e+27,1.3560e+27,3.4050e+27,3.3550e+27,21.2,77.7,0.3,0.8,8.5456e+29,8.2789e+29,2.5963e+28,7.1500e+26,3.4369e+28,0.0000e+00,96.9,3.0,0.1,2.1032e+29,0.2461
9,8.5798e+29,1.8170e+29,6.6645e+29,3.0410e+27,6.7990e+27,1.1193e+29,6.9763e+28,3.4509e+29,3.2136e+29,1.5810e+27,1.4600e+27,3.3620e+27,3.4370e+27,21.2,77.7,0.4,0.8,8.5799e+29,8.3094e+29,2.6317e+28,7.2800e+26,3.4561e+28,0.0000e+00,96.8,3.1,0.1,2.1088e+29,0.2458
10,8.5567e+29,1.8155e+29,6.6430e+29,3.0250e+27,6.7960e+27,1.1183e+29,6.9720e+28,3.4443e+29,3.1987e+29,1.5740e+27,1.4510e+27,3.3940e+27,3.4020e+27,21.2,77.6,0.4,0.8,8.5639e+29,8.2938e+29,2.6255e+28,7.5600e+26,3.4493e+28,0.0000e+00,96.8,3.1,0.1,2.0939e+29,0.2445
11,8.5221e+29,1.8067e+29,6.6174e+29,3.0060e+27,6.7860e+27,1.1084e+29,6.9833e+28,3.4235e+29,3.1939e+29,1.5850e+27,1.4210e+27,3.4650e+27,3.3210e+27,21.2,77.7,0.4,0.8,8.5210e+29,8.2539e+29,2.5931e+28,7.8500e+26,3.4419e+28,0.0000e+00,96.9,3.0,0.1,2.0645e+29,0.2423
12,8.4897e+29,1.8065e+29,6.5854e+29,3.0030e+27,6.7820e+27,1.1028e+29,7.0370e+28,3.3907e+29,3.1948e+29,1.5960e+27,1.4070e+27,3.3800e+27,3.4020e+27,21.3,77.6,0.4,0.8,8.4941e+29,8.2276e+29,2.5854e+28,7.9700e+26,3.4338e+28,0.0000e+00,96.9,3.0,0.1,2.0386e+29,0.2400
13,8.5095e+29,1.8059e+29,6.6049e+29,3.0330e+27,6.8290e+27,1.0992e+29,7.0675e+28,3.4163e+29,3.1887e+29,1.6070e+27,1.4260e+27,3.4330e+27,3.3960e+27,21.2,77.6,0.4,0.8,8.5121e+29,8.2454e+29,2.5736e+28,9.3800e+26,3.4501e+28,0.0000e+00,96.9,3.0,0.1,2.0465e+29,0.2404
14,8.4124e+29,1.7856e+29,6.5297e+29,2.9440e+27,6.7580e+27,1.0847e+29,7.0096e+28,3.3747e+29,3.1550e+29,1.5480e+27,1.3960e+27,3.3660e+27,3.3920e+27,21.2,77.6,0.3,0.8,8.4145e+29,8.1530e+29,2.5197e+28,9.5500e+26,3.4157e+28,0.0000e+00,96.9,3.0,0.1,2.0082e+29,0.2387
15,8.4225e+29,1.7929e+29,6.5314e+29,3.0070e+27,6.8040e+27,1.0852e+29,7.0778e+28,3.3486e+29,3.1828e+29,1.5970e+27,1.4100e+27,3.4250e+27,3.3790e+27,21.3,77.5,0.4,0.8,8.4238e+29,8.1652e+29,2.4844e+28,1.0190e+27,3.4306e+28,0.0000e+00,96.9,2.9,0.1,2.0065e+29,0.2382
16,8.3722e+29,1.7825e+29,6.4923e+29,2.9560e+27,6.7880e+27,1.0800e+29,7.0244e+28,3.3428e+29,3.1495e+29,1.5620e+27,1.3940e+27,3.3370e+27,3.4510e+27,21.3,77.5,0.4,0.8,8.3800e+29,8.1203e+29,2.4834e+28,1.1340e+27,3.4199e+28,0.0000e+00,96.9,3.0,0.1,1.9693e+29,0.2350
17,8.2891e+29,1.7803e+29,6.4116e+29,2.9320e+27,6.7810e+27,1.0706e+29,7.0971e+28,3.2928e+29,3.1188e+29,1.5310e+27,1.4010e+27,3.4520e+27,3.3290e+27,21.5,77.4,0.4,0.8,8.2927e+29,8.0365e+29,2.4346e+28,1.2680e+27,3.4086e+28,0.0000e+00,96.9,2.9,0.2,1.9347e+29,0.2333
