TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5990e+29,1.8354e+29,6.6668e+29,2.9040e+27,6.7780e+27,1.1734e+29,6.6200e+28,3.5000e+29,3.1668e+29,1.5120e+27,1.3920e+27,3.3550e+27,3.4230e+27,21.3,77.5,0.3,0.8,8.5943e+29,8.3270e+29,2.6159e+28,5.6600e+26,3.4613e+28,0.0000e+00,96.9,3.0,0.1
1,8.6859e+29,1.8467e+29,6.7422e+29,2.8780e+27,6.8240e+27,1.1740e+29,6.7270e+28,3.5363e+29,3.2058e+29,1.5530e+27,1.3250e+27,3.4960e+27,3.3280e+27,21.3,77.6,0.3,0.8,8.6879e+29,8.4150e+29,2.6696e+28,5.9300e+26,3.4860e+28,0.0000e+00,96.9,3.1,0.1
2,8.6356e+29,1.8292e+29,6.7097e+29,2.8820e+27,6.7800e+27,1.1550e+29,6.7420e+28,3.5147e+29,3.1950e+29,1.5530e+27,1.3290e+27,3.4340e+27,3.3460e+27,21.2,77.7,0.3,0.8,8.6334e+29,8.3643e+29,2.6319e+28,5.9800e+26,3.4592e+28,0.0000e+00,96.9,3.0,0.1
3,8.6255e+29,1.8225e+29,6.7063e+29,2.8890e+27,6.7790e+27,1.1506e+29,6.7190e+28,3.5048e+29,3.2015e+29,1.5030e+27,1.3860e+27,3.4270e+27,3.3520e+27,21.1,77.7,0.3,0.8,8.6291e+29,8.3562e+29,2.6713e+28,5.8100e+26,3.4572e+28,0.0000e+00,96.8,3.1,0.1
4,8.6448e+29,1.8292e+29,6.7186e+29,2.9220e+27,6.7760e+27,1.1499e+29,6.7932e+28,3.5108e+29,3.2078e+29,1.4890e+27,1.4330e+27,3.3300e+27,3.4460e+27,21.2,77.7,0.3,0.8,8.6417e+29,8.3686e+29,2.6681e+28,6.3600e+26,3.4545e+28,0.0000e+00,96.8,3.1,0.1
5,8.7074e+29,1.8303e+29,6.7792e+29,2.9640e+27,6.8250e+27,1.1482e+29,6.8215e+28,3.5364e+29,3.2428e+29,1.5430e+27,1.4210e+27,3.4300e+27,3.3950e+27,21.0,77.9,0.3,0.8,8.7096e+29,8.4366e+29,2.6673e+28,6.3400e+26,3.4765e+28,0.0000e+00,96.9,3.1,0.1
6,8.6111e+29,1.8065e+29,6.7082e+29,2.8790e+27,6.7640e+27,1.1304e+29,6.7615e+28,3.4926e+29,3.2156e+29,1.5810e+27,1.2980e+27,3.4180e+27,3.3460e+27,21.0,77.9,0.3,0.8,8.6126e+29,8.3411e+29,2.6486e+28,6.6100e+26,3.4470e+28,0.0000e+00,96.8,3.1,0.1
7,8.6704e+29,1.8176e+29,6.7558e+29,2.8930e+27,6.8070e+27,1.1323e+29,6.8535e+28,3.5171e+29,3.2386e+29,1.5550e+27,1.3380e+27,3.3130e+27,3.4940e+27,21.0,77.9,0.3,0.8,8.6697e+29,8.3989e+29,2.6435e+28,6.4100e+26,3.4676e+28,0.0000e+00,96.9,3.0,0.1
8,8.5880e+29,1.7991e+29,6.6914e+29,2.9890e+27,6.7600e+27,1.1155e+29,6.8357e+28,3.4721e+29,3.2194e+29,1.5990e+27,1.3900e+27,3.4050e+27,3.3550e+27,20.9,77.9,0.3,0.8,8.5924e+29,8.3238e+29,2.6160e+28,7.0000e+26,3.4369e+28,0.0000e+00,96.9,3.0,0.1
9,8.5800e+29,1.7970e+29,6.6861e+29,2.8970e+27,6.7990e+27,1.1107e+29,6.8624e+28,3.4576e+29,3.2285e+29,1.5350e+27,1.3620e+27,3.3620e+27,3.4370e+27,20.9,77.9,0.3,0.8,8.5806e+29,8.3101e+29,2.6337e+28,7.1900e+26,3.4561e+28,0.0000e+00,96.8,3.1,0.1
10,8.5625e+29,1.7964e+29,6.6685e+29,2.9570e+27,6.7960e+27,1.1067e+29,6.8974e+28,3.4579e+29,3.2106e+29,1.5270e+27,1.4300e+27,3.3940e+27,3.4020e+27,21.0,77.9,0.3,0.8,8.5636e+29,8.2954e+29,2.6043e+28,7.7700e+26,3.4493e+28,0.0000e+00,96.9,3.0,0.1
11,8.5697e+29,1.7912e+29,6.6814e+29,2.9190e+27,6.7860e+27,1.0999e+29,6.9130e+28,3.4545e+29,3.2269e+29,1.5730e+27,1.3460e+27,3.4650e+27,3.3210e+27,20.9,78.0,0.3,0.8,8.5708e+29,8.3044e+29,2.5855e+28,7.8500e+26,3.4419e+28,0.0000e+00,96.9,3.0,0.1
12,8.5163e+29,1.7824e+29,6.6368e+29,2.9210e+27,6.7820e+27,1.0953e+29,6.8711e+28,3.4440e+29,3.1928e+29,1.5380e+27,1.3830e+27,3.3800e+27,3.4020e+27,20.9,77.9,0.3,0.8,8.5195e+29,8.2539e+29,2.5714e+28,8.4300e+26,3.4338e+28,0.0000e+00,96.9,3.0,0.1
13,8.5354e+29,1.7869e+29,6.6510e+29,2.9210e+27,6.8290e+27,1.0914e+29,6.9554e+28,3.4364e+29,3.2146e+29,1.5420e+27,1.3790e+27,3.4330e+27,3.3960e+27,20.9,77.9,0.3,0.8,8.5395e+29,8.2756e+29,2.5536e+28,8.5900e+26,3.4501e+28,0.0000e+00,96.9,3.0,0.1
14,8.4081e+29,1.7664e+29,6.5447e+29,2.9540e+27,6.7580e+27,1.0734e+29,6.9299e+28,3.3643e+29,3.1804e+29,1.5320e+27,1.4220e+27,3.3660e+27,3.3920e+27,21.0,77.8,0.4,0.8,8.4126e+29,8.1488e+29,2.5426e+28,9.6200e+26,3.4157e+28,0.0000e+00,96.9,3.0,0.1
15,8.4385e+29,1.7795e+29,6.5616e+29,2.9380e+27,6.8040e+27,1.0785e+29,7.0103e+28,3.3517e+29,3.2099e+29,1.5160e+27,1.4220e+27,3.4250e+27,3.3790e+27,21.1,77.8,0.3,0.8,8.4428e+29,8.1808e+29,2.5135e+28,1.0600e+27,3.4306e+28,0.0000e+00,96.9,3.0,0.1
16,8.3822e+29,1.7679e+29,6.5165e+29,2.9890e+27,6.7880e+27,1.0683e+29,6.9964e+28,3.3292e+29,3.1874e+29,1.5790e+27,1.4100e+27,3.3370e+27,3.4510e+27,21.1,77.7,0.4,0.8,8.3845e+29,8.1287e+29,2.4419e+28,1.1590e+27,3.4199e+28,0.0000e+00,96.9,2.9,0.1
17,8.3219e+29,1.7602e+29,6.4652e+29,2.8770e+27,6.7810e+27,1.0638e+29,6.9638e+28,3.3077e+29,3.1575e+29,1.5170e+27,1.3600e+27,3.4520e+27,3.3290e+27,21.2,77.7,0.3,0.8,8.3291e+29,8.0704e+29,2.4654e+28,1.2170e+27,3.4086e+28,0.0000e+00,96.9,3.0,0.1
18,8.2660e+29,1.7552e+29,6.4131e+29,2.9620e+27,6.8120e+27,1.0579e+29,6.9730e+28,3.2719e+29,3.1412e+29,1.4680e+27,1.4940e+27,3.3810e+27,3.4310e+27,21.2,77.6,0.4,0.8,8.2703e+29,8.0179e+29,2.3869e+28,1.3740e+27,3.4212e+28,0.0000e+00,96.9,2.9,0.2
19,8.1511e+29,1.7535e+29,6.3003e+29,2.9220e+27,6.8020e+27,1.0546e+29,6.9891e+28,3.2175e+29,3.0828e+29,1.5490e+27,1.3730e+27,3.4010e+27,3.4010e+27,21.5,77.3,0.4,0.8,8.1629e+29,7.9114e+29,2.3735e+28,1.4100e+27,3.4085e+28,0.0000e+00,96.9,2.9,0.2
