TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,9.8132e+29,1.2129e+29,8.5209e+29,1.1600e+27,6.7780e+27,8.4104e+28,3.7185e+28,4.5052e+29,4.0157e+29,6.1200e+26,5.4800e+26,3.3550e+27,3.4230e+27,12.4,86.8,0.1,0.7,9.8103e+29,9.5206e+29,2.8655e+28,3.1700e+26,3.4613e+28,0.0000e+00,97.0,2.9,0.0
1,9.8780e+29,1.2100e+29,8.5886e+29,1.1190e+27,6.8240e+27,8.3596e+28,3.7404e+28,4.5221e+29,4.0665e+29,6.0300e+26,5.1600e+26,3.4960e+27,3.3280e+27,12.2,86.9,0.1,0.7,9.8796e+29,9.5843e+29,2.9218e+28,3.1100e+26,3.4860e+28,0.0000e+00,97.0,3.0,0.0
2,9.7301e+29,1.1934e+29,8.4576e+29,1.1260e+27,6.7800e+27,8.2118e+28,3.7223e+28,4.4389e+29,4.0188e+29,6.1100e+26,5.1500e+26,3.4340e+27,3.3460e+27,12.3,86.9,0.1,0.7,9.7308e+29,9.4399e+29,2.8738e+28,3.4800e+26,3.4592e+28,0.0000e+00,97.0,3.0,0.0
3,9.6964e+29,1.1874e+29,8.4291e+29,1.2110e+27,6.7790e+27,8.1263e+28,3.7476e+28,4.4132e+29,4.0159e+29,6.5500e+26,5.5600e+26,3.4270e+27,3.3520e+27,12.2,86.9,0.1,0.7,9.6970e+29,9.4065e+29,2.8730e+28,3.2600e+26,3.4572e+28,0.0000e+00,97.0,3.0,0.0
4,9.7138e+29,1.1777e+29,8.4572e+29,1.1130e+27,6.7760e+27,8.0362e+28,3.7409e+28,4.4240e+29,4.0333e+29,6.0800e+26,5.0500e+26,3.3300e+27,3.4460e+27,12.1,87.1,0.1,0.7,9.7138e+29,9.4231e+29,2.8703e+28,3.6300e+26,3.4545e+28,0.0000e+00,97.0,3.0,0.0
5,9.7581e+29,1.1761e+29,8.5024e+29,1.1370e+27,6.8250e+27,7.9912e+28,3.7696e+28,4.4609e+29,4.0415e+29,6.2800e+26,5.0900e+26,3.4300e+27,3.3950e+27,12.1,87.1,0.1,0.7,9.7623e+29,9.4697e+29,2.8914e+28,3.4500e+26,3.4765e+28,0.0000e+00,97.0,3.0,0.0
6,9.6356e+29,1.1603e+29,8.3956e+29,1.2050e+27,6.7640e+27,7.8735e+28,3.7298e+28,4.3710e+29,4.0246e+29,6.6300e+26,5.4200e+26,3.4180e+27,3.3460e+27,12.0,87.1,0.1,0.7,9.6383e+29,9.3496e+29,2.8521e+28,3.4900e+26,3.4470e+28,0.0000e+00,97.0,3.0,0.0
7,9.6926e+29,1.1583e+29,8.4542e+29,1.2050e+27,6.8070e+27,7.8287e+28,3.7544e+28,4.4163e+29,4.0379e+29,6.4400e+26,5.6100e+26,3.3130e+27,3.4940e+27,12.0,87.2,0.1,0.7,9.6915e+29,9.4055e+29,2.8235e+28,3.6600e+26,3.4676e+28,0.0000e+00,97.0,2.9,0.0
8,9.5876e+29,1.1455e+29,8.3629e+29,1.1540e+27,6.7600e+27,7.7183e+28,3.7371e+28,4.3649e+29,3.9980e+29,6.2800e+26,5.2600e+26,3.4050e+27,3.3550e+27,11.9,87.2,0.1,0.7,9.5910e+29,9.3053e+29,2.8173e+28,4.0100e+26,3.4369e+28,0.0000e+00,97.0,2.9,0.0
9,9.5698e+29,1.1431e+29,8.3468e+29,1.1900e+27,6.7990e+27,7.6704e+28,3.7609e+28,4.3498e+29,3.9970e+29,6.4400e+26,5.4600e+26,3.3620e+27,3.4370e+27,11.9,87.2,0.1,0.7,9.5758e+29,9.2906e+29,2.8106e+28,4.1000e+26,3.4561e+28,0.0000e+00,97.0,2.9,0.0
