TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,1.0756e+29,2.6149e+28,7.4416e+28,2.1200e+26,6.7780e+27,2.1455e+28,4.6940e+27,4.6421e+28,2.7995e+28,1.1500e+26,9.7000e+25,3.3550e+27,3.4230e+27,24.3,69.2,0.2,6.3,1.0760e+29,1.0467e+29,2.7860e+27,1.4200e+26,0.0000e+00,0.0000e+00,97.3,2.6,0.1
1,1.0697e+29,2.5796e+28,7.4174e+28,1.7400e+26,6.8240e+27,2.1144e+28,4.6520e+27,4.6368e+28,2.7806e+28,1.0200e+26,7.2000e+25,3.4960e+27,3.3280e+27,24.1,69.3,0.2,6.4,1.0706e+29,1.0409e+29,2.8130e+27,1.5600e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.1
2,1.0581e+29,2.5705e+28,7.3142e+28,1.8000e+26,6.7800e+27,2.0942e+28,4.7630e+27,4.6463e+28,2.6679e+28,1.0700e+26,7.3000e+25,3.4340e+27,3.3460e+27,24.3,69.1,0.2,6.4,1.0573e+29,1.0282e+29,2.7590e+27,1.4800e+26,0.0000e+00,0.0000e+00,97.3,2.6,0.1
3,1.0505e+29,2.5193e+28,7.2862e+28,2.1800e+26,6.7790e+27,2.0426e+28,4.7670e+27,4.5282e+28,2.7580e+28,1.2600e+26,9.2000e+25,3.4270e+27,3.3520e+27,24.0,69.4,0.2,6.5,1.0502e+29,1.0205e+29,2.8030e+27,1.6900e+26,0.0000e+00,0.0000e+00,97.2,2.7,0.2
4,1.0412e+29,2.4999e+28,7.2167e+28,1.7500e+26,6.7760e+27,2.0217e+28,4.7820e+27,4.4012e+28,2.8155e+28,1.0200e+26,7.3000e+25,3.3300e+27,3.4460e+27,24.0,69.3,0.2,6.5,1.0426e+29,1.0129e+29,2.8130e+27,1.5700e+26,0.0000e+00,0.0000e+00,97.2,2.7,0.2
5,1.0348e+29,2.4763e+28,7.1692e+28,2.0200e+26,6.8250e+27,1.9919e+28,4.8440e+27,4.4316e+28,2.7376e+28,1.1600e+26,8.6000e+25,3.4300e+27,3.3950e+27,23.9,69.3,0.2,6.6,1.0354e+29,1.0059e+29,2.7650e+27,1.8800e+26,0.0000e+00,0.0000e+00,97.1,2.7,0.2
6,1.0208e+29,2.4241e+28,7.0886e+28,1.8400e+26,6.7640e+27,1.9617e+28,4.6240e+27,4.3906e+28,2.6980e+28,1.0000e+26,8.4000e+25,3.4180e+27,3.3460e+27,23.7,69.4,0.2,6.6,1.0210e+29,9.9261e+28,2.6580e+27,1.8300e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
7,1.0231e+29,2.4253e+28,7.1048e+28,1.9900e+26,6.8070e+27,1.9415e+28,4.8380e+27,4.4444e+28,2.6604e+28,1.1600e+26,8.3000e+25,3.3130e+27,3.4940e+27,23.7,69.4,0.2,6.7,1.0227e+29,9.9398e+28,2.7220e+27,1.5200e+26,0.0000e+00,0.0000e+00,97.2,2.7,0.1
8,1.0106e+29,2.3806e+28,7.0284e+28,2.0800e+26,6.7600e+27,1.9125e+28,4.6810e+27,4.3851e+28,2.6433e+28,1.2200e+26,8.6000e+25,3.4050e+27,3.3550e+27,23.6,69.5,0.2,6.7,1.0111e+29,9.8267e+28,2.6580e+27,1.8800e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
9,1.0061e+29,2.3887e+28,6.9752e+28,1.6900e+26,6.7990e+27,1.9112e+28,4.7750e+27,4.3315e+28,2.6437e+28,9.2000e+25,7.7000e+25,3.3620e+27,3.4370e+27,23.7,69.3,0.2,6.8,1.0062e+29,9.7805e+28,2.6330e+27,1.8400e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
