TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,9.5914e+28,1.8139e+28,6.9712e+28,1.2850e+27,6.7780e+27,1.2564e+28,5.5750e+27,4.3330e+28,2.6382e+28,7.5700e+26,5.2800e+26,3.3550e+27,3.4230e+27,18.9,72.7,1.3,7.1,9.5942e+28,9.2966e+28,2.7010e+27,2.7500e+26,0.0000e+00,0.0000e+00,96.9,2.8,0.3
1,9.5308e+28,1.8010e+28,6.9157e+28,1.3170e+27,6.8240e+27,1.2355e+28,5.6550e+27,4.2925e+28,2.6232e+28,7.4500e+26,5.7200e+26,3.4960e+27,3.3280e+27,18.9,72.6,1.4,7.2,9.5402e+28,9.2344e+28,2.7170e+27,3.4100e+26,0.0000e+00,0.0000e+00,96.8,2.8,0.4
2,9.3207e+28,1.7751e+28,6.7439e+28,1.2370e+27,6.7800e+27,1.2162e+28,5.5890e+27,4.1764e+28,2.5675e+28,7.2100e+26,5.1600e+26,3.4340e+27,3.3460e+27,19.0,72.4,1.3,7.3,9.3294e+28,9.0281e+28,2.6920e+27,3.2100e+26,0.0000e+00,0.0000e+00,96.8,2.9,0.3
3,9.3034e+28,1.7505e+28,6.7465e+28,1.2850e+27,6.7790e+27,1.2038e+28,5.4670e+27,4.1652e+28,2.5813e+28,7.2500e+26,5.6000e+26,3.4270e+27,3.3520e+27,18.8,72.5,1.4,7.3,9.2898e+28,8.9981e+28,2.6020e+27,3.1500e+26,0.0000e+00,0.0000e+00,96.9,2.8,0.3
4,9.2369e+28,1.7767e+28,6.6559e+28,1.2670e+27,6.7760e+27,1.2148e+28,5.6190e+27,4.0859e+28,2.5700e+28,7.1600e+26,5.5100e+26,3.3300e+27,3.4460e+27,19.2,72.1,1.4,7.3,9.2565e+28,8.9599e+28,2.6410e+27,3.2500e+26,0.0000e+00,0.0000e+00,96.8,2.9,0.4
5,9.3304e+28,1.7969e+28,6.7269e+28,1.2410e+27,6.8250e+27,1.2279e+28,5.6900e+27,4.0997e+28,2.6272e+28,6.8300e+26,5.5800e+26,3.4300e+27,3.3950e+27,19.3,72.1,1.3,7.3,9.3235e+28,9.0153e+28,2.7400e+27,3.4200e+26,0.0000e+00,0.0000e+00,96.7,2.9,0.4
6,9.2738e+28,1.7809e+28,6.6912e+28,1.2530e+27,6.7640e+27,1.2147e+28,5.6620e+27,4.1051e+28,2.5861e+28,7.1700e+26,5.3600e+26,3.4180e+27,3.3460e+27,19.2,72.2,1.4,7.3,9.2839e+28,8.9899e+28,2.6060e+27,3.3400e+26,0.0000e+00,0.0000e+00,96.8,2.8,0.4
7,9.3214e+28,1.7657e+28,6.7513e+28,1.2370e+27,6.8070e+27,1.1996e+28,5.6610e+27,4.1586e+28,2.5927e+28,6.8200e+26,5.5500e+26,3.3130e+27,3.4940e+27,18.9,72.4,1.3,7.3,9.3146e+28,9.0310e+28,2.5350e+27,3.0100e+26,0.0000e+00,0.0000e+00,97.0,2.7,0.3
8,9.0760e+28,1.7328e+28,6.5475e+28,1.1970e+27,6.7600e+27,1.1842e+28,5.4860e+27,4.0104e+28,2.5371e+28,6.8800e+26,5.0900e+26,3.4050e+27,3.3550e+27,19.1,72.1,1.3,7.4,9.0640e+28,8.7706e+28,2.5700e+27,3.6400e+26,0.0000e+00,0.0000e+00,96.8,2.8,0.4
9,9.0521e+28,1.7414e+28,6.5089e+28,1.2190e+27,6.7990e+27,1.1792e+28,5.6220e+27,3.9385e+28,2.5704e+28,6.8800e+26,5.3100e+26,3.3620e+27,3.4370e+27,19.2,71.9,1.3,7.5,9.0815e+28,8.7905e+28,2.5260e+27,3.8400e+26,0.0000e+00,0.0000e+00,96.8,2.8,0.4
10,9.1034e+28,1.7695e+28,6.5336e+28,1.2070e+27,6.7960e+27,1.2028e+28,5.6670e+27,3.9688e+28,2.5648e+28,6.7300e+26,5.3400e+26,3.3940e+27,3.4020e+27,19.4,71.8,1.3,7.5,9.0890e+28,8.7887e+28,2.6310e+27,3.7200e+26,0.0000e+00,0.0000e+00,96.7,2.9,0.4
11,9.0803e+28,1.7320e+28,6.5508e+28,1.1890e+27,6.7860e+27,1.1668e+28,5.6520e+27,3.9913e+28,2.5595e+28,6.6500e+26,5.2400e+26,3.4650e+27,3.3210e+27,19.1,72.1,1.3,7.5,9.0920e+28,8.7965e+28,2.5510e+27,4.0400e+26,0.0000e+00,0.0000e+00,96.7,2.8,0.4
12,8.8817e+28,1.7511e+28,6.3334e+28,1.1900e+27,6.7820e+27,1.1758e+28,5.7530e+27,3.8633e+28,2.4701e+28,6.8700e+26,5.0300e+26,3.3800e+27,3.4020e+27,19.7,71.3,1.3,7.6,8.8884e+28,8.5984e+28,2.4950e+27,4.0500e+26,0.0000e+00,0.0000e+00,96.7,2.8,0.5
13,8.9612e+28,1.7405e+28,6.4195e+28,1.1830e+27,6.8290e+27,1.1661e+28,5.7440e+27,3.8747e+28,2.5448e+28,6.9200e+26,4.9100e+26,3.4330e+27,3.3960e+27,19.4,71.6,1.3,7.6,8.9613e+28,8.6666e+28,2.5060e+27,4.4100e+26,0.0000e+00,0.0000e+00,96.7,2.8,0.5
14,8.7158e+28,1.6913e+28,6.2361e+28,1.1260e+27,6.7580e+27,1.1372e+28,5.5410e+27,3.7517e+28,2.4844e+28,6.3000e+26,4.9600e+26,3.3660e+27,3.3920e+27,19.4,71.5,1.3,7.8,8.7324e+28,8.4467e+28,2.3790e+27,4.7800e+26,0.0000e+00,0.0000e+00,96.7,2.7,0.5
15,8.6983e+28,1.7183e+28,6.1826e+28,1.1700e+27,6.8040e+27,1.1482e+28,5.7010e+27,3.6988e+28,2.4838e+28,6.4400e+26,5.2600e+26,3.4250e+27,3.3790e+27,19.8,71.1,1.3,7.8,8.6841e+28,8.4009e+28,2.3390e+27,4.9300e+26,0.0000e+00,0.0000e+00,96.7,2.7,0.6
16,8.5990e+28,1.7197e+28,6.0874e+28,1.1310e+27,6.7880e+27,1.1485e+28,5.7120e+27,3.6123e+28,2.4751e+28,6.4200e+26,4.8900e+26,3.3370e+27,3.4510e+27,20.0,70.8,1.3,7.9,8.6020e+28,8.3211e+28,2.3120e+27,4.9700e+26,0.0000e+00,0.0000e+00,96.7,2.7,0.6
17,8.5742e+28,1.6981e+28,6.0837e+28,1.1430e+27,6.7810e+27,1.1328e+28,5.6530e+27,3.5844e+28,2.4993e+28,6.4400e+26,4.9900e+26,3.4520e+27,3.3290e+27,19.8,71.0,1.3,7.9,8.5907e+28,8.3008e+28,2.3030e+27,5.9600e+26,0.0000e+00,0.0000e+00,96.6,2.7,0.7
18,8.4183e+28,1.6949e+28,5.9246e+28,1.1760e+27,6.8120e+27,1.1365e+28,5.5840e+27,3.4534e+28,2.4712e+28,6.5500e+26,5.2100e+26,3.3810e+27,3.4310e+27,20.1,70.4,1.4,8.1,8.4274e+28,8.1301e+28,2.3340e+27,6.3900e+26,0.0000e+00,0.0000e+00,96.5,2.8,0.8
19,8.3197e+28,1.6976e+28,5.8259e+28,1.1600e+27,6.8020e+27,1.1354e+28,5.6220e+27,3.4308e+28,2.3951e+28,6.7000e+26,4.9000e+26,3.4010e+27,3.4010e+27,20.4,70.0,1.4,8.2,8.3195e+28,8.0382e+28,2.1640e+27,6.4900e+26,0.0000e+00,0.0000e+00,96.6,2.6,0.8
20,8.3368e+28,1.7029e+28,5.8374e+28,1.1820e+27,6.7830e+27,1.1336e+28,5.6930e+27,3.3306e+28,2.5068e+28,6.5200e+26,5.3000e+26,3.4200e+27,3.3630e+27,20.4,70.0,1.4,8.1,8.3448e+28,8.0515e+28,2.2430e+27,6.9000e+26,0.0000e+00,0.0000e+00,96.5,2.7,0.8
21,8.2265e+28,1.6747e+28,5.7634e+28,1.1140e+27,6.7700e+27,1.1196e+28,5.5510e+27,3.3571e+28,2.4063e+28,6.0800e+26,5.0600e+26,3.3550e+27,3.4150e+27,20.4,70.1,1.4,8.2,8.2356e+28,7.9462e+28,2.1710e+27,7.2300e+26,0.0000e+00,0.0000e+00,96.5,2.6,0.9
22,8.0840e+28,1.6841e+28,5.6105e+28,1.0840e+27,6.8100e+27,1.1247e+28,5.5940e+27,3.2846e+28,2.3259e+28,5.9800e+26,4.8600e+26,3.3410e+27,3.4690e+27,20.8,69.4,1.3,8.4,8.0877e+28,7.7901e+28,2.1920e+27,7.8400e+26,0.0000e+00,0.0000e+00,96.3,2.7,1.0
23,7.9920e+28,1.6798e+28,5.5317e+28,1.0320e+27,6.7730e+27,1.1128e+28,5.6700e+27,3.1974e+28,2.3343e+28,5.8100e+26,4.5100e+26,3.3910e+27,3.3820e+27,21.0,69.2,1.3,8.5,7.9920e+28,7.7119e+28,2.0240e+27,7.7700e+26,0.0000e+00,0.0000e+00,96.5,2.5,1.0
24,7.8845e+28,1.6790e+28,5.4103e+28,1.1340e+27,6.8180e+27,1.1085e+28,5.7050e+27,3.1487e+28,2.2616e+28,6.2000e+26,5.1400e+26,3.4660e+27,3.3520e+27,21.3,68.6,1.4,8.6,7.8955e+28,7.6102e+28,1.9790e+27,8.7400e+26,0.0000e+00,0.0000e+00,96.4,2.5,1.1
25,7.5694e+28,1.6510e+28,5.1306e+28,1.1190e+27,6.7590e+27,1.0999e+28,5.5110e+27,2.9674e+28,2.1632e+28,5.8200e+26,5.3700e+26,3.3800e+27,3.3790e+27,21.8,67.8,1.5,8.9,7.5811e+28,7.3021e+28,1.8720e+27,9.1800e+26,0.0000e+00,0.0000e+00,96.3,2.5,1.2
26,7.6294e+28,1.6746e+28,5.1708e+28,1.0500e+27,6.7900e+27,1.1119e+28,5.6270e+27,3.0226e+28,2.1482e+28,5.9600e+26,4.5400e+26,3.4440e+27,3.3460e+27,21.9,67.8,1.4,8.9,7.6349e+28,7.3480e+28,1.8330e+27,1.0360e+27,0.0000e+00,0.0000e+00,96.2,2.4,1.4
27,7.5126e+28,1.6594e+28,5.0583e+28,1.1300e+27,6.8190e+27,1.0867e+28,5.7270e+27,2.9474e+28,2.1109e+28,6.2700e+26,5.0300e+26,3.4680e+27,3.3510e+27,22.1,67.3,1.5,9.1,7.5118e+28,7.2274e+28,1.7830e+27,1.0610e+27,0.0000e+00,0.0000e+00,96.2,2.4,1.4
28,7.2671e+28,1.6536e+28,4.8264e+28,1.0670e+27,6.8040e+27,1.0958e+28,5.5780e+27,2.8410e+28,1.9854e+28,5.7500e+26,4.9200e+26,3.4370e+27,3.3670e+27,22.8,66.4,1.5,9.4,7.2861e+28,6.9952e+28,1.7610e+27,1.1480e+27,0.0000e+00,0.0000e+00,96.0,2.4,1.6
29,7.1373e+28,1.6595e+28,4.6965e+28,1.0180e+27,6.7950e+27,1.0978e+28,5.6170e+27,2.7479e+28,1.9486e+28,5.6400e+26,4.5400e+26,3.3560e+27,3.4390e+27,23.3,65.8,1.4,9.5,7.1427e+28,6.8568e+28,1.7100e+27,1.1490e+27,0.0000e+00,0.0000e+00,96.0,2.4,1.6
30,7.0083e+28,1.6474e+28,4.5702e+28,1.0930e+27,6.8140e+27,1.0876e+28,5.5980e+27,2.6936e+28,1.8766e+28,5.9900e+26,4.9400e+26,3.4350e+27,3.3790e+27,23.5,65.2,1.6,9.7,7.0142e+28,6.7377e+28,1.6190e+27,1.1460e+27,0.0000e+00,0.0000e+00,96.1,2.3,1.6
31,6.9337e+28,1.6265e+28,4.5288e+28,9.8800e+26,6.7960e+27,1.0780e+28,5.4850e+27,2.6247e+28,1.9041e+28,5.4800e+26,4.4000e+26,3.4190e+27,3.3770e+27,23.5,65.3,1.4,9.8,6.9427e+28,6.6612e+28,1.6000e+27,1.2150e+27,0.0000e+00,0.0000e+00,95.9,2.3,1.8
32,6.6531e+28,1.6483e+28,4.2238e+28,9.9100e+26,6.8190e+27,1.0919e+28,5.5640e+27,2.4991e+28,1.7247e+28,5.7100e+26,4.2000e+26,3.3690e+27,3.4500e+27,24.8,63.5,1.5,10.2,6.6628e+28,6.3889e+28,1.4890e+27,1.2500e+27,0.0000e+00,0.0000e+00,95.9,2.2,1.9
33,6.4919e+28,1.6101e+28,4.0977e+28,1.0430e+27,6.7980e+27,1.0611e+28,5.4900e+27,2.4134e+28,1.6843e+28,5.7900e+26,4.6400e+26,3.3830e+27,3.4150e+27,24.8,63.1,1.6,10.5,6.4942e+28,6.2161e+28,1.4560e+27,1.3250e+27,0.0000e+00,0.0000e+00,95.7,2.2,2.0
34,6.3453e+28,1.6171e+28,3.9455e+28,1.0050e+27,6.8220e+27,1.0668e+28,5.5030e+27,2.3333e+28,1.6122e+28,5.4900e+26,4.5600e+26,3.3510e+27,3.4710e+27,25.5,62.2,1.6,10.8,6.3571e+28,6.0843e+28,1.3680e+27,1.3600e+27,0.0000e+00,0.0000e+00,95.7,2.2,2.1
35,6.2873e+28,1.6245e+28,3.8805e+28,1.0250e+27,6.7980e+27,1.0842e+28,5.4030e+27,2.2680e+28,1.6125e+28,5.8900e+26,4.3600e+26,3.3250e+27,3.4730e+27,25.8,61.7,1.6,10.8,6.2878e+28,6.0062e+28,1.4360e+27,1.3800e+27,0.0000e+00,0.0000e+00,95.5,2.3,2.2
36,6.1742e+28,1.6021e+28,3.7953e+28,9.4800e+26,6.8200e+27,1.0721e+28,5.3000e+27,2.2658e+28,1.5295e+28,5.4800e+26,4.0000e+26,3.4480e+27,3.3720e+27,25.9,61.5,1.5,11.0,6.1865e+28,5.9121e+28,1.3060e+27,1.4380e+27,0.0000e+00,0.0000e+00,95.6,2.1,2.3
