TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.6735e+29,2.0690e+29,6.5019e+29,3.4840e+27,6.7780e+27,1.3029e+29,7.6603e+28,3.3911e+29,3.1109e+29,1.8160e+27,1.6680e+27,3.3550e+27,3.4230e+27,23.9,75.0,0.4,0.8,8.6709e+29,8.4082e+29,2.5604e+28,6.7100e+26,3.4613e+28,0.0000e+00,97.0,3.0,0.1
1,8.7642e+29,2.0887e+29,6.5712e+29,3.6060e+27,6.8240e+27,1.3151e+29,7.7355e+28,3.4204e+29,3.1508e+29,1.9300e+27,1.6760e+27,3.4960e+27,3.3280e+27,23.8,75.0,0.4,0.8,8.7596e+29,8.4921e+29,2.6057e+28,6.9000e+26,3.4860e+28,0.0000e+00,96.9,3.0,0.1
2,8.6819e+29,2.0651e+29,6.5142e+29,3.4850e+27,6.7800e+27,1.2921e+29,7.7294e+28,3.3955e+29,3.1187e+29,1.8660e+27,1.6190e+27,3.4340e+27,3.3460e+27,23.8,75.0,0.4,0.8,8.6823e+29,8.4152e+29,2.5988e+28,7.2200e+26,3.4592e+28,0.0000e+00,96.9,3.0,0.1
3,8.7025e+29,2.0576e+29,6.5426e+29,3.4410e+27,6.7790e+27,1.2839e+29,7.7373e+28,3.3993e+29,3.1433e+29,1.8290e+27,1.6120e+27,3.4270e+27,3.3520e+27,23.6,75.2,0.4,0.8,8.7040e+29,8.4385e+29,2.5799e+28,7.4800e+26,3.4572e+28,0.0000e+00,97.0,3.0,0.1
4,8.7114e+29,2.0616e+29,6.5474e+29,3.4690e+27,6.7760e+27,1.2807e+29,7.8091e+28,3.4013e+29,3.1461e+29,1.7910e+27,1.6780e+27,3.3300e+27,3.4460e+27,23.7,75.2,0.4,0.8,8.7116e+29,8.4460e+29,2.5881e+28,6.7200e+26,3.4545e+28,0.0000e+00,97.0,3.0,0.1
5,8.7863e+29,2.0687e+29,6.6137e+29,3.5660e+27,6.8250e+27,1.2779e+29,7.9078e+28,3.4268e+29,3.1869e+29,1.8710e+27,1.6950e+27,3.4300e+27,3.3950e+27,23.5,75.3,0.4,0.8,8.7863e+29,8.5171e+29,2.6180e+28,7.4000e+26,3.4765e+28,0.0000e+00,96.9,3.0,0.1
6,8.7332e+29,2.0549e+29,6.5746e+29,3.6050e+27,6.7640e+27,1.2675e+29,7.8743e+28,3.4162e+29,3.1584e+29,1.9180e+27,1.6870e+27,3.4180e+27,3.3460e+27,23.5,75.3,0.4,0.8,8.7288e+29,8.4621e+29,2.5933e+28,7.3700e+26,3.4470e+28,0.0000e+00,96.9,3.0,0.1
7,8.7785e+29,2.0600e+29,6.6154e+29,3.5040e+27,6.8070e+27,1.2680e+29,7.9197e+28,3.4311e+29,3.1842e+29,1.8700e+27,1.6340e+27,3.3130e+27,3.4940e+27,23.5,75.4,0.4,0.8,8.7812e+29,8.5139e+29,2.5947e+28,7.8100e+26,3.4676e+28,0.0000e+00,97.0,3.0,0.1
8,8.7052e+29,2.0385e+29,6.5640e+29,3.5120e+27,6.7600e+27,1.2509e+29,7.8756e+28,3.3951e+29,3.1688e+29,1.8500e+27,1.6620e+27,3.4050e+27,3.3550e+27,23.4,75.4,0.4,0.8,8.7090e+29,8.4440e+29,2.5749e+28,7.5200e+26,3.4369e+28,0.0000e+00,97.0,3.0,0.1
9,8.7194e+29,2.0483e+29,6.5684e+29,3.4740e+27,6.7990e+27,1.2531e+29,7.9518e+28,3.3844e+29,3.1840e+29,1.8390e+27,1.6350e+27,3.3620e+27,3.4370e+27,23.5,75.3,0.4,0.8,8.7212e+29,8.4572e+29,2.5585e+28,8.1300e+26,3.4561e+28,0.0000e+00,97.0,2.9,0.1
