TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5494e+29,1.8323e+29,6.6211e+29,2.8160e+27,6.7780e+27,1.1699e+29,6.6243e+28,3.4941e+29,3.1270e+29,1.5140e+27,1.3020e+27,3.3550e+27,3.4230e+27,1.6378e+08,5.4923e+06,5.0202e+08,5.1959e-06,1.5194e+07,3.1221e+05,6.6629e+05,6.6626e+05,21.4,77.4,0.3,0.8,8.5498e+29,8.2841e+29,2.6002e+28,5.7300e+26,3.4613e+28,0.0000e+00,96.9,3.0,0.1
1,8.6504e+29,1.8378e+29,6.7160e+29,2.8370e+27,6.8240e+27,1.1706e+29,6.6715e+28,3.5237e+29,3.1924e+29,1.4550e+27,1.3820e+27,3.4960e+27,3.3280e+27,1.6198e+08,5.4411e+06,4.7820e+08,4.5164e-06,1.5125e+07,3.1776e+05,6.6625e+05,6.6616e+05,21.2,77.6,0.3,0.8,8.6484e+29,8.3780e+29,2.6515e+28,5.3200e+26,3.4860e+28,0.0000e+00,96.9,3.1,0.1
2,8.6048e+29,1.8298e+29,6.6786e+29,2.8530e+27,6.7800e+27,1.1564e+29,6.7343e+28,3.4878e+29,3.1908e+29,1.4780e+27,1.3750e+27,3.4340e+27,3.3460e+27,1.6036e+08,5.3386e+06,5.0436e+08,3.9118e-06,1.5227e+07,3.1845e+05,6.6616e+05,6.6599e+05,21.3,77.6,0.3,0.8,8.6009e+29,8.3304e+29,2.6456e+28,5.8800e+26,3.4592e+28,0.0000e+00,96.9,3.1,0.1
3,8.6065e+29,1.8212e+29,6.6889e+29,2.8580e+27,6.7790e+27,1.1464e+29,6.7478e+28,3.4926e+29,3.1963e+29,1.5170e+27,1.3410e+27,3.4270e+27,3.3520e+27,1.5834e+08,5.6246e+06,4.9343e+08,3.3990e-06,1.5242e+07,3.2688e+05,6.6599e+05,6.6576e+05,21.2,77.7,0.3,0.8,8.6133e+29,8.3443e+29,2.6281e+28,6.1500e+26,3.4572e+28,0.0000e+00,96.9,3.1,0.1
4,8.6135e+29,1.8226e+29,6.6951e+29,2.8040e+27,6.7760e+27,1.1461e+29,6.7644e+28,3.4957e+29,3.1994e+29,1.4540e+27,1.3500e+27,3.3300e+27,3.4460e+27,1.5684e+08,5.5834e+06,5.1702e+08,2.9353e-06,1.5232e+07,3.1681e+05,6.6576e+05,6.6547e+05,21.2,77.7,0.3,0.8,8.6044e+29,8.3347e+29,2.6395e+28,5.7800e+26,3.4545e+28,0.0000e+00,96.9,3.1,0.1
5,8.7185e+29,1.8328e+29,6.7874e+29,3.0130e+27,6.8250e+27,1.1467e+29,6.8609e+28,3.5322e+29,3.2552e+29,1.5610e+27,1.4520e+27,3.4300e+27,3.3950e+27,1.5499e+08,5.2959e+06,5.8964e+08,2.5303e-06,1.5008e+07,3.2198e+05,6.6547e+05,6.6511e+05,21.0,77.9,0.3,0.8,8.7224e+29,8.4512e+29,2.6476e+28,6.4400e+26,3.4765e+28,0.0000e+00,96.9,3.0,0.1
6,8.6260e+29,1.8157e+29,6.7131e+29,2.9600e+27,6.7640e+27,1.1326e+29,6.8312e+28,3.4941e+29,3.2191e+29,1.5620e+27,1.3980e+27,3.4180e+27,3.3460e+27,1.5327e+08,5.5515e+06,4.9445e+08,2.1830e-06,1.5030e+07,3.2384e+05,6.6510e+05,6.6468e+05,21.0,77.8,0.3,0.8,8.6276e+29,8.3549e+29,2.6642e+28,6.2800e+26,3.4470e+28,0.0000e+00,96.8,3.1,0.1
7,8.7017e+29,1.8231e+29,6.7797e+29,3.0830e+27,6.8070e+27,1.1327e+29,6.9035e+28,3.5165e+29,3.2632e+29,1.6540e+27,1.4290e+27,3.3130e+27,3.4940e+27,1.5157e+08,5.5334e+06,5.1602e+08,1.8866e-06,1.5053e+07,3.3367e+05,6.6468e+05,6.6419e+05,21.0,77.9,0.4,0.8,8.7008e+29,8.4249e+29,2.6893e+28,6.9200e+26,3.4676e+28,0.0000e+00,96.8,3.1,0.1
8,8.6108e+29,1.8009e+29,6.7141e+29,2.8190e+27,6.7600e+27,1.1158e+29,6.8510e+28,3.4785e+29,3.2355e+29,1.4760e+27,1.3430e+27,3.4050e+27,3.3550e+27,1.4995e+08,5.4143e+06,5.2220e+08,1.6377e-06,1.4998e+07,3.4096e+05,6.6418e+05,6.6363e+05,20.9,78.0,0.3,0.8,8.6120e+29,8.3407e+29,2.6429e+28,6.9700e+26,3.4369e+28,0.0000e+00,96.9,3.1,0.1
9,8.6304e+29,1.8043e+29,6.7276e+29,3.0560e+27,6.7990e+27,1.1142e+29,6.9007e+28,3.4714e+29,3.2562e+29,1.5620e+27,1.4940e+27,3.3620e+27,3.4370e+27,1.4837e+08,5.5954e+06,4.8283e+08,1.4189e-06,1.4894e+07,3.2162e+05,6.6363e+05,6.6301e+05,20.9,78.0,0.4,0.8,8.6310e+29,8.3597e+29,2.6404e+28,7.2900e+26,3.4561e+28,0.0000e+00,96.9,3.1,0.1
