TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,5.9700e+27,2.4000e+26,3.4400e+27,1.8000e+26,4.9327e+32,3.1467e+32,136
0,1,0.0500,0.1000,6.1500e+27,1.7700e+27,3.9600e+27,8.7000e+26,1.9299e+32,1.2656e+32,136
0,2,0.1000,0.2000,2.0740e+28,1.4280e+28,1.1910e+28,7.7800e+27,3.3708e+32,2.0133e+32,136
0,3,0.2000,0.3500,2.3150e+28,5.2300e+28,1.3200e+28,3.2770e+28,2.1753e+32,1.2487e+32,136
0,4,0.3500,0.5500,1.2900e+28,9.7420e+28,7.9500e+27,7.4930e+28,6.9734e+31,4.3906e+31,136
0,5,0.5500,1.0100,5.7100e+27,2.8368e+29,4.7300e+27,2.6491e+29,1.7305e+31,1.5053e+31,136
1,0,0.0000,0.0500,5.5900e+27,3.1000e+26,3.3600e+27,2.0000e+26,4.9355e+32,3.1480e+32,136
1,1,0.0500,0.1000,6.6000e+27,1.4000e+27,4.1300e+27,7.4000e+26,1.9282e+32,1.2649e+32,136
1,2,0.1000,0.2000,1.9720e+28,1.4100e+28,1.1980e+28,8.8900e+27,3.3653e+32,2.0105e+32,136
1,3,0.2000,0.3500,2.2700e+28,4.9380e+28,1.4220e+28,3.1370e+28,2.1669e+32,1.2462e+32,136
1,4,0.3500,0.5500,1.2380e+28,9.9620e+28,7.8600e+27,7.5840e+28,6.9555e+31,4.3966e+31,136
1,5,0.5500,1.0100,5.0000e+27,2.8439e+29,4.4100e+27,2.6845e+29,1.7398e+31,1.5114e+31,136
2,0,0.0000,0.0500,5.7200e+27,3.2000e+26,3.3800e+27,1.2000e+26,4.9381e+32,3.1498e+32,136
2,1,0.0500,0.1000,6.3100e+27,1.3400e+27,4.3000e+27,7.2000e+26,1.9265e+32,1.2644e+32,136
2,2,0.1000,0.2000,1.9600e+28,1.4140e+28,1.1920e+28,8.6200e+27,3.3603e+32,2.0081e+32,136
2,3,0.2000,0.3500,2.3080e+28,4.7570e+28,1.3090e+28,3.2080e+28,2.1570e+32,1.2432e+32,136
2,4,0.3500,0.5500,1.1920e+28,9.3280e+28,8.1500e+27,7.3640e+28,6.9212e+31,4.4056e+31,136
2,5,0.5500,1.0100,4.8800e+27,2.8376e+29,4.6200e+27,2.7454e+29,1.7446e+31,1.5247e+31,136
3,0,0.0000,0.0500,5.4400e+27,3.5000e+26,3.5100e+27,1.4000e+26,4.9771e+32,3.1743e+32,137
3,1,0.0500,0.1000,6.2400e+27,1.3300e+27,4.0500e+27,7.7000e+26,1.9392e+32,1.2732e+32,137
3,2,0.1000,0.2000,1.9560e+28,1.3750e+28,1.1980e+28,8.9600e+27,3.3798e+32,2.0204e+32,137
3,3,0.2000,0.3500,2.3740e+28,4.9780e+28,1.2690e+28,3.3040e+28,2.1644e+32,1.2481e+32,137
3,4,0.3500,0.5500,1.2690e+28,1.0142e+29,8.7900e+27,7.5800e+28,6.9514e+31,4.4357e+31,137
3,5,0.5500,1.0100,5.5000e+27,2.8319e+29,4.3900e+27,2.7773e+29,1.7685e+31,1.5473e+31,137
4,0,0.0000,0.0500,5.8300e+27,2.1000e+26,3.7600e+27,1.5000e+26,4.9434e+32,3.1526e+32,136
