TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,9.6219e+29,1.1981e+29,8.3113e+29,4.4600e+27,6.7900e+27,7.4620e+28,4.5190e+28,4.4969e+29,3.8144e+29,2.3100e+27,2.1500e+27,3.5500e+27,3.2400e+27,2.4340e+28,8.5300e+27,2.0288e+08,1.1690e+06,1.7137e+09,2.7010e-05,5.0250e+07,1.0245e+05,6.6625e+05,6.6622e+05,12.5,86.4,0.5,0.7,9.6224e+29,9.3804e+29,2.3440e+28,7.6000e+26,2.4894e+28,0.0000e+00,97.5,2.4,0.1
1,9.6351e+29,1.1795e+29,8.3469e+29,4.0900e+27,6.7800e+27,7.1990e+28,4.5960e+28,4.4920e+29,3.8549e+29,2.3200e+27,1.7700e+27,3.2300e+27,3.5500e+27,2.4250e+28,7.7000e+27,2.0260e+08,1.1128e+06,1.8211e+09,2.3474e-05,4.9860e+07,1.2105e+05,6.6622e+05,6.6612e+05,12.2,86.6,0.4,0.7,9.6358e+29,9.3993e+29,2.2770e+28,8.8000e+26,2.4887e+28,0.0000e+00,97.5,2.4,0.1
2,9.5815e+29,1.1697e+29,8.3013e+29,4.2600e+27,6.7900e+27,7.1510e+28,4.5460e+28,4.4041e+29,3.8972e+29,2.0100e+27,2.2500e+27,3.3500e+27,3.4400e+27,2.3830e+28,7.8100e+27,2.0235e+08,1.0965e+06,1.8406e+09,2.0357e-05,4.9575e+07,1.1328e+05,6.6611e+05,6.6595e+05,12.2,86.6,0.4,0.7,9.5763e+29,9.3428e+29,2.2590e+28,7.6000e+26,2.4871e+28,0.0000e+00,97.6,2.4,0.1
3,9.7598e+29,1.1858e+29,8.4626e+29,4.3300e+27,6.8100e+27,7.3170e+28,4.5410e+28,4.4982e+29,3.9644e+29,2.3900e+27,1.9400e+27,3.6100e+27,3.2000e+27,2.3190e+28,7.6900e+27,2.0196e+08,1.1291e+06,2.0828e+09,1.7606e-05,4.9368e+07,1.2457e+05,6.6595e+05,6.6572e+05,12.1,86.7,0.4,0.7,9.7627e+29,9.5183e+29,2.3590e+28,8.5000e+26,2.5031e+28,0.0000e+00,97.5,2.4,0.1
4,9.7648e+29,1.1850e+29,8.4725e+29,3.9500e+27,6.7800e+27,7.3090e+28,4.5410e+28,4.5278e+29,3.9447e+29,2.3600e+27,1.5900e+27,3.2200e+27,3.5600e+27,2.4410e+28,7.3000e+27,2.0131e+08,1.0836e+06,1.6895e+09,1.5224e-05,4.8962e+07,1.3237e+05,6.6572e+05,6.6543e+05,12.1,86.8,0.4,0.7,9.7633e+29,9.5211e+29,2.3370e+28,8.5000e+26,2.4818e+28,0.0000e+00,97.5,2.4,0.1
5,9.8719e+29,1.1798e+29,8.5829e+29,4.1400e+27,6.7800e+27,7.3110e+28,4.4870e+28,4.5525e+29,4.0304e+29,2.3100e+27,1.8300e+27,3.5100e+27,3.2700e+27,2.4600e+28,7.2300e+27,2.0108e+08,1.0271e+06,1.6416e+09,1.3219e-05,4.8508e+07,1.3297e+05,6.6542e+05,6.6507e+05,12.0,86.9,0.4,0.7,9.8617e+29,9.6229e+29,2.3000e+28,8.8000e+26,2.4779e+28,0.0000e+00,97.6,2.3,0.1
6,9.7385e+29,1.1989e+29,8.4286e+29,4.2900e+27,6.8100e+27,7.2060e+28,4.7830e+28,4.4630e+29,3.9656e+29,2.1400e+27,2.1500e+27,3.3800e+27,3.4300e+27,2.4140e+28,6.9900e+27,2.0081e+08,9.9259e+05,1.8172e+09,1.1408e-05,4.8035e+07,1.3603e+05,6.6506e+05,6.6464e+05,12.3,86.5,0.4,0.7,9.7418e+29,9.5045e+29,2.3030e+28,7.0000e+26,2.4915e+28,0.0000e+00,97.6,2.4,0.1
7,9.4736e+29,1.1777e+29,8.1858e+29,4.2600e+27,6.7500e+27,7.1540e+28,4.6230e+28,4.3169e+29,3.8689e+29,2.3900e+27,1.8700e+27,3.2800e+27,3.4700e+27,2.3630e+28,7.0400e+27,2.0048e+08,1.1232e+06,1.8101e+09,9.8583e-06,4.7647e+07,1.3616e+05,6.6464e+05,6.6415e+05,12.4,86.4,0.4,0.7,9.4906e+29,9.2513e+29,2.3150e+28,7.8000e+26,2.4680e+28,0.0000e+00,97.5,2.4,0.1
8,9.4852e+29,1.1819e+29,8.1926e+29,4.2600e+27,6.8100e+27,7.2860e+28,4.5330e+28,4.3507e+29,3.8419e+29,2.1900e+27,2.0700e+27,3.2400e+27,3.5700e+27,2.4600e+28,6.5400e+27,2.0001e+08,1.0728e+06,2.0726e+09,8.5179e-06,4.7334e+07,1.2937e+05,6.6415e+05,6.6359e+05,12.5,86.4,0.4,0.7,9.4868e+29,9.2422e+29,2.3540e+28,9.2000e+26,2.4800e+28,0.0000e+00,97.4,2.5,0.1
9,9.5013e+29,1.1796e+29,8.2146e+29,3.9100e+27,6.8000e+27,7.1920e+28,4.6040e+28,4.4310e+29,3.7836e+29,2.3200e+27,1.5900e+27,3.4400e+27,3.3600e+27,2.3950e+28,7.0400e+27,1.9959e+08,1.1504e+06,1.6106e+09,7.4070e-06,4.7053e+07,1.3196e+05,6.6359e+05,6.6297e+05,12.4,86.5,0.4,0.7,9.5072e+29,9.2732e+29,2.2530e+28,8.7000e+26,2.4731e+28,0.0000e+00,97.5,2.4,0.1
10,9.4049e+29,1.1696e+29,8.1244e+29,4.2600e+27,6.8300e+27,7.1510e+28,4.5450e+28,4.2455e+29,3.8789e+29,2.2500e+27,2.0100e+27,3.3000e+27,3.5300e+27,2.3360e+28,6.2500e+27,1.9920e+08,1.0329e+06,1.6258e+09,6.4234e-06,4.6820e+07,1.2922e+05,6.6297e+05,6.6229e+05,12.4,86.4,0.5,0.7,9.3938e+29,9.1621e+29,2.2240e+28,9.3000e+26,2.4655e+28,0.0000e+00,97.5,2.4,0.1
11,9.2924e+29,1.1635e+29,8.0181e+29,4.3000e+27,6.7800e+27,6.9960e+28,4.6390e+28,4.1682e+29,3.8499e+29,2.1400e+27,2.1600e+27,3.3700e+27,3.4100e+27,2.3620e+28,6.7200e+27,1.9886e+08,1.0096e+06,1.6857e+09,5.5861e-06,4.6722e+07,1.2254e+05,6.6228e+05,6.6154e+05,12.5,86.3,0.5,0.7,9.3039e+29,9.0764e+29,2.1800e+28,9.5000e+26,2.4572e+28,0.0000e+00,97.6,2.3,0.1
12,9.3649e+29,1.1719e+29,8.0875e+29,3.8300e+27,6.7200e+27,6.8950e+28,4.8240e+28,4.2207e+29,3.8668e+29,2.1000e+27,1.7300e+27,3.5300e+27,3.1900e+27,2.2080e+28,6.6400e+27,1.9860e+08,1.1691e+06,1.6250e+09,4.8989e-06,4.6223e+07,1.2746e+05,6.6153e+05,6.6073e+05,12.5,86.4,0.4,0.7,9.3626e+29,9.1373e+29,2.1620e+28,9.1000e+26,2.4481e+28,0.0000e+00,97.6,2.3,0.1
13,8.9984e+29,1.1664e+29,7.7253e+29,3.9200e+27,6.7500e+27,7.0200e+28,4.6440e+28,3.9953e+29,3.7300e+29,2.2100e+27,1.7100e+27,3.4000e+27,3.3500e+27,2.3330e+28,6.4700e+27,1.9814e+08,1.2823e+06,1.6432e+09,4.2931e-06,4.5788e+07,1.2828e+05,6.6072e+05,6.5985e+05,13.0,85.9,0.4,0.8,9.0079e+29,8.7832e+29,2.1430e+28,1.0400e+27,2.4383e+28,0.0000e+00,97.5,2.4,0.1
14,9.1199e+29,1.1775e+29,7.8349e+29,3.9000e+27,6.8500e+27,7.1470e+28,4.6280e+28,4.0407e+29,3.7942e+29,2.0200e+27,1.8800e+27,3.4300e+27,3.4200e+27,2.4060e+28,6.1500e+27,1.9768e+08,1.2116e+06,1.6858e+09,3.7776e-06,4.5445e+07,1.2033e+05,6.5985e+05,6.5891e+05,12.9,85.9,0.4,0.8,9.1212e+29,8.8925e+29,2.1550e+28,1.3200e+27,2.4456e+28,0.0000e+00,97.5,2.4,0.1
15,8.9489e+29,1.1500e+29,7.6912e+29,4.0400e+27,6.7300e+27,6.9310e+28,4.5690e+28,3.9824e+29,3.7088e+29,2.0900e+27,1.9500e+27,3.3200e+27,3.4100e+27,2.2810e+28,5.9200e+27,1.9715e+08,9.9478e+05,1.7302e+09,3.3430e-06,4.5278e+07,1.0727e+05,6.5891e+05,6.5791e+05,12.9,85.9,0.5,0.8,8.9590e+29,8.7422e+29,2.0640e+28,1.0400e+27,2.4343e+28,0.0000e+00,97.6,2.3,0.1
16,8.9972e+29,1.1664e+29,7.7218e+29,4.1500e+27,6.7500e+27,7.0830e+28,4.5810e+28,3.9510e+29,3.7708e+29,2.1900e+27,1.9600e+27,3.4500e+27,3.3000e+27,2.3730e+28,5.8100e+27,1.9654e+08,1.0059e+06,1.7202e+09,2.9776e-06,4.4955e+07,9.4399e+04,6.5790e+05,6.5685e+05,13.0,85.8,0.5,0.8,8.9852e+29,8.7652e+29,2.0670e+28,1.3300e+27,2.4223e+28,0.0000e+00,97.6,2.3,0.1
17,8.9583e+29,1.1620e+29,7.6900e+29,3.8500e+27,6.7800e+27,7.1130e+28,4.5070e+28,3.9800e+29,3.7100e+29,2.0900e+27,1.7600e+27,3.5000e+27,3.2800e+27,2.3320e+28,5.8800e+27,1.9630e+08,1.0552e+06,1.5262e+09,2.6714e-06,4.4552e+07,9.8360e+04,6.5684e+05,6.5572e+05,13.0,85.8,0.4,0.8,8.9746e+29,8.7631e+29,2.0050e+28,1.1000e+27,2.4097e+28,0.0000e+00,97.6,2.2,0.1
18,8.8310e+29,1.1593e+29,7.5631e+29,3.9900e+27,6.8700e+27,7.0170e+28,4.5760e+28,3.9375e+29,3.6256e+29,2.2700e+27,1.7200e+27,3.3800e+27,3.4900e+27,2.3200e+28,6.4400e+27,1.9578e+08,1.1515e+06,1.8465e+09,2.4259e-06,4.4273e+07,1.1169e+05,6.5572e+05,6.5454e+05,13.1,85.6,0.5,0.8,8.8407e+29,8.6202e+29,2.0800e+28,1.2500e+27,2.4138e+28,0.0000e+00,97.5,2.4,0.1
19,8.6374e+29,1.1641e+29,7.3638e+29,4.1300e+27,6.8200e+27,6.9990e+28,4.6420e+28,3.8029e+29,3.5609e+29,2.2800e+27,1.8500e+27,3.3400e+27,3.4800e+27,2.3150e+28,5.6300e+27,1.9496e+08,1.0782e+06,1.5847e+09,2.2118e-06,4.4206e+07,9.3146e+04,6.5453e+05,6.5329e+05,13.5,85.3,0.5,0.8,8.6451e+29,8.4264e+29,2.0340e+28,1.5300e+27,2.3997e+28,0.0000e+00,97.5,2.4,0.2
20,8.5559e+29,1.1597e+29,7.2895e+29,3.8600e+27,6.8100e+27,6.9070e+28,4.6900e+28,3.8278e+29,3.4617e+29,2.0400e+27,1.8200e+27,3.7000e+27,3.1100e+27,2.2540e+28,5.5400e+27,1.9413e+08,1.0463e+06,2.0793e+09,2.0360e-06,4.4062e+07,9.0386e+04,6.5328e+05,6.5198e+05,13.6,85.2,0.5,0.8,8.5622e+29,8.3534e+29,1.9130e+28,1.7500e+27,2.3850e+28,0.0000e+00,97.6,2.2,0.2
21,8.4299e+29,1.1573e+29,7.1642e+29,4.0500e+27,6.7900e+27,6.9830e+28,4.5900e+28,3.8256e+29,3.3386e+29,2.0300e+27,2.0200e+27,3.5600e+27,3.2300e+27,2.2980e+28,5.7500e+27,1.9347e+08,1.1553e+06,1.5134e+09,1.9028e-06,4.3864e+07,1.0127e+05,6.5197e+05,6.5062e+05,13.7,85.0,0.5,0.8,8.4242e+29,8.2194e+29,1.8270e+28,2.2100e+27,2.3697e+28,0.0000e+00,97.6,2.2,0.3
22,8.3496e+29,1.1617e+29,7.0777e+29,4.1600e+27,6.8600e+27,6.9630e+28,4.6540e+28,3.7264e+29,3.3513e+29,2.3000e+27,1.8600e+27,3.2700e+27,3.5900e+27,2.2700e+28,5.1100e+27,1.9313e+08,1.2213e+06,1.5884e+09,1.7885e-06,4.3517e+07,1.0747e+05,6.5061e+05,6.4919e+05,13.9,84.8,0.5,0.8,8.3591e+29,8.1437e+29,1.9280e+28,2.2600e+27,2.3707e+28,0.0000e+00,97.4,2.3,0.3
23,8.3055e+29,1.1573e+29,7.0412e+29,3.9700e+27,6.7300e+27,6.9130e+28,4.6600e+28,3.6960e+29,3.3452e+29,2.2400e+27,1.7300e+27,3.4400e+27,3.2900e+27,2.2290e+28,5.6900e+27,1.9243e+08,1.1787e+06,2.3643e+09,1.7009e-06,4.3484e+07,1.1313e+05,6.4918e+05,6.4771e+05,13.9,84.8,0.5,0.8,8.3050e+29,8.1004e+29,1.8460e+28,2.0000e+27,2.3541e+28,0.0000e+00,97.5,2.2,0.2
24,8.1921e+29,1.1432e+29,6.9440e+29,3.7400e+27,6.7500e+27,6.8810e+28,4.5510e+28,3.6150e+29,3.3290e+29,2.1600e+27,1.5800e+27,3.2600e+27,3.4900e+27,2.3180e+28,5.1400e+27,1.9167e+08,1.1174e+06,1.9792e+09,1.6379e-06,4.3121e+07,1.1406e+05,6.4770e+05,6.4618e+05,14.0,84.8,0.5,0.8,8.2022e+29,7.9991e+29,1.8230e+28,2.0800e+27,2.3369e+28,0.0000e+00,97.5,2.2,0.3
