TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,2.6340e+28,2.4000e+26,5.3700e+27,8.0000e+25,3.1785e+32,6.6344e+31,136
0,1,0.0500,0.1000,1.4890e+28,1.2500e+27,3.2100e+27,2.7000e+26,5.9586e+31,1.3416e+31,136
0,2,0.1000,0.2000,3.0080e+28,1.0510e+28,9.2300e+27,3.3700e+27,6.8982e+31,2.1274e+31,136
0,3,0.2000,0.3500,2.5610e+28,3.2180e+28,1.2710e+28,1.8680e+28,3.1410e+31,1.6477e+31,136
0,4,0.3500,0.5500,1.7560e+28,7.2480e+28,1.3210e+28,5.7260e+28,1.2818e+31,9.5614e+30,136
0,5,0.5500,1.0100,1.2860e+28,2.7258e+29,1.2080e+28,2.5902e+29,6.1486e+30,5.5652e+30,136
1,0,0.0000,0.0500,2.6350e+28,1.4000e+26,4.7100e+27,3.0000e+25,3.1649e+32,6.6241e+31,136
1,1,0.0500,0.1000,1.4430e+28,1.1800e+27,2.5200e+27,3.6000e+26,5.8798e+31,1.3367e+31,136
1,2,0.1000,0.2000,2.9510e+28,9.7600e+27,9.1900e+27,3.7300e+27,6.8135e+31,2.1233e+31,136
1,3,0.2000,0.3500,2.5440e+28,3.0910e+28,1.3370e+28,1.8730e+28,3.1336e+31,1.6490e+31,136
1,4,0.3500,0.5500,1.7790e+28,7.4780e+28,1.3350e+28,5.8090e+28,1.2989e+31,9.5616e+30,136
1,5,0.5500,1.0100,1.3110e+28,2.7036e+29,1.2430e+28,2.5798e+29,6.1204e+30,5.5718e+30,136
2,0,0.0000,0.0500,2.5480e+28,2.9000e+26,5.5000e+27,3.0000e+25,3.1512e+32,6.6093e+31,136
2,1,0.0500,0.1000,1.4240e+28,9.0000e+26,3.0300e+27,2.1000e+26,5.8042e+31,1.3314e+31,136
2,2,0.1000,0.2000,2.7900e+28,9.6000e+27,9.5200e+27,3.7500e+27,6.7362e+31,2.1172e+31,136
2,3,0.2000,0.3500,2.5300e+28,3.2050e+28,1.4240e+28,1.8910e+28,3.1313e+31,1.6595e+31,136
2,4,0.3500,0.5500,1.7980e+28,7.6250e+28,1.2990e+28,5.9130e+28,1.3127e+31,9.5724e+30,136
2,5,0.5500,1.0100,1.3040e+28,2.7082e+29,1.2700e+28,2.6448e+29,6.0917e+30,5.6419e+30,136
3,0,0.0000,0.0500,2.4870e+28,1.5000e+26,4.9600e+27,8.0000e+25,3.1597e+32,6.6469e+31,137
3,1,0.0500,0.1000,1.4100e+28,1.0300e+27,3.2800e+27,3.1000e+26,5.7709e+31,1.3359e+31,137
3,2,0.1000,0.2000,2.8710e+28,9.2900e+27,8.6400e+27,3.3300e+27,6.7087e+31,2.1299e+31,137
3,3,0.2000,0.3500,2.4560e+28,3.1140e+28,1.4360e+28,1.8920e+28,3.1540e+31,1.6775e+31,137
3,4,0.3500,0.5500,1.7960e+28,7.6260e+28,1.3030e+28,6.2780e+28,1.3271e+31,9.7122e+30,137
3,5,0.5500,1.0100,1.3640e+28,2.7140e+29,1.2610e+28,2.6015e+29,6.1484e+30,5.6825e+30,137
4,0,0.0000,0.0500,2.6050e+28,2.2000e+26,5.4700e+27,1.0000e+26,3.1219e+32,6.5916e+31,136
4,1,0.0500,0.1000,1.3750e+28,9.2000e+26,3.2000e+27,4.0000e+26,5.6510e+31,1.3210e+31,136
4,2,0.1000,0.2000,2.7620e+28,9.2000e+27,9.2300e+27,3.6900e+27,6.5956e+31,2.1107e+31,136
4,3,0.2000,0.3500,2.5140e+28,3.2480e+28,1.4070e+28,1.9100e+28,3.1464e+31,1.6667e+31,136
4,4,0.3500,0.5500,1.7750e+28,7.7080e+28,1.3000e+28,6.1620e+28,1.2958e+31,9.6894e+30,136
4,5,0.5500,1.0100,1.2580e+28,2.7068e+29,1.2140e+28,2.6693e+29,6.0796e+30,5.7136e+30,136
5,0,0.0000,0.0500,2.5040e+28,1.5000e+26,5.5200e+27,8.0000e+25,3.1083e+32,6.5806e+31,136
5,1,0.0500,0.1000,1.4520e+28,1.1200e+27,2.9800e+27,3.8000e+26,5.9144e+31,1.3182e+31,136
5,2,0.1000,0.2000,2.7210e+28,8.4800e+27,9.0000e+27,3.9600e+27,6.2177e+31,2.1150e+31,136
5,3,0.2000,0.3500,2.4950e+28,3.1420e+28,1.3370e+28,1.9220e+28,3.1322e+31,1.6747e+31,136
5,4,0.3500,0.5500,1.7080e+28,7.5400e+28,1.3510e+28,6.1620e+28,1.2867e+31,9.7413e+30,136
5,5,0.5500,1.0100,1.3780e+28,2.8256e+29,1.2200e+28,2.6638e+29,6.2281e+30,5.7491e+30,136
6,0,0.0000,0.0500,2.4730e+28,1.2000e+26,5.3100e+27,1.4000e+26,3.1182e+32,6.6203e+31,137
6,1,0.0500,0.1000,1.4680e+28,1.0700e+27,2.8500e+27,2.9000e+26,5.9199e+31,1.2719e+31,137
6,2,0.1000,0.2000,2.7500e+28,8.6400e+27,9.6900e+27,3.7100e+27,6.2380e+31,2.1811e+31,137
6,3,0.2000,0.3500,2.5240e+28,3.2850e+28,1.4310e+28,2.0660e+28,3.0574e+31,1.7004e+31,137
6,4,0.3500,0.5500,1.6960e+28,7.1460e+28,1.3840e+28,6.2140e+28,1.2847e+31,9.9104e+30,137
