TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,9.1881e+29,1.8315e+29,7.2792e+29,9.5000e+26,6.7900e+27,1.2734e+29,5.5810e+28,3.8924e+29,3.3868e+29,5.2000e+26,4.3000e+26,3.5500e+27,3.2400e+27,6.1380e+28,6.4200e+27,4.8462e+08,2.2727e+06,1.8219e+09,1.6837e-05,6.9818e+06,2.9976e+04,6.6625e+05,6.6622e+05,19.9,79.2,0.1,0.7,9.1874e+29,8.9645e+29,2.2030e+28,2.6000e+26,2.4894e+28,0.0000e+00,97.6,2.4,0.0
1,9.1580e+29,1.8220e+29,7.2605e+29,7.7000e+26,6.7800e+27,1.2663e+29,5.5570e+28,3.8713e+29,3.3892e+29,4.6000e+26,3.1000e+26,3.2300e+27,3.5500e+27,6.0590e+28,6.1300e+27,4.8094e+08,2.4575e+06,1.9184e+09,1.4623e-05,6.8718e+06,3.8533e+04,6.6622e+05,6.6612e+05,19.9,79.3,0.1,0.7,9.1577e+29,8.9241e+29,2.3040e+28,3.2000e+26,2.4887e+28,0.0000e+00,97.4,2.5,0.0
2,9.2577e+29,1.8192e+29,7.3642e+29,6.4000e+26,6.7900e+27,1.2394e+29,5.7980e+28,3.8991e+29,3.4651e+29,2.9000e+26,3.5000e+26,3.3500e+27,3.4400e+27,5.8330e+28,5.7600e+27,4.7805e+08,2.8911e+06,1.5071e+09,1.2673e-05,6.8681e+06,3.5278e+04,6.6611e+05,6.6595e+05,19.7,79.5,0.1,0.7,9.2413e+29,9.0104e+29,2.2780e+28,3.1000e+26,2.4871e+28,0.0000e+00,97.5,2.5,0.0
3,9.2312e+29,1.8072e+29,7.3484e+29,7.5000e+26,6.8100e+27,1.2384e+29,5.6880e+28,3.8927e+29,3.4557e+29,4.3000e+26,3.2000e+26,3.6100e+27,3.2000e+27,5.7780e+28,5.4500e+27,4.7394e+08,2.6098e+06,2.0519e+09,1.1040e-05,6.9484e+06,3.3178e+04,6.6595e+05,6.6572e+05,19.6,79.6,0.1,0.7,9.2406e+29,9.0182e+29,2.2030e+28,2.1000e+26,2.5031e+28,0.0000e+00,97.6,2.4,0.0
4,9.3008e+29,1.8000e+29,7.4242e+29,8.8000e+26,6.7800e+27,1.2289e+29,5.7110e+28,3.9058e+29,3.5184e+29,4.9000e+26,3.9000e+26,3.2200e+27,3.5600e+27,5.8130e+28,5.2700e+27,4.7011e+08,2.3565e+06,1.7880e+09,9.5397e-06,7.1581e+06,4.5996e+04,6.6572e+05,6.6543e+05,19.4,79.8,0.1,0.7,9.2957e+29,9.0716e+29,2.2130e+28,2.8000e+26,2.4818e+28,0.0000e+00,97.6,2.4,0.0
5,9.3736e+29,1.7916e+29,7.5077e+29,6.5000e+26,6.7800e+27,1.2258e+29,5.6580e+28,3.9913e+29,3.5164e+29,3.1000e+26,3.4000e+26,3.5100e+27,3.2700e+27,5.7450e+28,5.1200e+27,4.6728e+08,2.4039e+06,1.6603e+09,8.2379e-06,7.0750e+06,5.0616e+04,6.6542e+05,6.6507e+05,19.1,80.1,0.1,0.7,9.3692e+29,9.1425e+29,2.2390e+28,2.8000e+26,2.4779e+28,0.0000e+00,97.6,2.4,0.0
6,9.4192e+29,1.8211e+29,7.5239e+29,6.1000e+26,6.8100e+27,1.2297e+29,5.9140e+28,3.9171e+29,3.6068e+29,2.9000e+26,3.2000e+26,3.3800e+27,3.4300e+27,5.7000e+28,4.6800e+27,4.6454e+08,2.5623e+06,1.7137e+09,7.1046e-06,7.1933e+06,4.3239e+04,6.6506e+05,6.6464e+05,19.3,79.9,0.1,0.7,9.4225e+29,9.1974e+29,2.2250e+28,2.6000e+26,2.4915e+28,0.0000e+00,97.6,2.4,0.0
7,9.2726e+29,1.7804e+29,7.4154e+29,9.3000e+26,6.7500e+27,1.2011e+29,5.7930e+28,3.9034e+29,3.5120e+29,5.2000e+26,4.1000e+26,3.2800e+27,3.4700e+27,5.4200e+28,5.1100e+27,4.6092e+08,3.1113e+06,1.8477e+09,6.1359e-06,7.2054e+06,4.1351e+04,6.6464e+05,6.6415e+05,19.2,80.0,0.1,0.7,9.2831e+29,9.0550e+29,2.2540e+28,2.7000e+26,2.4680e+28,0.0000e+00,97.5,2.4,0.0
8,9.3044e+29,1.7926e+29,7.4361e+29,7.6000e+26,6.8100e+27,1.2072e+29,5.8540e+28,3.9416e+29,3.4945e+29,4.3000e+26,3.3000e+26,3.2400e+27,3.5700e+27,5.4040e+28,5.1800e+27,4.5680e+08,2.9193e+06,1.7866e+09,5.2984e-06,7.1691e+06,4.0755e+04,6.6415e+05,6.6359e+05,19.3,79.9,0.1,0.7,9.3076e+29,9.0734e+29,2.3030e+28,3.9000e+26,2.4800e+28,0.0000e+00,97.5,2.5,0.0
9,9.2938e+29,1.7770e+29,7.4401e+29,8.7000e+26,6.8000e+27,1.1959e+29,5.8110e+28,3.9832e+29,3.4569e+29,5.2000e+26,3.5000e+26,3.4400e+27,3.3600e+27,5.3260e+28,4.9200e+27,4.5266e+08,2.5150e+06,1.7633e+09,4.6182e-06,7.1278e+06,5.2349e+04,6.6359e+05,6.6297e+05,19.1,80.1,0.1,0.7,9.2803e+29,9.0586e+29,2.1800e+28,3.7000e+26,2.4731e+28,0.0000e+00,97.6,2.3,0.0
10,9.1815e+29,1.7524e+29,7.3544e+29,6.4000e+26,6.8300e+27,1.1717e+29,5.8070e+28,3.8878e+29,3.4666e+29,3.7000e+26,2.7000e+26,3.3000e+27,3.5300e+27,5.3870e+28,5.1500e+27,4.4886e+08,1.9724e+06,1.8598e+09,4.0026e-06,6.8600e+06,4.6752e+04,6.6297e+05,6.6229e+05,19.1,80.1,0.1,0.7,9.1981e+29,8.9769e+29,2.1780e+28,3.4000e+26,2.4655e+28,0.0000e+00,97.6,2.4,0.0
11,9.0573e+29,1.7550e+29,7.2261e+29,8.4000e+26,6.7800e+27,1.1582e+29,5.9680e+28,3.7625e+29,3.4636e+29,4.6000e+26,3.8000e+26,3.3700e+27,3.4100e+27,5.1550e+28,5.0900e+27,4.4476e+08,2.5115e+06,1.8508e+09,3.4788e-06,6.7976e+06,4.7197e+04,6.6228e+05,6.6154e+05,19.4,79.8,0.1,0.7,9.0643e+29,8.8493e+29,2.1110e+28,3.9000e+26,2.4572e+28,0.0000e+00,97.6,2.3,0.0
12,8.9886e+29,1.7375e+29,7.1758e+29,8.1000e+26,6.7200e+27,1.1586e+29,5.7890e+28,3.7738e+29,3.4020e+29,5.3000e+26,2.8000e+26,3.5300e+27,3.1900e+27,5.1250e+28,4.3600e+27,4.4093e+08,3.2721e+06,1.8646e+09,3.0343e-06,6.6370e+06,4.5768e+04,6.6153e+05,6.6073e+05,19.3,79.8,0.1,0.7,8.9815e+29,8.7582e+29,2.1950e+28,3.8000e+26,2.4481e+28,0.0000e+00,97.5,2.4,0.0
13,8.9715e+29,1.7319e+29,7.1615e+29,1.0600e+27,6.7500e+27,1.1442e+29,5.8770e+28,3.7345e+29,3.4270e+29,6.4000e+26,4.2000e+26,3.4000e+27,3.3500e+27,5.0250e+28,4.3600e+27,4.3725e+08,2.4579e+06,1.6405e+09,2.6576e-06,6.5418e+06,4.5117e+04,6.6072e+05,6.5985e+05,19.3,79.8,0.1,0.8,8.9729e+29,8.7547e+29,2.1240e+28,5.8000e+26,2.4383e+28,0.0000e+00,97.6,2.4,0.1
14,8.9860e+29,1.7441e+29,7.1654e+29,8.0000e+26,6.8500e+27,1.1416e+29,6.0250e+28,3.7188e+29,3.4466e+29,4.6000e+26,3.4000e+26,3.4300e+27,3.4200e+27,4.9900e+28,4.1500e+27,4.3540e+08,2.3589e+06,1.6393e+09,2.3371e-06,6.4957e+06,4.7469e+04,6.5985e+05,6.5891e+05,19.4,79.7,0.1,0.8,8.9800e+29,8.7579e+29,2.1620e+28,5.9000e+26,2.4456e+28,0.0000e+00,97.5,2.4,0.1
15,8.8080e+29,1.7112e+29,7.0211e+29,8.4000e+26,6.7300e+27,1.1244e+29,5.8680e+28,3.6457e+29,3.3754e+29,5.2000e+26,3.2000e+26,3.3200e+27,3.4100e+27,4.8950e+28,4.2100e+27,4.3165e+08,1.9358e+06,1.7151e+09,2.0671e-06,6.5816e+06,4.4378e+04,6.5891e+05,6.5791e+05,19.4,79.7,0.1,0.8,8.8236e+29,8.6088e+29,2.0950e+28,5.3000e+26,2.4343e+28,0.0000e+00,97.6,2.4,0.1
16,8.7606e+29,1.7123e+29,6.9735e+29,7.3000e+26,6.7500e+27,1.1209e+29,5.9140e+28,3.5567e+29,3.4168e+29,4.4000e+26,2.9000e+26,3.4500e+27,3.3000e+27,4.9060e+28,4.0900e+27,4.2823e+08,2.4356e+06,2.0471e+09,1.8402e-06,6.4682e+06,4.8295e+04,6.5790e+05,6.5685e+05,19.5,79.6,0.1,0.8,8.7590e+29,8.5484e+29,2.0360e+28,7.0000e+26,2.4223e+28,0.0000e+00,97.6,2.3,0.1
17,8.6598e+29,1.7001e+29,6.8850e+29,6.9000e+26,6.7800e+27,1.1057e+29,5.9440e+28,3.4957e+29,3.3893e+29,4.1000e+26,2.8000e+26,3.5000e+27,3.2800e+27,4.7720e+28,3.6900e+27,4.2484e+08,2.2508e+06,1.6919e+09,1.6500e-06,6.3186e+06,4.7573e+04,6.5684e+05,6.5572e+05,19.6,79.5,0.1,0.8,8.6737e+29,8.4659e+29,2.0110e+28,6.7000e+26,2.4097e+28,0.0000e+00,97.6,2.3,0.1
18,8.4977e+29,1.6695e+29,6.7520e+29,7.5000e+26,6.8700e+27,1.0910e+29,5.7850e+28,3.4810e+29,3.2710e+29,4.1000e+26,3.4000e+26,3.3800e+27,3.4900e+27,4.7080e+28,3.6500e+27,4.2028e+08,2.2384e+06,1.5964e+09,1.5020e-06,6.2898e+06,4.8446e+04,6.5572e+05,6.5454e+05,19.6,79.5,0.1,0.8,8.5062e+29,8.2994e+29,1.9830e+28,8.5000e+26,2.4138e+28,0.0000e+00,97.6,2.3,0.1
19,8.4950e+29,1.6986e+29,6.7214e+29,6.8000e+26,6.8200e+27,1.1136e+29,5.8500e+28,3.4841e+29,3.2373e+29,4.4000e+26,2.4000e+26,3.3400e+27,3.4800e+27,4.7840e+28,4.1000e+27,4.1749e+08,2.6058e+06,1.4582e+09,1.3794e-06,6.1945e+06,4.0425e+04,6.5453e+05,6.5329e+05,20.0,79.1,0.1,0.8,8.4919e+29,8.2819e+29,1.9990e+28,1.0100e+27,2.3997e+28,0.0000e+00,97.5,2.4,0.1
20,8.4423e+29,1.6790e+29,6.6872e+29,8.0000e+26,6.8100e+27,1.0996e+29,5.7940e+28,3.4766e+29,3.2106e+29,4.7000e+26,3.3000e+26,3.7000e+27,3.1100e+27,4.6670e+28,3.4600e+27,4.1323e+08,2.1650e+06,1.7990e+09,1.2691e-06,6.2619e+06,4.4101e+04,6.5328e+05,6.5198e+05,19.9,79.2,0.1,0.8,8.4567e+29,8.2551e+29,1.9010e+28,1.1500e+27,2.3850e+28,0.0000e+00,97.6,2.2,0.1
21,8.3458e+29,1.6738e+29,6.5966e+29,7.5000e+26,6.7900e+27,1.0761e+29,5.9770e+28,3.4594e+29,3.1372e+29,4.4000e+26,3.1000e+26,3.5600e+27,3.2300e+27,4.5900e+28,3.7200e+27,4.0932e+08,2.0401e+06,1.4586e+09,1.1797e-06,6.1631e+06,4.5655e+04,6.5197e+05,6.5062e+05,20.1,79.0,0.1,0.8,8.3312e+29,8.1300e+29,1.8810e+28,1.3100e+27,2.3697e+28,0.0000e+00,97.6,2.3,0.2
22,8.2739e+29,1.6531e+29,6.5448e+29,7.4000e+26,6.8600e+27,1.0727e+29,5.8040e+28,3.3883e+29,3.1565e+29,3.6000e+26,3.8000e+26,3.2700e+27,3.5900e+27,4.5080e+28,3.9200e+27,4.0637e+08,2.2057e+06,1.6189e+09,1.1169e-06,6.1232e+06,4.3814e+04,6.5061e+05,6.4919e+05,20.0,79.1,0.1,0.8,8.2923e+29,8.0928e+29,1.8420e+28,1.5300e+27,2.3707e+28,0.0000e+00,97.6,2.2,0.2
23,8.1191e+29,1.6614e+29,6.3826e+29,7.8000e+26,6.7300e+27,1.0635e+29,5.9790e+28,3.3052e+29,3.0774e+29,3.2000e+26,4.6000e+26,3.4400e+27,3.2900e+27,4.5130e+28,3.9000e+27,4.0220e+08,2.0555e+06,1.5509e+09,1.0616e-06,6.0308e+06,4.1836e+04,6.4918e+05,6.4771e+05,20.5,78.6,0.1,0.8,8.1214e+29,7.9292e+29,1.7640e+28,1.5800e+27,2.3541e+28,0.0000e+00,97.6,2.2,0.2
24,7.9063e+29,1.6405e+29,6.1923e+29,6.0000e+26,6.7500e+27,1.0577e+29,5.8280e+28,3.1794e+29,3.0129e+29,2.3000e+26,3.7000e+26,3.2600e+27,3.4900e+27,4.4570e+28,3.5100e+27,3.9881e+08,1.8106e+06,1.4397e+09,1.0218e-06,5.9231e+06,4.5168e+04,6.4770e+05,6.4618e+05,20.7,78.3,0.1,0.9,7.9299e+29,7.7403e+29,1.7150e+28,1.8100e+27,2.3369e+28,0.0000e+00,97.6,2.2,0.2
25,7.7342e+29,1.6491e+29,6.0105e+29,7.1000e+26,6.7500e+27,1.0616e+29,5.8750e+28,3.0395e+29,2.9710e+29,3.3000e+26,3.8000e+26,3.3800e+27,3.3700e+27,4.5180e+28,3.3100e+27,3.9564e+08,2.3098e+06,1.4996e+09,9.9590e-07,6.0092e+06,3.9393e+04,6.4616e+05,6.4457e+05,21.3,77.7,0.1,0.9,7.7275e+29,7.5433e+29,1.6520e+28,1.9000e+27,2.3357e+28,0.0000e+00,97.6,2.1,0.2
26,7.4831e+29,1.6055e+29,5.8023e+29,7.0000e+26,6.8300e+27,1.0229e+29,5.8260e+28,2.9429e+29,2.8594e+29,3.7000e+26,3.3000e+26,3.2500e+27,3.5800e+27,4.3530e+28,3.3400e+27,3.9297e+08,1.8608e+06,1.6178e+09,9.8403e-07,5.9752e+06,3.9158e+04,6.4456e+05,6.4292e+05,21.5,77.5,0.1,0.9,7.4974e+29,7.3054e+29,1.6950e+28,2.2500e+27,2.3172e+28,0.0000e+00,97.4,2.3,0.3
27,7.4010e+29,1.6012e+29,5.7250e+29,6.8000e+26,6.8000e+27,1.0224e+29,5.7880e+28,2.9231e+29,2.8019e+29,3.7000e+26,3.1000e+26,3.3600e+27,3.4400e+27,4.3130e+28,3.8500e+27,3.8984e+08,2.3309e+06,1.5223e+09,9.8307e-07,5.8144e+06,3.0682e+04,6.4291e+05,6.4121e+05,21.6,77.4,0.1,0.9,7.4063e+29,7.2306e+29,1.5320e+28,2.2500e+27,2.3144e+28,0.0000e+00,97.6,2.1,0.3
28,7.3021e+29,1.5877e+29,5.6390e+29,6.8000e+26,6.8600e+27,1.0054e+29,5.8230e+28,2.8240e+29,2.8150e+29,4.1000e+26,2.7000e+26,3.3000e+27,3.5600e+27,4.3390e+28,3.5100e+27,3.8637e+08,2.3203e+06,2.1703e+09,9.8606e-07,5.9051e+06,3.2744e+04,6.4120e+05,6.3944e+05,21.7,77.2,0.1,0.9,7.3078e+29,7.1235e+29,1.5950e+28,2.4800e+27,2.2947e+28,0.0000e+00,97.5,2.2,0.3
29,7.1955e+29,1.5867e+29,5.5335e+29,7.1000e+26,6.8200e+27,1.0089e+29,5.7780e+28,2.8433e+29,2.6902e+29,3.7000e+26,3.4000e+26,3.3200e+27,3.5000e+27,4.2650e+28,3.1500e+27,3.8342e+08,2.3663e+06,1.4222e+09,1.0026e-06,5.9965e+06,3.4335e+04,6.3943e+05,6.3763e+05,22.1,76.9,0.1,0.9,7.2009e+29,7.0257e+29,1.4720e+28,2.8000e+27,2.2746e+28,0.0000e+00,97.6,2.0,0.4
