Time_hours,TAA,Exosphere_Total,Surface_Total,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.004613984076968336,3.543e+28,1.7600582476477673e+31,4.6880000000000005e+28,9.150000000000003e+27,3.7380000000000007e+28,0.0,3.5e+26,4.666000000000004e+28,4.558000000000004e+28,1.0800000000000001e+27,0.0,1.2813938826112553e+27,0.0
29561.555555555555,1.0035978740661449,3.49e+28,1.760904416160635e+31,9.18560000000001e+29,1.8308000000000005e+29,7.277399999999996e+29,9.5e+26,6.78999999999999e+27,9.190900000000012e+29,8.96740000000001e+29,2.208999999999999e+28,2.6e+26,2.4894453216448845e+28,0.0
29565.333333333332,2.0024777896696833,3.5169999999999998e+28,1.7616471842274888e+31,9.157200000000006e+29,1.8205999999999998e+29,7.261099999999991e+29,7.700000000000004e+26,6.77999999999999e+27,9.154500000000014e+29,8.920900000000014e+29,2.302999999999998e+28,3.3000000000000006e+26,2.488670602747906e+28,0.0
29569.11111111111,3.001149752583842,3.652e+28,1.76260753289825e+31,9.262300000000006e+29,1.8212999999999997e+29,7.366600000000006e+29,6.500000000000004e+26,6.78999999999999e+27,9.248800000000006e+29,9.017300000000008e+29,2.2839999999999995e+28,3.1e+26,2.4871245505938524e+28,0.0
29572.916666666668,4.006850565499008,3.584e+28,1.7632057580530746e+31,9.231200000000002e+29,1.8064000000000007e+29,7.349299999999997e+29,7.400000000000007e+26,6.80999999999999e+27,9.238000000000012e+29,9.01580000000001e+29,2.201999999999999e+28,2e+26,2.5030922725694004e+28,0.0
29576.694444444445,5.004794939285603,3.734e+28,1.7643305396642078e+31,9.303100000000003e+29,1.8017000000000014e+29,7.4248e+29,8.800000000000002e+26,6.779999999999991e+27,9.288100000000002e+29,9.064200000000008e+29,2.209999999999999e+28,2.9e+26,2.4817388748696293e+28,0.0
29580.472222222223,6.002221622954494,3.7030000000000004e+28,1.7652647423952984e+31,9.372700000000008e+29,1.7921000000000013e+29,7.506300000000008e+29,6.500000000000007e+26,6.779999999999991e+27,9.375800000000008e+29,9.149200000000009e+29,2.2389999999999996e+28,2.7e+26,2.47791299120634e+28,0.0
29584.277777777777,7.006355805322528,3.6410000000000003e+28,1.766341152324354e+31,9.417000000000008e+29,1.8190999999999997e+29,7.523700000000005e+29,6.100000000000006e+26,6.80999999999999e+27,9.423200000000006e+29,9.198200000000012e+29,2.223999999999999e+28,2.6e+26,2.4914953557053713e+28,0.0
29588.055555555555,8.002435972621242,3.6260000000000002e+28,1.767308564415166e+31,9.276400000000005e+29,1.7815000000000018e+29,7.418100000000004e+29,9.300000000000001e+26,6.74999999999999e+27,9.277900000000012e+29,9.05020000000001e+29,2.248999999999999e+28,2.8e+26,2.4679726486300197e+28,0.0
29591.86111111111,9.005008106069909,3.481e+28,1.768487507279104e+31,9.298300000000009e+29,1.790200000000001e+29,7.432399999999993e+29,7.600000000000006e+26,6.80999999999999e+27,9.31280000000001e+29,9.077700000000012e+29,2.311e+28,4.0000000000000016e+26,2.479983468077559e+28,0.0
29595.666666666668,10.006642251123594,3.6220000000000004e+28,1.769214652520627e+31,9.293900000000005e+29,1.780400000000001e+29,7.436700000000003e+29,8.800000000000006e+26,6.79999999999999e+27,9.27980000000001e+29,9.05860000000001e+29,2.1760000000000006e+28,3.600000000000001e+26,2.4730849120901242e+28,0.0
29599.472222222223,11.007237818787871,3.554e+28,1.770074410678662e+31,9.185300000000007e+29,1.7538000000000015e+29,7.356899999999999e+29,6.300000000000006e+26,6.829999999999989e+27,9.192100000000013e+29,8.971000000000007e+29,2.178e+28,3.3000000000000006e+26,2.465447699856506e+28,0.0
29603.277777777777,12.006691724029224,3.3840000000000005e+28,1.7710669211204396e+31,9.048499999999996e+29,1.750100000000001e+29,7.222099999999996e+29,8.500000000000007e+26,6.77999999999999e+27,9.065500000000018e+29,8.850200000000006e+29,2.1140000000000006e+28,3.900000000000002e+26,2.457099883898094e+28,0.0
29607.083333333332,13.004907008396003,3.5e+28,1.771766277078559e+31,8.995499999999997e+29,1.739500000000001e+29,7.180599999999998e+29,8.200000000000005e+26,6.71999999999999e+27,8.983900000000021e+29,8.76120000000001e+29,2.188e+28,3.9000000000000026e+26,2.448027060626874e+28,0.0
29610.88888888889,14.001781400720574,3.498e+28,1.7728033233734765e+31,8.969199999999995e+29,1.7316000000000004e+29,7.159699999999994e+29,1.0400000000000001e+27,6.74999999999999e+27,8.969400000000019e+29,8.75070000000001e+29,2.128999999999999e+28,5.8000000000000055e+26,2.4382512039513673e+28,0.0
29614.722222222223,15.00448100761787,3.5269999999999997e+28,1.7737282187787653e+31,8.987499999999987e+29,1.745200000000001e+29,7.165899999999993e+29,8.000000000000005e+26,6.83999999999999e+27,8.984600000000021e+29,8.762300000000002e+29,2.165e+28,5.800000000000007e+26,2.4454826412914868e+28,0.0
29618.555555555555,16.00562305434778,3.3660000000000004e+28,1.7745651256236796e+31,8.802199999999992e+29,1.7095000000000003e+29,7.016899999999997e+29,8.400000000000003e+26,6.73999999999999e+27,8.81830000000001e+29,8.603600000000013e+29,2.0940000000000007e+28,5.3000000000000045e+26,2.4341933588153768e+28,0.0
29622.38888888889,17.005112599375934,3.4070000000000003e+28,1.7757219287303668e+31,8.76069999999999e+29,1.711800000000001e+29,6.974099999999995e+29,7.300000000000007e+26,6.74999999999999e+27,8.756600000000018e+29,8.54590000000001e+29,2.034999999999999e+28,7.200000000000006e+26,2.422230700220615e+28,0.0
29626.222222222223,18.00285225893549,3.2399999999999997e+28,1.7768991533214748e+31,8.65719999999999e+29,1.7008000000000012e+29,6.881699999999994e+29,6.900000000000007e+26,6.77999999999999e+27,8.673900000000014e+29,8.46620000000002e+29,2.0109999999999992e+28,6.600000000000007e+26,2.4096099629423675e+28,0.0
29630.083333333332,19.005959042609902,3.1330000000000003e+28,1.7777807645799082e+31,8.494299999999992e+29,1.667800000000001e+29,6.75029999999999e+29,7.500000000000005e+26,6.869999999999989e+27,8.505000000000024e+29,8.298400000000029e+29,1.981000000000001e+28,8.500000000000003e+26,2.413664169920789e+28,0.0
29633.944444444445,20.007098782366484,3.175e+28,1.7788562865392074e+31,8.497499999999984e+29,1.6994000000000003e+29,6.723099999999988e+29,6.800000000000005e+26,6.819999999999988e+27,8.49330000000002e+29,8.283700000000025e+29,1.9939999999999994e+28,1.0200000000000004e+27,2.3995861130547145e+28,0.0
29637.805555555555,21.006181921215102,3.077e+28,1.7801386379370292e+31,8.442899999999995e+29,1.678200000000001e+29,6.68869999999999e+29,8.000000000000006e+26,6.79999999999999e+27,8.452700000000023e+29,8.25090000000003e+29,1.9050000000000001e+28,1.1299999999999998e+27,2.384896549729674e+28,0.0
29641.666666666668,22.00311353141751,3.132e+28,1.7812808318892958e+31,8.345199999999986e+29,1.676400000000001e+29,6.593299999999992e+29,7.500000000000005e+26,6.79999999999999e+27,8.339700000000034e+29,8.138200000000032e+29,1.8819999999999996e+28,1.3300000000000005e+27,2.3696020732180266e+28,0.0
29645.555555555555,23.004953424037012,3.031e+28,1.7825629955397877e+31,8.275599999999993e+29,1.652600000000001e+29,6.546899999999987e+29,7.500000000000004e+26,6.859999999999989e+27,8.285700000000036e+29,8.086700000000039e+29,1.8390000000000002e+28,1.5099999999999998e+27,2.370610975447727e+28,0.0
29649.444444444445,24.00443394508602,2.915e+28,1.7839240648623064e+31,8.113799999999995e+29,1.6604000000000013e+29,6.37839999999999e+29,7.700000000000004e+26,6.72999999999999e+27,8.125400000000044e+29,7.932900000000047e+29,1.7659999999999997e+28,1.5899999999999993e+27,2.3539512158978996e+28,0.0
29653.333333333332,25.001460617982048,2.813e+28,1.7851573091977723e+31,7.907999999999986e+29,1.640800000000001e+29,6.193699999999988e+29,6.000000000000007e+26,6.74999999999999e+27,7.918200000000054e+29,7.728300000000059e+29,1.7179999999999999e+28,1.8099999999999985e+27,2.3367496727600288e+28,0.0
