TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,0.0000e+00,3.0000e+26,0.0000e+00,1.1000e+26,4.9327e+32,3.1470e+32,136
0,1,0.0500,0.1000,0.0000e+00,1.4700e+27,0.0000e+00,7.5000e+26,1.9318e+32,1.2666e+32,136
0,2,0.1000,0.2000,0.0000e+00,1.2390e+28,0.0000e+00,7.2500e+27,3.3767e+32,2.0165e+32,136
0,3,0.2000,0.3500,0.0000e+00,4.0230e+28,0.0000e+00,2.5710e+28,2.1812e+32,1.2521e+32,136
0,4,0.3500,0.5500,0.0000e+00,7.9090e+28,0.0000e+00,5.8520e+28,6.9923e+31,4.4044e+31,136
0,5,0.5500,1.0100,0.0000e+00,2.6566e+29,0.0000e+00,2.4502e+29,1.7360e+31,1.5148e+31,136
1,0,0.0000,0.0500,0.0000e+00,2.8000e+26,0.0000e+00,1.5000e+26,4.9351e+32,3.1483e+32,136
1,1,0.0500,0.1000,0.0000e+00,1.4200e+27,0.0000e+00,7.2000e+26,1.9329e+32,1.2675e+32,136
1,2,0.1000,0.2000,0.0000e+00,1.1310e+28,0.0000e+00,6.3100e+27,3.3785e+32,2.0185e+32,136
1,3,0.2000,0.3500,0.0000e+00,3.4600e+28,0.0000e+00,2.4850e+28,2.1801e+32,1.2534e+32,136
1,4,0.3500,0.5500,0.0000e+00,6.9170e+28,0.0000e+00,5.6690e+28,6.9903e+31,4.4196e+31,136
1,5,0.5500,1.0100,0.0000e+00,2.5221e+29,0.0000e+00,2.3434e+29,1.7656e+31,1.5379e+31,136
2,0,0.0000,0.0500,0.0000e+00,2.7000e+26,0.0000e+00,1.7000e+26,4.9369e+32,3.1496e+32,136
2,1,0.0500,0.1000,0.0000e+00,1.2000e+27,0.0000e+00,6.3000e+26,1.9340e+32,1.2684e+32,136
2,2,0.1000,0.2000,0.0000e+00,1.0050e+28,0.0000e+00,6.1200e+27,3.3803e+32,2.0203e+32,136
2,3,0.2000,0.3500,0.0000e+00,3.2240e+28,0.0000e+00,2.2990e+28,2.1791e+32,1.2547e+32,136
2,4,0.3500,0.5500,0.0000e+00,6.7240e+28,0.0000e+00,5.3580e+28,6.9905e+31,4.4375e+31,136
2,5,0.5500,1.0100,0.0000e+00,2.5285e+29,0.0000e+00,2.3706e+29,1.7967e+31,1.5613e+31,136
3,0,0.0000,0.0500,0.0000e+00,1.9000e+26,0.0000e+00,1.7000e+26,4.9752e+32,3.1740e+32,137
3,1,0.0500,0.1000,0.0000e+00,1.1800e+27,0.0000e+00,5.4000e+26,1.9493e+32,1.2783e+32,137
3,2,0.1000,0.2000,0.0000e+00,9.4500e+27,0.0000e+00,6.0200e+27,3.4066e+32,2.0367e+32,137
3,3,0.2000,0.3500,0.0000e+00,3.1040e+28,0.0000e+00,2.1290e+28,2.1953e+32,1.2649e+32,137
3,4,0.3500,0.5500,0.0000e+00,6.2740e+28,0.0000e+00,5.2550e+28,7.0446e+31,4.4843e+31,137
3,5,0.5500,1.0100,0.0000e+00,2.4078e+29,0.0000e+00,2.3551e+29,1.8373e+31,1.5994e+31,137
4,0,0.0000,0.0500,0.0000e+00,1.8000e+26,0.0000e+00,2.0000e+26,4.9408e+32,3.1520e+32,136
4,1,0.0500,0.1000,0.0000e+00,1.2700e+27,0.0000e+00,5.4000e+26,1.9360e+32,1.2694e+32,136
4,2,0.1000,0.2000,0.0000e+00,8.8900e+27,0.0000e+00,5.6900e+27,3.3829e+32,2.0232e+32,136
4,3,0.2000,0.3500,0.0000e+00,2.8850e+28,0.0000e+00,2.1390e+28,2.1953e+32,1.2562e+32,136
4,4,0.3500,0.5500,0.0000e+00,6.0080e+28,0.0000e+00,5.2510e+28,6.8311e+31,4.4738e+31,136
