TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,7.4752e+29,0.0000e+00,7.3650e+29,4.2300e+27,6.7900e+27,0.0000e+00,0.0000e+00,3.9914e+29,3.3736e+29,2.1400e+27,2.0900e+27,3.5500e+27,3.2400e+27,0.0000e+00,7.6000e+27,0.0000e+00,0.0000e+00,1.5190e+09,1.1452e-04,5.0489e+07,1.1917e+05,6.6625e+05,6.6622e+05,0.0,98.5,0.6,0.9,7.5429e+29,7.3583e+29,1.7810e+28,6.5000e+26,2.4894e+28,0.0000e+00,97.6,2.4,0.1
1,7.0310e+29,0.0000e+00,6.9205e+29,4.2700e+27,6.7800e+27,0.0000e+00,0.0000e+00,3.6899e+29,3.2306e+29,2.0900e+27,2.1800e+27,3.2300e+27,3.5500e+27,0.0000e+00,7.1200e+27,0.0000e+00,0.0000e+00,1.5334e+09,1.1452e-04,5.0433e+07,1.2796e+05,6.6622e+05,6.6612e+05,0.0,98.4,0.6,1.0,7.0376e+29,6.8694e+29,1.6070e+28,7.5000e+26,2.4887e+28,0.0000e+00,97.6,2.3,0.1
2,6.9536e+29,0.0000e+00,6.8440e+29,4.1700e+27,6.7900e+27,0.0000e+00,0.0000e+00,3.6385e+29,3.2055e+29,2.2700e+27,1.9000e+27,3.3500e+27,3.4400e+27,0.0000e+00,6.1800e+27,0.0000e+00,0.0000e+00,1.7133e+09,1.1452e-04,5.0250e+07,1.2602e+05,6.6611e+05,6.6595e+05,0.0,98.4,0.6,1.0,6.9517e+29,6.7853e+29,1.5800e+28,8.4000e+26,2.4871e+28,0.0000e+00,97.6,2.3,0.1
3,6.7233e+29,0.0000e+00,6.6146e+29,4.0600e+27,6.8100e+27,0.0000e+00,0.0000e+00,3.4538e+29,3.1608e+29,2.2000e+27,1.8600e+27,3.6100e+27,3.2000e+27,0.0000e+00,5.7100e+27,0.0000e+00,0.0000e+00,1.6553e+09,1.1452e-04,5.0120e+07,1.4382e+05,6.6595e+05,6.6572e+05,0.0,98.4,0.6,1.0,6.7442e+29,6.5810e+29,1.5500e+28,8.2000e+26,2.5031e+28,0.0000e+00,97.6,2.3,0.1
4,6.5540e+29,0.0000e+00,6.4440e+29,4.2200e+27,6.7800e+27,0.0000e+00,0.0000e+00,3.3191e+29,3.1249e+29,2.2200e+27,2.0000e+27,3.2200e+27,3.5600e+27,0.0000e+00,5.4500e+27,0.0000e+00,0.0000e+00,1.6577e+09,1.1452e-04,4.9928e+07,1.3321e+05,6.6572e+05,6.6543e+05,0.0,98.3,0.6,1.0,6.5556e+29,6.3932e+29,1.5550e+28,6.9000e+26,2.4818e+28,0.0000e+00,97.5,2.4,0.1
5,6.3625e+29,0.0000e+00,6.2531e+29,4.1600e+27,6.7800e+27,0.0000e+00,0.0000e+00,3.1935e+29,3.0596e+29,2.2900e+27,1.8700e+27,3.5100e+27,3.2700e+27,0.0000e+00,5.0500e+27,0.0000e+00,0.0000e+00,1.7102e+09,1.1452e-04,4.9676e+07,1.3860e+05,6.6542e+05,6.6507e+05,0.0,98.3,0.7,1.1,6.3618e+29,6.2015e+29,1.5190e+28,8.4000e+26,2.4779e+28,0.0000e+00,97.5,2.4,0.1
6,6.3239e+29,0.0000e+00,6.2130e+29,4.2800e+27,6.8100e+27,0.0000e+00,0.0000e+00,3.2399e+29,2.9731e+29,2.1600e+27,2.1200e+27,3.3800e+27,3.4300e+27,0.0000e+00,5.2700e+27,0.0000e+00,0.0000e+00,1.5528e+09,1.1452e-04,4.9434e+07,1.3546e+05,6.6506e+05,6.6464e+05,0.0,98.2,0.7,1.1,6.3256e+29,6.1717e+29,1.4500e+28,8.9000e+26,2.4915e+28,0.0000e+00,97.6,2.3,0.1
7,6.2473e+29,0.0000e+00,6.1389e+29,4.0900e+27,6.7500e+27,0.0000e+00,0.0000e+00,3.1932e+29,2.9457e+29,2.2500e+27,1.8400e+27,3.2800e+27,3.4700e+27,0.0000e+00,4.9100e+27,0.0000e+00,0.0000e+00,1.6237e+09,1.1452e-04,4.9399e+07,1.3186e+05,6.6464e+05,6.6415e+05,0.0,98.3,0.7,1.1,6.2485e+29,6.0911e+29,1.4950e+28,7.9000e+26,2.4680e+28,0.0000e+00,97.5,2.4,0.1
8,6.2437e+29,0.0000e+00,6.1338e+29,4.1800e+27,6.8100e+27,0.0000e+00,0.0000e+00,3.1186e+29,3.0152e+29,2.3100e+27,1.8700e+27,3.2400e+27,3.5700e+27,0.0000e+00,4.7800e+27,0.0000e+00,0.0000e+00,1.7146e+09,1.1452e-04,4.9159e+07,1.4435e+05,6.6415e+05,6.6359e+05,0.0,98.2,0.7,1.1,6.2448e+29,6.0932e+29,1.4300e+28,8.6000e+26,2.4800e+28,0.0000e+00,97.6,2.3,0.1
9,6.1039e+29,0.0000e+00,5.9962e+29,3.9700e+27,6.8000e+27,0.0000e+00,0.0000e+00,3.0906e+29,2.9056e+29,2.2500e+27,1.7200e+27,3.4400e+27,3.3600e+27,0.0000e+00,4.5100e+27,0.0000e+00,0.0000e+00,1.5540e+09,2.2904e-04,4.8980e+07,1.6743e+05,6.6359e+05,6.6297e+05,0.0,98.2,0.7,1.1,6.1144e+29,5.9637e+29,1.4150e+28,9.2000e+26,2.4731e+28,0.0000e+00,97.5,2.3,0.2
10,6.0786e+29,0.0000e+00,5.9709e+29,3.9400e+27,6.8300e+27,0.0000e+00,0.0000e+00,3.0515e+29,2.9194e+29,2.2100e+27,1.7300e+27,3.3000e+27,3.5300e+27,0.0000e+00,4.3300e+27,0.0000e+00,0.0000e+00,1.6482e+09,2.2904e-04,4.8742e+07,1.5922e+05,6.6297e+05,6.6229e+05,0.0,98.2,0.6,1.1,6.0708e+29,5.9186e+29,1.4360e+28,8.6000e+26,2.4655e+28,0.0000e+00,97.5,2.4,0.1
11,6.1079e+29,0.0000e+00,5.9972e+29,4.2900e+27,6.7800e+27,0.0000e+00,0.0000e+00,3.0333e+29,2.9639e+29,2.2000e+27,2.0900e+27,3.3700e+27,3.4100e+27,0.0000e+00,4.5000e+27,0.0000e+00,0.0000e+00,1.6192e+09,2.2904e-04,4.8376e+07,1.6219e+05,6.6228e+05,6.6154e+05,0.0,98.2,0.7,1.1,6.1159e+29,5.9626e+29,1.4540e+28,7.9000e+26,2.4572e+28,0.0000e+00,97.5,2.4,0.1
