TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,1.1311e+30,8.9470e+28,1.0313e+30,3.5400e+27,6.7900e+27,5.0890e+28,3.8580e+28,5.3676e+29,4.9452e+29,1.7500e+27,1.7900e+27,3.5500e+27,3.2400e+27,9.6300e+27,3.5500e+27,6.5843e+07,1.8046e+06,2.1033e+09,7.8995e-06,2.1438e+07,2.1754e+05,6.6625e+05,6.6622e+05,7.9,91.2,0.3,0.6,1.1301e+30,1.1020e+30,2.7570e+28,4.5000e+26,2.4894e+28,0.0000e+00,97.5,2.4,0.0
1,1.1264e+30,8.7640e+28,1.0283e+30,3.7000e+27,6.7800e+27,4.9780e+28,3.7860e+28,5.2309e+29,5.0521e+29,1.9900e+27,1.7100e+27,3.2300e+27,3.5500e+27,9.0000e+27,3.3000e+27,6.5743e+07,1.6497e+06,1.8890e+09,6.8653e-06,2.1416e+07,2.2013e+05,6.6622e+05,6.6612e+05,7.8,91.3,0.3,0.6,1.1276e+30,1.0985e+30,2.8580e+28,5.5000e+26,2.4887e+28,0.0000e+00,97.4,2.5,0.0
2,1.1231e+30,8.7960e+28,1.0246e+30,3.7200e+27,6.7900e+27,4.8990e+28,3.8970e+28,5.2530e+29,4.9931e+29,1.9000e+27,1.8200e+27,3.3500e+27,3.4400e+27,9.4600e+27,3.5400e+27,6.5553e+07,1.7603e+06,1.9120e+09,5.9538e-06,2.1451e+07,2.2585e+05,6.6611e+05,6.6595e+05,7.8,91.2,0.3,0.6,1.1235e+30,1.0951e+30,2.7900e+28,5.0000e+26,2.4871e+28,0.0000e+00,97.5,2.5,0.0
3,1.1107e+30,8.9490e+28,1.0110e+30,3.4100e+27,6.8100e+27,5.1150e+28,3.8340e+28,5.2337e+29,4.8766e+29,1.9100e+27,1.5000e+27,3.6100e+27,3.2000e+27,9.8800e+27,3.4600e+27,6.5510e+07,1.8951e+06,1.9861e+09,5.1493e-06,2.1417e+07,2.3014e+05,6.6595e+05,6.6572e+05,8.1,91.0,0.3,0.6,1.1106e+30,1.0824e+30,2.7780e+28,4.8000e+26,2.5031e+28,0.0000e+00,97.5,2.5,0.0
4,1.1089e+30,8.7460e+28,1.0110e+30,3.6400e+27,6.7800e+27,4.9170e+28,3.8290e+28,5.1549e+29,4.9550e+29,1.8100e+27,1.8300e+27,3.2200e+27,3.5600e+27,9.2500e+27,3.3900e+27,6.5403e+07,1.7361e+06,2.0794e+09,4.4525e-06,2.1353e+07,2.1152e+05,6.6572e+05,6.6543e+05,7.9,91.2,0.3,0.6,1.1087e+30,1.0809e+30,2.7340e+28,4.4000e+26,2.4818e+28,0.0000e+00,97.5,2.5,0.0
5,1.1037e+30,8.7630e+28,1.0061e+30,3.2500e+27,6.7800e+27,5.0010e+28,3.7620e+28,5.2160e+29,4.8448e+29,1.5400e+27,1.7100e+27,3.5100e+27,3.2700e+27,9.0600e+27,3.0600e+27,6.5191e+07,1.8341e+06,1.9429e+09,3.8473e-06,2.1239e+07,2.3855e+05,6.6542e+05,6.6507e+05,7.9,91.2,0.3,0.6,1.1033e+30,1.0751e+30,2.7700e+28,5.0000e+26,2.4779e+28,0.0000e+00,97.4,2.5,0.0
6,1.1172e+30,8.7490e+28,1.0194e+30,3.5800e+27,6.8100e+27,4.8960e+28,3.8530e+28,5.2834e+29,4.9101e+29,1.8200e+27,1.7600e+27,3.3800e+27,3.4300e+27,8.9700e+27,3.6000e+27,6.5060e+07,1.8136e+06,2.1526e+09,3.3201e-06,2.0957e+07,2.3424e+05,6.6506e+05,6.6464e+05,7.8,91.2,0.3,0.6,1.1185e+30,1.0905e+30,2.7550e+28,4.6000e+26,2.4915e+28,0.0000e+00,97.5,2.5,0.0
7,1.0937e+30,8.5710e+28,9.9761e+29,3.6700e+27,6.7500e+27,4.8400e+28,3.7310e+28,5.0965e+29,4.8796e+29,1.9900e+27,1.6800e+27,3.2800e+27,3.4700e+27,9.0400e+27,3.4800e+27,6.4836e+07,1.7098e+06,1.7602e+09,2.9173e-06,2.0895e+07,2.3073e+05,6.6464e+05,6.6415e+05,7.8,91.2,0.3,0.6,1.0937e+30,1.0652e+30,2.7970e+28,5.7000e+26,2.4680e+28,0.0000e+00,97.4,2.6,0.1
8,1.0853e+30,8.7880e+28,9.8720e+29,3.3800e+27,6.8100e+27,4.9850e+28,3.8030e+28,5.0561e+29,4.8159e+29,1.9700e+27,1.4100e+27,3.2400e+27,3.5700e+27,8.9300e+27,3.0600e+27,6.4838e+07,1.7854e+06,1.9803e+09,2.5207e-06,2.0909e+07,2.2655e+05,6.6415e+05,6.6359e+05,8.1,91.0,0.3,0.6,1.0864e+30,1.0582e+30,2.7670e+28,4.8000e+26,2.4800e+28,0.0000e+00,97.4,2.5,0.0
9,1.0914e+30,8.8080e+28,9.9270e+29,3.8500e+27,6.8000e+27,4.8780e+28,3.9300e+28,5.0569e+29,4.8701e+29,1.9800e+27,1.8700e+27,3.4400e+27,3.3600e+27,8.9700e+27,3.4300e+27,6.4805e+07,1.6715e+06,2.1143e+09,2.1812e-06,2.0753e+07,2.1144e+05,6.6359e+05,6.6297e+05,8.1,91.0,0.4,0.6,1.0899e+30,1.0624e+30,2.6990e+28,4.8000e+26,2.4731e+28,0.0000e+00,97.5,2.5,0.0
