TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,3.9563e+29,3.7504e+29,0.0000e+00,1.3800e+28,6.7900e+27,2.0378e+29,1.7126e+29,0.0000e+00,0.0000e+00,7.4100e+27,6.3900e+27,3.5500e+27,3.2400e+27,2.1600e+28,0.0000e+00,1.3542e+08,1.1176e+07,0.0000e+00,0.0000e+00,4.0933e+07,6.8196e+06,6.6625e+05,6.6622e+05,94.8,0.0,3.5,1.7,3.9631e+29,3.8113e+29,1.2890e+28,2.2900e+27,2.4894e+28,0.0000e+00,96.2,3.3,0.6
1,3.9202e+29,3.7124e+29,0.0000e+00,1.4000e+28,6.7800e+27,2.0184e+29,1.6940e+29,0.0000e+00,0.0000e+00,7.1300e+27,6.8700e+27,3.2300e+27,3.5500e+27,2.0520e+28,0.0000e+00,1.3524e+08,1.1315e+07,0.0000e+00,0.0000e+00,4.0723e+07,6.7478e+06,6.6622e+05,6.6612e+05,94.7,0.0,3.6,1.7,3.9104e+29,3.7525e+29,1.3580e+28,2.2100e+27,2.4887e+28,0.0000e+00,96.0,3.5,0.6
2,3.9733e+29,3.7615e+29,0.0000e+00,1.4390e+28,6.7900e+27,2.0426e+29,1.7189e+29,0.0000e+00,0.0000e+00,7.5900e+27,6.8000e+27,3.3500e+27,3.4400e+27,2.0680e+28,0.0000e+00,1.3487e+08,1.1290e+07,0.0000e+00,0.0000e+00,4.0565e+07,6.7533e+06,6.6611e+05,6.6595e+05,94.7,0.0,3.6,1.7,3.9752e+29,3.8074e+29,1.4400e+28,2.3800e+27,2.4871e+28,0.0000e+00,95.8,3.6,0.6
3,3.9733e+29,3.7570e+29,0.0000e+00,1.4820e+28,6.8100e+27,2.0561e+29,1.7009e+29,0.0000e+00,0.0000e+00,7.7000e+27,7.1200e+27,3.6100e+27,3.2000e+27,2.1020e+28,0.0000e+00,1.3457e+08,1.1139e+07,0.0000e+00,0.0000e+00,4.0474e+07,6.8604e+06,6.6595e+05,6.6572e+05,94.6,0.0,3.7,1.7,3.9789e+29,3.8195e+29,1.3350e+28,2.5900e+27,2.5031e+28,0.0000e+00,96.0,3.4,0.7
4,3.9706e+29,3.7659e+29,0.0000e+00,1.3690e+28,6.7800e+27,2.0405e+29,1.7254e+29,0.0000e+00,0.0000e+00,7.5000e+27,6.1900e+27,3.2200e+27,3.5600e+27,2.1040e+28,0.0000e+00,1.3446e+08,1.0985e+07,0.0000e+00,0.0000e+00,4.0288e+07,6.9198e+06,6.6572e+05,6.6543e+05,94.8,0.0,3.4,1.7,3.9693e+29,3.8161e+29,1.3150e+28,2.1700e+27,2.4818e+28,0.0000e+00,96.1,3.3,0.5
5,3.9483e+29,3.7435e+29,0.0000e+00,1.3700e+28,6.7800e+27,2.0293e+29,1.7142e+29,0.0000e+00,0.0000e+00,7.0300e+27,6.6700e+27,3.5100e+27,3.2700e+27,2.1380e+28,0.0000e+00,1.3440e+08,1.0826e+07,0.0000e+00,0.0000e+00,4.0049e+07,6.9367e+06,6.6542e+05,6.6507e+05,94.8,0.0,3.5,1.7,3.9477e+29,3.7890e+29,1.3380e+28,2.4900e+27,2.4779e+28,0.0000e+00,96.0,3.4,0.6
6,4.0047e+29,3.7871e+29,0.0000e+00,1.4950e+28,6.8100e+27,2.0535e+29,1.7336e+29,0.0000e+00,0.0000e+00,8.0000e+27,6.9500e+27,3.3800e+27,3.4300e+27,2.1100e+28,0.0000e+00,1.3433e+08,1.0671e+07,0.0000e+00,0.0000e+00,3.9925e+07,6.9433e+06,6.6506e+05,6.6464e+05,94.6,0.0,3.7,1.7,3.9987e+29,3.8336e+29,1.3870e+28,2.6400e+27,2.4915e+28,0.0000e+00,95.9,3.5,0.7
7,3.9943e+29,3.7845e+29,0.0000e+00,1.4230e+28,6.7500e+27,2.0643e+29,1.7202e+29,0.0000e+00,0.0000e+00,7.2600e+27,6.9700e+27,3.2800e+27,3.4700e+27,2.0990e+28,0.0000e+00,1.3398e+08,1.0524e+07,0.0000e+00,0.0000e+00,4.0017e+07,6.9536e+06,6.6464e+05,6.6415e+05,94.7,0.0,3.6,1.7,3.9935e+29,3.8346e+29,1.3570e+28,2.3200e+27,2.4680e+28,0.0000e+00,96.0,3.4,0.6
8,3.9655e+29,3.7575e+29,0.0000e+00,1.3990e+28,6.8100e+27,2.0446e+29,1.7129e+29,0.0000e+00,0.0000e+00,7.3900e+27,6.6000e+27,3.2400e+27,3.5700e+27,1.9870e+28,0.0000e+00,1.3380e+08,1.0375e+07,0.0000e+00,0.0000e+00,3.9897e+07,6.9364e+06,6.6415e+05,6.6359e+05,94.8,0.0,3.5,1.7,3.9705e+29,3.8178e+29,1.2480e+28,2.7900e+27,2.4800e+28,0.0000e+00,96.2,3.1,0.7
9,3.9954e+29,3.7816e+29,0.0000e+00,1.4580e+28,6.8000e+27,2.0612e+29,1.7204e+29,0.0000e+00,0.0000e+00,7.5200e+27,7.0600e+27,3.4400e+27,3.3600e+27,2.0670e+28,0.0000e+00,1.3342e+08,1.0233e+07,0.0000e+00,0.0000e+00,3.9543e+07,6.9319e+06,6.6359e+05,6.6297e+05,94.6,0.0,3.6,1.7,3.9968e+29,3.8351e+29,1.3400e+28,2.7700e+27,2.4731e+28,0.0000e+00,96.0,3.4,0.7
