TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.2488e+29,0.0000e+00,8.1123e+29,6.8600e+27,6.7900e+27,0.0000e+00,0.0000e+00,4.0260e+29,4.0863e+29,3.4600e+27,3.4000e+27,3.5500e+27,3.2400e+27,0.0000e+00,2.4200e+27,0.0000e+00,0.0000e+00,1.8201e+09,2.1776e-05,2.9770e+07,3.8610e+05,6.6625e+05,6.6622e+05,0.0,98.3,0.8,0.8,8.2325e+29,8.0289e+29,1.9460e+28,9.0000e+26,2.4894e+28,0.0000e+00,97.5,2.4,0.1
1,8.1865e+29,0.0000e+00,8.0535e+29,6.5200e+27,6.7800e+27,0.0000e+00,0.0000e+00,4.0674e+29,3.9861e+29,3.1400e+27,3.3800e+27,3.2300e+27,3.5500e+27,0.0000e+00,2.2300e+27,0.0000e+00,0.0000e+00,1.8331e+09,2.1776e-05,2.9579e+07,3.9907e+05,6.6622e+05,6.6612e+05,0.0,98.4,0.8,0.8,8.1908e+29,7.9876e+29,1.9280e+28,1.0400e+27,2.4887e+28,0.0000e+00,97.5,2.4,0.1
2,8.1787e+29,0.0000e+00,8.0433e+29,6.7500e+27,6.7900e+27,0.0000e+00,0.0000e+00,4.0034e+29,4.0399e+29,3.4700e+27,3.2800e+27,3.3500e+27,3.4400e+27,0.0000e+00,1.9700e+27,0.0000e+00,0.0000e+00,1.8466e+09,2.1776e-05,2.9456e+07,4.0541e+05,6.6611e+05,6.6595e+05,0.0,98.3,0.8,0.8,8.1788e+29,7.9824e+29,1.8480e+28,1.1600e+27,2.4871e+28,0.0000e+00,97.6,2.3,0.1
3,8.3240e+29,0.0000e+00,8.1873e+29,6.8600e+27,6.8100e+27,0.0000e+00,0.0000e+00,4.0923e+29,4.0950e+29,3.5700e+27,3.2900e+27,3.6100e+27,3.2000e+27,0.0000e+00,1.9200e+27,0.0000e+00,0.0000e+00,2.0509e+09,2.1776e-05,2.9444e+07,4.0371e+05,6.6595e+05,6.6572e+05,0.0,98.4,0.8,0.8,8.3268e+29,8.1193e+29,1.9530e+28,1.2200e+27,2.5031e+28,0.0000e+00,97.5,2.3,0.1
4,8.1901e+29,0.0000e+00,8.0586e+29,6.3700e+27,6.7800e+27,0.0000e+00,0.0000e+00,4.0380e+29,4.0206e+29,3.4100e+27,2.9600e+27,3.2200e+27,3.5600e+27,0.0000e+00,1.6900e+27,0.0000e+00,0.0000e+00,1.7396e+09,2.1776e-05,2.9428e+07,3.9067e+05,6.6572e+05,6.6543e+05,0.0,98.4,0.8,0.8,8.1965e+29,7.9899e+29,1.9480e+28,1.1800e+27,2.4818e+28,0.0000e+00,97.5,2.4,0.1
5,8.0930e+29,0.0000e+00,7.9573e+29,6.7900e+27,6.7800e+27,0.0000e+00,0.0000e+00,3.9375e+29,4.0198e+29,3.4800e+27,3.3100e+27,3.5100e+27,3.2700e+27,0.0000e+00,1.5500e+27,0.0000e+00,0.0000e+00,2.0405e+09,2.1776e-05,2.9468e+07,3.8642e+05,6.6542e+05,6.6507e+05,0.0,98.3,0.8,0.8,8.0739e+29,7.8717e+29,1.8990e+28,1.2300e+27,2.4779e+28,0.0000e+00,97.5,2.4,0.2
6,8.1102e+29,0.0000e+00,7.9777e+29,6.4400e+27,6.8100e+27,0.0000e+00,0.0000e+00,3.9666e+29,4.0111e+29,3.2300e+27,3.2100e+27,3.3800e+27,3.4300e+27,0.0000e+00,1.9600e+27,0.0000e+00,0.0000e+00,1.6772e+09,2.1776e-05,2.9548e+07,3.7557e+05,6.6506e+05,6.6464e+05,0.0,98.4,0.8,0.8,8.1287e+29,7.9224e+29,1.9350e+28,1.2800e+27,2.4915e+28,0.0000e+00,97.5,2.4,0.2
7,7.9541e+29,0.0000e+00,7.8217e+29,6.4900e+27,6.7500e+27,0.0000e+00,0.0000e+00,3.8566e+29,3.9651e+29,3.4700e+27,3.0200e+27,3.2800e+27,3.4700e+27,0.0000e+00,1.6000e+27,0.0000e+00,0.0000e+00,1.5879e+09,2.1776e-05,2.9531e+07,3.8056e+05,6.6464e+05,6.6415e+05,0.0,98.3,0.8,0.8,7.9476e+29,7.7532e+29,1.8370e+28,1.0700e+27,2.4680e+28,0.0000e+00,97.6,2.3,0.1
8,7.8979e+29,0.0000e+00,7.7645e+29,6.5300e+27,6.8100e+27,0.0000e+00,0.0000e+00,3.9211e+29,3.8434e+29,3.5500e+27,2.9800e+27,3.2400e+27,3.5700e+27,0.0000e+00,1.8800e+27,0.0000e+00,0.0000e+00,1.5755e+09,2.1776e-05,2.9517e+07,3.7002e+05,6.6415e+05,6.6359e+05,0.0,98.3,0.8,0.9,7.9116e+29,7.7038e+29,1.9480e+28,1.3000e+27,2.4800e+28,0.0000e+00,97.4,2.5,0.2
9,7.9151e+29,0.0000e+00,7.7785e+29,6.8600e+27,6.8000e+27,0.0000e+00,0.0000e+00,3.8823e+29,3.8962e+29,3.4700e+27,3.3900e+27,3.4400e+27,3.3600e+27,0.0000e+00,1.7900e+27,0.0000e+00,0.0000e+00,1.6739e+09,4.3552e-05,2.9459e+07,3.8813e+05,6.6359e+05,6.6297e+05,0.0,98.3,0.9,0.9,7.9096e+29,7.7136e+29,1.8330e+28,1.2700e+27,2.4731e+28,0.0000e+00,97.5,2.3,0.2
10,7.8783e+29,0.0000e+00,7.7428e+29,6.7200e+27,6.8300e+27,0.0000e+00,0.0000e+00,3.8629e+29,3.8799e+29,3.6000e+27,3.1200e+27,3.3000e+27,3.5300e+27,0.0000e+00,1.8000e+27,0.0000e+00,0.0000e+00,1.6064e+09,4.3552e-05,2.9396e+07,3.7786e+05,6.6297e+05,6.6229e+05,0.0,98.3,0.9,0.9,7.8867e+29,7.6845e+29,1.8730e+28,1.4900e+27,2.4655e+28,0.0000e+00,97.4,2.4,0.2
11,7.8815e+29,0.0000e+00,7.7500e+29,6.3700e+27,6.7800e+27,0.0000e+00,0.0000e+00,3.7924e+29,3.9576e+29,3.0400e+27,3.3300e+27,3.3700e+27,3.4100e+27,0.0000e+00,1.5100e+27,0.0000e+00,0.0000e+00,1.8224e+09,4.3552e-05,2.9187e+07,3.7501e+05,6.6228e+05,6.6154e+05,0.0,98.3,0.8,0.9,7.8806e+29,7.6837e+29,1.8310e+28,1.3800e+27,2.4572e+28,0.0000e+00,97.5,2.3,0.2
12,7.8351e+29,0.0000e+00,7.6985e+29,6.9400e+27,6.7200e+27,0.0000e+00,0.0000e+00,3.7018e+29,3.9967e+29,3.7000e+27,3.2400e+27,3.5300e+27,3.1900e+27,0.0000e+00,1.4100e+27,0.0000e+00,0.0000e+00,1.6711e+09,4.3552e-05,2.9076e+07,3.8084e+05,6.6153e+05,6.6073e+05,0.0,98.3,0.9,0.9,7.8328e+29,7.6384e+29,1.8200e+28,1.2400e+27,2.4481e+28,0.0000e+00,97.5,2.3,0.2
13,7.7755e+29,0.0000e+00,7.6435e+29,6.4500e+27,6.7500e+27,0.0000e+00,0.0000e+00,3.7737e+29,3.8698e+29,3.2800e+27,3.1700e+27,3.4000e+27,3.3500e+27,0.0000e+00,1.6500e+27,0.0000e+00,0.0000e+00,1.5705e+09,4.3552e-05,2.8974e+07,3.7644e+05,6.6072e+05,6.5985e+05,0.0,98.3,0.8,0.9,7.7861e+29,7.5892e+29,1.8290e+28,1.4000e+27,2.4383e+28,0.0000e+00,97.5,2.3,0.2
14,7.6797e+29,0.0000e+00,7.5434e+29,6.7800e+27,6.8500e+27,0.0000e+00,0.0000e+00,3.7392e+29,3.8042e+29,3.3400e+27,3.4400e+27,3.4300e+27,3.4200e+27,0.0000e+00,1.6500e+27,0.0000e+00,0.0000e+00,1.5837e+09,4.3552e-05,2.8841e+07,3.7865e+05,6.5985e+05,6.5891e+05,0.0,98.2,0.9,0.9,7.6744e+29,7.4814e+29,1.7780e+28,1.5200e+27,2.4456e+28,0.0000e+00,97.5,2.3,0.2
15,7.6160e+29,0.0000e+00,7.4768e+29,7.1900e+27,6.7300e+27,0.0000e+00,0.0000e+00,3.6238e+29,3.8530e+29,3.5700e+27,3.6200e+27,3.3200e+27,3.4100e+27,0.0000e+00,1.3800e+27,0.0000e+00,0.0000e+00,1.7087e+09,4.3552e-05,2.8814e+07,4.1823e+05,6.5891e+05,6.5791e+05,0.0,98.2,0.9,0.9,7.6273e+29,7.4342e+29,1.7630e+28,1.6800e+27,2.4343e+28,0.0000e+00,97.5,2.3,0.2
