TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,9.4900e+27,9.0000e+25,2.9500e+27,3.0000e+25,1.1135e+32,3.3432e+31,136
0,1,0.0500,0.1000,6.1900e+27,6.2000e+26,2.1200e+27,2.2000e+26,2.3817e+31,9.4478e+30,136
0,2,0.1000,0.2000,1.8070e+28,5.4800e+27,8.3200e+27,2.9000e+27,4.0373e+31,1.8836e+31,136
0,3,0.2000,0.3500,2.3380e+28,2.8640e+28,1.3990e+28,1.8410e+28,2.7171e+31,1.6709e+31,136
0,4,0.3500,0.5500,1.9190e+28,8.1100e+28,1.5420e+28,6.6460e+28,1.4209e+31,1.0614e+31,136
0,5,0.5500,1.0100,1.6440e+28,3.3193e+29,1.4940e+28,3.0792e+29,7.4542e+30,6.7983e+30,136
1,0,0.0000,0.0500,9.4200e+27,6.0000e+25,3.1200e+27,7.0000e+25,1.1106e+32,3.3489e+31,136
1,1,0.0500,0.1000,5.5700e+27,5.0000e+26,2.3700e+27,3.7000e+26,2.3550e+31,9.4394e+30,136
1,2,0.1000,0.2000,1.8440e+28,6.2200e+27,8.0600e+27,2.8700e+27,4.0026e+31,1.8763e+31,136
1,3,0.2000,0.3500,2.2420e+28,2.7760e+28,1.3380e+28,1.7850e+28,2.7054e+31,1.6637e+31,136
1,4,0.3500,0.5500,1.8830e+28,8.2010e+28,1.4900e+28,6.5130e+28,1.4196e+31,1.0648e+31,136
1,5,0.5500,1.0100,1.6380e+28,3.3175e+29,1.4480e+28,3.0587e+29,7.4871e+30,6.7012e+30,136
2,0,0.0000,0.0500,9.5000e+27,8.0000e+25,2.8800e+27,4.0000e+25,1.1083e+32,3.3521e+31,136
2,1,0.0500,0.1000,5.7900e+27,4.3000e+26,2.3800e+27,3.4000e+26,2.3357e+31,9.3963e+30,136
2,2,0.1000,0.2000,1.6910e+28,6.2900e+27,8.8100e+27,3.6600e+27,3.9621e+31,1.8667e+31,136
2,3,0.2000,0.3500,2.1900e+28,2.7590e+28,1.3130e+28,1.8030e+28,2.6812e+31,1.6550e+31,136
2,4,0.3500,0.5500,1.9390e+28,8.1460e+28,1.5180e+28,6.6220e+28,1.4073e+31,1.0683e+31,136
2,5,0.5500,1.0100,1.6750e+28,3.4450e+29,1.4980e+28,3.0282e+29,7.5273e+30,6.6454e+30,136
3,0,0.0000,0.0500,9.2300e+27,6.0000e+25,2.8800e+27,9.0000e+25,1.1136e+32,3.3791e+31,137
3,1,0.0500,0.1000,6.0800e+27,6.4000e+26,2.2200e+27,2.7000e+26,2.3349e+31,9.4290e+30,137
3,2,0.1000,0.2000,1.6940e+28,6.2100e+27,8.5000e+27,3.2000e+27,3.9517e+31,1.8757e+31,137
3,3,0.2000,0.3500,2.1550e+28,2.5310e+28,1.4190e+28,1.9200e+28,2.6701e+31,1.6594e+31,137
3,4,0.3500,0.5500,1.9240e+28,8.1720e+28,1.4380e+28,6.3890e+28,1.4041e+31,1.0677e+31,137
3,5,0.5500,1.0100,1.6890e+28,3.4035e+29,1.4560e+28,3.1776e+29,7.6293e+30,6.7270e+30,137
4,0,0.0000,0.0500,9.2600e+27,3.0000e+25,3.3400e+27,8.0000e+25,1.1029e+32,3.3603e+31,136
4,1,0.0500,0.1000,5.8200e+27,4.3000e+26,2.3800e+27,2.5000e+26,2.2954e+31,9.3188e+30,136
4,2,0.1000,0.2000,1.6750e+28,5.2800e+27,8.4900e+27,3.4500e+27,3.8875e+31,1.8570e+31,136
4,3,0.2000,0.3500,2.1800e+28,2.6640e+28,1.2920e+28,1.9970e+28,2.6484e+31,1.6430e+31,136
4,4,0.3500,0.5500,1.8470e+28,7.9430e+28,1.3880e+28,6.1850e+28,1.3613e+31,1.0461e+31,136
4,5,0.5500,1.0100,1.6680e+28,3.2557e+29,1.4600e+28,3.1902e+29,7.5128e+30,6.7555e+30,136
5,0,0.0000,0.0500,9.1700e+27,4.0000e+25,2.9100e+27,6.0000e+25,1.1000e+32,3.3636e+31,136
5,1,0.0500,0.1000,5.9000e+27,6.2000e+26,2.6700e+27,3.7000e+26,2.4459e+31,9.3054e+30,136
5,2,0.1000,0.2000,1.6290e+28,5.3100e+27,7.9000e+27,3.1600e+27,3.6977e+31,1.8559e+31,136
5,3,0.2000,0.3500,2.1950e+28,2.6750e+28,1.4360e+28,2.0290e+28,2.6248e+31,1.6460e+31,136
5,4,0.3500,0.5500,1.7510e+28,7.7370e+28,1.4510e+28,6.5830e+28,1.3322e+31,1.0464e+31,136
