Time_hours,TAA,Exosphere_Total,Surface_Total,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.004613984076968336,4.123000000000001e+28,7.55494795831715e+30,5.186000000000015e+28,7.740000000000006e+27,4.372000000000013e+28,5.000000000000001e+25,3.5e+26,5.076999999999991e+28,4.945999999999991e+28,1.3e+27,1e+25,1.2813938826112553e+27,0.0
29561.555555555555,1.0035978740661449,4.042e+28,7.563577946609452e+30,1.0027500000000027e+30,1.5039000000000017e+29,8.447200000000018e+29,8.500000000000007e+26,6.78999999999999e+27,1.0035599999999968e+30,9.768299999999978e+29,2.6629999999999997e+28,1e+26,2.4894453216448845e+28,0.0
29565.333333333332,2.0024777896696833,3.914e+28,7.570535165548941e+30,9.948600000000022e+29,1.4735000000000014e+29,8.400200000000019e+29,7.100000000000005e+26,6.77999999999999e+27,9.961399999999972e+29,9.697699999999981e+29,2.6169999999999987e+28,2e+26,2.488670602747906e+28,0.0
29569.11111111111,3.001149752583842,3.968e+28,7.577555153286158e+30,1.0067000000000041e+30,1.4773000000000016e+29,8.514400000000022e+29,7.400000000000007e+26,6.78999999999999e+27,1.0061599999999963e+30,9.815499999999969e+29,2.4489999999999986e+28,1.2e+26,2.4871245505938524e+28,0.0
29572.916666666668,4.006850565499008,3.974e+28,7.58173226499688e+30,1.0124800000000029e+30,1.4639000000000014e+29,8.58520000000003e+29,7.600000000000005e+26,6.80999999999999e+27,1.0124199999999969e+30,9.86569999999997e+29,2.574e+28,1.1e+26,2.5030922725694004e+28,0.0
29576.694444444445,5.004794939285603,3.949e+28,7.590660588194122e+30,9.944900000000022e+29,1.4443000000000015e+29,8.424800000000027e+29,8.000000000000007e+26,6.779999999999991e+27,9.947399999999971e+29,9.70019999999998e+29,2.4619999999999985e+28,1e+26,2.4817388748696293e+28,0.0
29580.472222222223,6.002221622954494,4.161000000000001e+28,7.598520126904087e+30,1.0065700000000026e+30,1.4464000000000017e+29,8.543100000000027e+29,8.400000000000004e+26,6.779999999999991e+27,1.0044499999999969e+30,9.791599999999968e+29,2.5189999999999997e+28,1e+26,2.47791299120634e+28,0.0
29584.277777777777,7.006355805322528,3.97e+28,7.606178244862366e+30,1.0273800000000038e+30,1.4294000000000018e+29,8.767600000000032e+29,8.700000000000006e+26,6.80999999999999e+27,1.0292899999999967e+30,1.0032899999999962e+30,2.5819999999999988e+28,1.8e+26,2.4914953557053713e+28,0.0
29588.055555555555,8.002435972621242,4.082e+28,7.612017603812783e+30,1.0093400000000039e+30,1.4186000000000007e+29,8.599700000000034e+29,7.600000000000006e+26,6.74999999999999e+27,1.0082199999999967e+30,9.821099999999969e+29,2.5969999999999993e+28,1.4e+26,2.4679726486300197e+28,0.0
29591.86111111111,9.005008106069909,4.068e+28,7.61904219881179e+30,1.010180000000003e+30,1.4387000000000009e+29,8.586500000000025e+29,8.500000000000008e+26,6.80999999999999e+27,1.010319999999997e+30,9.848099999999975e+29,2.5359999999999965e+28,1.5e+26,2.479983468077559e+28,0.0
29595.666666666668,10.006642251123594,3.967e+28,7.627264934125183e+30,1.0087800000000024e+30,1.4239000000000017e+29,8.587800000000029e+29,8.100000000000006e+26,6.79999999999999e+27,1.0097899999999971e+30,9.841199999999976e+29,2.549999999999999e+28,1.7e+26,2.4730849120901242e+28,0.0
29599.472222222223,11.007237818787871,3.9410000000000002e+28,7.634742759931485e+30,9.953900000000024e+29,1.4133000000000022e+29,8.46490000000002e+29,7.400000000000005e+26,6.829999999999989e+27,9.956499999999978e+29,9.709099999999985e+29,2.4599999999999993e+28,1.4e+26,2.465447699856506e+28,0.0
29603.277777777777,12.006691724029224,3.8169999999999997e+28,7.641066110510068e+30,9.883500000000021e+29,1.395700000000002e+29,8.41220000000002e+29,7.800000000000005e+26,6.77999999999999e+27,9.89589999999998e+29,9.64419999999999e+29,2.5059999999999985e+28,1.1e+26,2.457099883898094e+28,0.0
29607.083333333332,13.004907008396003,3.8109999999999997e+28,7.646612799247359e+30,9.694400000000012e+29,1.385300000000002e+29,8.235100000000015e+29,6.800000000000003e+26,6.71999999999999e+27,9.694999999999994e+29,9.451200000000002e+29,2.4260000000000005e+28,1.2e+26,2.448027060626874e+28,0.0
29610.88888888889,14.001781400720574,3.7979999999999997e+28,7.652802286402579e+30,9.667600000000016e+29,1.3785000000000016e+29,8.212700000000017e+29,8.900000000000005e+26,6.74999999999999e+27,9.66889999999999e+29,9.424000000000003e+29,2.4379999999999975e+28,1.1e+26,2.4382512039513673e+28,0.0
29614.722222222223,15.00448100761787,3.799e+28,7.657611054540296e+30,9.474000000000015e+29,1.3667000000000012e+29,8.031200000000017e+29,7.700000000000008e+26,6.83999999999999e+27,9.473900000000008e+29,9.235000000000007e+29,2.3689999999999993e+28,2e+26,2.4454826412914868e+28,0.0
29618.555555555555,16.00562305434778,3.8149999999999995e+28,7.663733828668614e+30,9.554200000000011e+29,1.3591000000000022e+29,8.120800000000013e+29,6.900000000000006e+26,6.73999999999999e+27,9.552600000000001e+29,9.318700000000002e+29,2.33e+28,9e+25,2.4341933588153768e+28,0.0
29622.38888888889,17.005112599375934,3.674e+28,7.67070943811057e+30,9.532500000000017e+29,1.371700000000001e+29,8.086100000000017e+29,7.200000000000006e+26,6.74999999999999e+27,9.546600000000004e+29,9.296100000000005e+29,2.4919999999999987e+28,1.3e+26,2.422230700220615e+28,0.0
29626.222222222223,18.00285225893549,3.7949999999999997e+28,7.676849263324751e+30,9.338400000000015e+29,1.3502000000000014e+29,7.911300000000012e+29,9.100000000000003e+26,6.77999999999999e+27,9.32630000000001e+29,9.0922e+29,2.3329999999999996e+28,8e+25,2.4096099629423675e+28,0.0
29630.083333333332,19.005959042609902,3.683e+28,7.684953266639689e+30,9.465200000000018e+29,1.3595000000000016e+29,8.030100000000018e+29,6.900000000000007e+26,6.869999999999989e+27,9.476400000000009e+29,9.238000000000009e+29,2.3669999999999987e+28,1.7e+26,2.413664169920789e+28,0.0
29633.944444444445,20.007098782366484,3.718e+28,7.693695497044338e+30,9.442600000000013e+29,1.3615000000000017e+29,8.005700000000014e+29,7.200000000000005e+26,6.819999999999988e+27,9.439100000000006e+29,9.204600000000014e+29,2.3289999999999997e+28,1.6e+26,2.3995861130547145e+28,0.0
