TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,0.0000e+00,5.0000e+25,0.0000e+00,4.0000e+25,3.1638e+32,2.9420e+32,136
0,1,0.0500,0.1000,0.0000e+00,4.1000e+26,0.0000e+00,2.4000e+26,1.5347e+32,1.4964e+32,136
0,2,0.1000,0.2000,0.0000e+00,4.6600e+27,0.0000e+00,3.3900e+27,4.4058e+32,4.3062e+32,136
0,3,0.2000,0.3500,0.0000e+00,2.8800e+28,0.0000e+00,2.5500e+28,5.1222e+32,5.1098e+32,136
0,4,0.3500,0.5500,0.0000e+00,8.9410e+28,0.0000e+00,8.6540e+28,3.2548e+32,3.2114e+32,136
0,5,0.5500,1.0100,0.0000e+00,2.7927e+29,0.0000e+00,2.9292e+29,9.3854e+31,9.4254e+31,136
1,0,0.0000,0.0500,0.0000e+00,4.0000e+25,0.0000e+00,5.0000e+25,3.1651e+32,2.9432e+32,136
1,1,0.0500,0.1000,0.0000e+00,3.9000e+26,0.0000e+00,1.4000e+26,1.5358e+32,1.4972e+32,136
1,2,0.1000,0.2000,0.0000e+00,4.5700e+27,0.0000e+00,3.1300e+27,4.4095e+32,4.3089e+32,136
1,3,0.2000,0.3500,0.0000e+00,2.7200e+28,0.0000e+00,2.5780e+28,5.1248e+32,5.1131e+32,136
1,4,0.3500,0.5500,0.0000e+00,8.4070e+28,0.0000e+00,7.9290e+28,3.2519e+32,3.2099e+32,136
1,5,0.5500,1.0100,0.0000e+00,2.9047e+29,0.0000e+00,2.9022e+29,9.3763e+31,9.4127e+31,136
2,0,0.0000,0.0500,0.0000e+00,2.0000e+25,0.0000e+00,4.0000e+25,3.1663e+32,2.9441e+32,136
2,1,0.0500,0.1000,0.0000e+00,3.7000e+26,0.0000e+00,2.6000e+26,1.5369e+32,1.4982e+32,136
2,2,0.1000,0.2000,0.0000e+00,3.9800e+27,0.0000e+00,3.4700e+27,4.4126e+32,4.3119e+32,136
2,3,0.2000,0.3500,0.0000e+00,2.6770e+28,0.0000e+00,2.6780e+28,5.1270e+32,5.1167e+32,136
