TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,5.8300e+27,0.0000e+00,3.6300e+27,0.0000e+00,4.9317e+32,3.1459e+32,136
0,1,0.0500,0.1000,6.6300e+27,0.0000e+00,3.7900e+27,0.0000e+00,1.9290e+32,1.2650e+32,136
0,2,0.1000,0.2000,2.0050e+28,0.0000e+00,1.1760e+28,0.0000e+00,3.3703e+32,2.0123e+32,136
0,3,0.2000,0.3500,2.2770e+28,0.0000e+00,1.3420e+28,0.0000e+00,2.1775e+32,1.2506e+32,136
0,4,0.3500,0.5500,1.2410e+28,0.0000e+00,8.1000e+27,0.0000e+00,7.0605e+31,4.4480e+31,136
0,5,0.5500,1.0100,5.8200e+27,0.0000e+00,5.2600e+27,0.0000e+00,1.9821e+31,1.7421e+31,136
1,0,0.0000,0.0500,6.1500e+27,0.0000e+00,3.9600e+27,0.0000e+00,4.9324e+32,3.1457e+32,136
1,1,0.0500,0.1000,6.0600e+27,0.0000e+00,4.1400e+27,0.0000e+00,1.9261e+32,1.2636e+32,136
1,2,0.1000,0.2000,2.0040e+28,0.0000e+00,1.1200e+28,0.0000e+00,3.3608e+32,2.0079e+32,136
1,3,0.2000,0.3500,2.3620e+28,0.0000e+00,1.3790e+28,0.0000e+00,2.1704e+32,1.2471e+32,136
1,4,0.3500,0.5500,1.2830e+28,0.0000e+00,8.0100e+27,0.0000e+00,7.0895e+31,4.4692e+31,136
1,5,0.5500,1.0100,6.2400e+27,0.0000e+00,6.0600e+27,0.0000e+00,2.1547e+31,1.9133e+31,136
2,0,0.0000,0.0500,5.4700e+27,0.0000e+00,3.8100e+27,0.0000e+00,4.9333e+32,3.1454e+32,136
2,1,0.0500,0.1000,6.5600e+27,0.0000e+00,4.0900e+27,0.0000e+00,1.9233e+32,1.2620e+32,136
2,2,0.1000,0.2000,2.0420e+28,0.0000e+00,1.0880e+28,0.0000e+00,3.3525e+32,2.0029e+32,136
2,3,0.2000,0.3500,2.2740e+28,0.0000e+00,1.4080e+28,0.0000e+00,2.1629e+32,1.2434e+32,136
2,4,0.3500,0.5500,1.2900e+28,0.0000e+00,7.8700e+27,0.0000e+00,7.1156e+31,4.4889e+31,136
2,5,0.5500,1.0100,7.2000e+27,0.0000e+00,6.2900e+27,0.0000e+00,2.3274e+31,2.0806e+31,136
3,0,0.0000,0.0500,6.2500e+27,0.0000e+00,3.6400e+27,0.0000e+00,4.9704e+32,3.1684e+32,137
3,1,0.0500,0.1000,6.8100e+27,0.0000e+00,4.1200e+27,0.0000e+00,1.9342e+32,1.2697e+32,137
3,2,0.1000,0.2000,2.0340e+28,0.0000e+00,1.1890e+28,0.0000e+00,3.3686e+32,2.0122e+32,137
3,3,0.2000,0.3500,2.2700e+28,0.0000e+00,1.4040e+28,0.0000e+00,2.1723e+32,1.2490e+32,137
3,4,0.3500,0.5500,1.3070e+28,0.0000e+00,8.2000e+27,0.0000e+00,7.1861e+31,4.5399e+31,137
3,5,0.5500,1.0100,8.1500e+27,0.0000e+00,7.5400e+27,0.0000e+00,2.5224e+31,2.2668e+31,137
4,0,0.0000,0.0500,5.7100e+27,0.0000e+00,3.8500e+27,0.0000e+00,4.9354e+32,3.1453e+32,136
4,1,0.0500,0.1000,6.8200e+27,0.0000e+00,4.2700e+27,0.0000e+00,1.9176e+32,1.2588e+32,136
4,2,0.1000,0.2000,1.9520e+28,0.0000e+00,1.1770e+28,0.0000e+00,3.3354e+32,1.9931e+32,136
4,3,0.2000,0.3500,2.3670e+28,0.0000e+00,1.3650e+28,0.0000e+00,2.1656e+32,1.2371e+32,136
4,4,0.3500,0.5500,1.2160e+28,0.0000e+00,8.5600e+27,0.0000e+00,6.9938e+31,4.5334e+31,136
4,5,0.5500,1.0100,8.3600e+27,0.0000e+00,7.9100e+27,0.0000e+00,2.6789e+31,2.4185e+31,136
5,0,0.0000,0.0500,5.2200e+27,0.0000e+00,4.1000e+27,0.0000e+00,4.9364e+32,3.1455e+32,136
5,1,0.0500,0.1000,6.7800e+27,0.0000e+00,3.9300e+27,0.0000e+00,2.0148e+32,1.2570e+32,136
5,2,0.1000,0.2000,1.9610e+28,0.0000e+00,1.1170e+28,0.0000e+00,3.2427e+32,1.9881e+32,136
5,3,0.2000,0.3500,2.3690e+28,0.0000e+00,1.3870e+28,0.0000e+00,2.1553e+32,1.2343e+32,136
5,4,0.3500,0.5500,1.2200e+28,0.0000e+00,8.1900e+27,0.0000e+00,6.8819e+31,4.5591e+31,136
5,5,0.5500,1.0100,8.9900e+27,0.0000e+00,8.0800e+27,0.0000e+00,2.8548e+31,2.5876e+31,136
6,0,0.0000,0.0500,5.6500e+27,0.0000e+00,3.6800e+27,0.0000e+00,4.9738e+32,3.1683e+32,137
6,1,0.0500,0.1000,7.1000e+27,0.0000e+00,3.6800e+27,0.0000e+00,2.0374e+32,1.2257e+32,137
6,2,0.1000,0.2000,1.9760e+28,0.0000e+00,1.2000e+28,0.0000e+00,3.3059e+32,2.0365e+32,137
6,3,0.2000,0.3500,2.2620e+28,0.0000e+00,1.3570e+28,0.0000e+00,2.1057e+32,1.2407e+32,137
6,4,0.3500,0.5500,1.2980e+28,0.0000e+00,7.9900e+27,0.0000e+00,6.9528e+31,4.6118e+31,137
6,5,0.5500,1.0100,1.0040e+28,0.0000e+00,9.3500e+27,0.0000e+00,3.0501e+31,2.7743e+31,137
7,0,0.0000,0.0500,5.4600e+27,0.0000e+00,3.9100e+27,0.0000e+00,4.9386e+32,3.1449e+32,136
7,1,0.0500,0.1000,6.8500e+27,0.0000e+00,3.6100e+27,0.0000e+00,2.0198e+32,1.2007e+32,136
7,2,0.1000,0.2000,1.9780e+28,0.0000e+00,1.2290e+28,0.0000e+00,3.2724e+32,2.0312e+32,136
7,3,0.2000,0.3500,2.3340e+28,0.0000e+00,1.3610e+28,0.0000e+00,2.0838e+32,1.2286e+32,136
7,4,0.3500,0.5500,1.2470e+28,0.0000e+00,8.6100e+27,0.0000e+00,6.9262e+31,4.6035e+31,136
7,5,0.5500,1.0100,1.0450e+28,0.0000e+00,9.2000e+27,0.0000e+00,3.2002e+31,2.9210e+31,136
8,0,0.0000,0.0500,5.9400e+27,0.0000e+00,3.4500e+27,0.0000e+00,4.9762e+32,3.1568e+32,137
8,1,0.0500,0.1000,6.7500e+27,0.0000e+00,3.8400e+27,0.0000e+00,2.0320e+32,1.2191e+32,137
8,2,0.1000,0.2000,1.9670e+28,0.0000e+00,1.1890e+28,0.0000e+00,3.2877e+32,2.0413e+32,137
8,3,0.2000,0.3500,2.2750e+28,0.0000e+00,1.3420e+28,0.0000e+00,2.0920e+32,1.2340e+32,137
8,4,0.3500,0.5500,1.2420e+28,0.0000e+00,8.3500e+27,0.0000e+00,7.0010e+31,4.6582e+31,137
8,5,0.5500,1.0100,1.0360e+28,0.0000e+00,1.0480e+28,0.0000e+00,3.3930e+31,3.1066e+31,137
