TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,1.3076e+29,1.1947e+29,0.0000e+00,4.5000e+27,6.7900e+27,7.3510e+28,4.5960e+28,0.0000e+00,0.0000e+00,2.4600e+27,2.0400e+27,3.5500e+27,3.2400e+27,2.4670e+28,0.0000e+00,2.0302e+08,1.6245e+06,0.0000e+00,0.0000e+00,5.0203e+07,1.6369e+05,6.6625e+05,6.6622e+05,91.4,0.0,3.4,5.2,1.3905e+29,1.3462e+29,3.7100e+27,7.2000e+26,2.4894e+28,0.0000e+00,96.8,2.7,0.5
1,1.3359e+29,1.2210e+29,0.0000e+00,4.7100e+27,6.7800e+27,7.4940e+28,4.7160e+28,0.0000e+00,0.0000e+00,2.7000e+27,2.0100e+27,3.2300e+27,3.5500e+27,2.4210e+28,0.0000e+00,2.0277e+08,2.6285e+06,0.0000e+00,0.0000e+00,4.9782e+07,2.3036e+05,6.6622e+05,6.6612e+05,91.4,0.0,3.5,5.1,1.3417e+29,1.2920e+29,4.0300e+27,9.4000e+26,2.4887e+28,0.0000e+00,96.3,3.0,0.7
2,1.3333e+29,1.2231e+29,0.0000e+00,4.2300e+27,6.7900e+27,7.5290e+28,4.7020e+28,0.0000e+00,0.0000e+00,2.3300e+27,1.9000e+27,3.3500e+27,3.4400e+27,2.4550e+28,0.0000e+00,2.0236e+08,3.4856e+06,0.0000e+00,0.0000e+00,4.9500e+07,3.0552e+05,6.6611e+05,6.6595e+05,91.7,0.0,3.2,5.1,1.3266e+29,1.2811e+29,3.6900e+27,8.6000e+26,2.4871e+28,0.0000e+00,96.6,2.8,0.6
3,1.3794e+29,1.2675e+29,0.0000e+00,4.3800e+27,6.8100e+27,7.7320e+28,4.9430e+28,0.0000e+00,0.0000e+00,2.2500e+27,2.1300e+27,3.6100e+27,3.2000e+27,2.4740e+28,0.0000e+00,2.0217e+08,4.1290e+06,0.0000e+00,0.0000e+00,4.9319e+07,3.8275e+05,6.6595e+05,6.6572e+05,91.9,0.0,3.2,4.9,1.3785e+29,1.3263e+29,4.3400e+27,8.8000e+26,2.5031e+28,0.0000e+00,96.2,3.1,0.6
4,1.3762e+29,1.2625e+29,0.0000e+00,4.5900e+27,6.7800e+27,7.6240e+28,5.0010e+28,0.0000e+00,0.0000e+00,2.3500e+27,2.2400e+27,3.2200e+27,3.5600e+27,2.4580e+28,0.0000e+00,2.0192e+08,5.0061e+06,0.0000e+00,0.0000e+00,4.8897e+07,4.6416e+05,6.6572e+05,6.6543e+05,91.7,0.0,3.3,4.9,1.3790e+29,1.3324e+29,3.7900e+27,8.7000e+26,2.4818e+28,0.0000e+00,96.6,2.7,0.6
5,1.3750e+29,1.2583e+29,0.0000e+00,4.8900e+27,6.7800e+27,7.6490e+28,4.9340e+28,0.0000e+00,0.0000e+00,2.6600e+27,2.2300e+27,3.5100e+27,3.2700e+27,2.3520e+28,0.0000e+00,2.0153e+08,5.5185e+06,0.0000e+00,0.0000e+00,4.8777e+07,5.1786e+05,6.6542e+05,6.6507e+05,91.5,0.0,3.6,4.9,1.3722e+29,1.3230e+29,3.8600e+27,1.0600e+27,2.4779e+28,0.0000e+00,96.4,2.8,0.8
6,1.3956e+29,1.2842e+29,0.0000e+00,4.3300e+27,6.8100e+27,7.8150e+28,5.0270e+28,0.0000e+00,0.0000e+00,2.3500e+27,1.9800e+27,3.3800e+27,3.4300e+27,2.3990e+28,0.0000e+00,2.0129e+08,5.7986e+06,0.0000e+00,0.0000e+00,4.8766e+07,5.8404e+05,6.6506e+05,6.6464e+05,92.0,0.0,3.1,4.9,1.3939e+29,1.3443e+29,4.0000e+27,9.6000e+26,2.4915e+28,0.0000e+00,96.4,2.9,0.7
7,1.4093e+29,1.2958e+29,0.0000e+00,4.6000e+27,6.7500e+27,7.8350e+28,5.1230e+28,0.0000e+00,0.0000e+00,2.4000e+27,2.2000e+27,3.2800e+27,3.4700e+27,2.3850e+28,0.0000e+00,2.0154e+08,6.1460e+06,0.0000e+00,0.0000e+00,4.8408e+07,6.3869e+05,6.6464e+05,6.6415e+05,91.9,0.0,3.3,4.8,1.4065e+29,1.3573e+29,4.0800e+27,8.4000e+26,2.4680e+28,0.0000e+00,96.5,2.9,0.6
8,1.4083e+29,1.2932e+29,0.0000e+00,4.7000e+27,6.8100e+27,7.7890e+28,5.1430e+28,0.0000e+00,0.0000e+00,2.4500e+27,2.2500e+27,3.2400e+27,3.5700e+27,2.3850e+28,0.0000e+00,2.0136e+08,6.6501e+06,0.0000e+00,0.0000e+00,4.7905e+07,6.8527e+05,6.6415e+05,6.6359e+05,91.8,0.0,3.3,4.8,1.4130e+29,1.3605e+29,4.1700e+27,1.0800e+27,2.4800e+28,0.0000e+00,96.3,3.0,0.8
9,1.4148e+29,1.2985e+29,0.0000e+00,4.8300e+27,6.8000e+27,7.7110e+28,5.2740e+28,0.0000e+00,0.0000e+00,2.5400e+27,2.2900e+27,3.4400e+27,3.3600e+27,2.3500e+28,0.0000e+00,2.0086e+08,6.8684e+06,0.0000e+00,0.0000e+00,4.7421e+07,7.1874e+05,6.6359e+05,6.6297e+05,91.8,0.0,3.4,4.8,1.4129e+29,1.3627e+29,3.9400e+27,1.0800e+27,2.4731e+28,0.0000e+00,96.4,2.8,0.8
