TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,2.7970e+28,0.0000e+00,5.8200e+27,0.0000e+00,3.3733e+32,7.2765e+31,136
0,1,0.0500,0.1000,1.6110e+28,0.0000e+00,3.3500e+27,0.0000e+00,6.4923e+31,1.5089e+31,136
0,2,0.1000,0.2000,3.6410e+28,0.0000e+00,1.0070e+28,0.0000e+00,8.4044e+31,2.3534e+31,136
0,3,0.2000,0.3500,3.9660e+28,0.0000e+00,1.7010e+28,0.0000e+00,4.9494e+31,2.0708e+31,136
0,4,0.3500,0.5500,4.6230e+28,0.0000e+00,2.8640e+28,0.0000e+00,3.2719e+31,2.0345e+31,136
0,5,0.5500,1.0100,1.1977e+29,0.0000e+00,1.1278e+29,0.0000e+00,4.8608e+31,4.4724e+31,136
1,0,0.0000,0.0500,2.7440e+28,0.0000e+00,5.7700e+27,0.0000e+00,3.3581e+32,7.2586e+31,136
1,1,0.0500,0.1000,1.5820e+28,0.0000e+00,3.5600e+27,0.0000e+00,6.4062e+31,1.5003e+31,136
1,2,0.1000,0.2000,3.4910e+28,0.0000e+00,1.0780e+28,0.0000e+00,8.2864e+31,2.3454e+31,136
1,3,0.2000,0.3500,3.9760e+28,0.0000e+00,1.6900e+28,0.0000e+00,4.9144e+31,2.0750e+31,136
1,4,0.3500,0.5500,4.4780e+28,0.0000e+00,2.9120e+28,0.0000e+00,3.2808e+31,2.0593e+31,136
1,5,0.5500,1.0100,1.2226e+29,0.0000e+00,1.1282e+29,0.0000e+00,4.9130e+31,4.5167e+31,136
2,0,0.0000,0.0500,2.7790e+28,0.0000e+00,5.8400e+27,0.0000e+00,3.3434e+32,7.2425e+31,136
2,1,0.0500,0.1000,1.5380e+28,0.0000e+00,3.6300e+27,0.0000e+00,6.3139e+31,1.4936e+31,136
2,2,0.1000,0.2000,3.5820e+28,0.0000e+00,9.9900e+27,0.0000e+00,8.1842e+31,2.3413e+31,136
2,3,0.2000,0.3500,3.8770e+28,0.0000e+00,1.7050e+28,0.0000e+00,4.8796e+31,2.0735e+31,136
2,4,0.3500,0.5500,4.5650e+28,0.0000e+00,3.0140e+28,0.0000e+00,3.2884e+31,2.0749e+31,136
2,5,0.5500,1.0100,1.2019e+29,0.0000e+00,1.1097e+29,0.0000e+00,4.9594e+31,4.5468e+31,136
3,0,0.0000,0.0500,2.6840e+28,0.0000e+00,5.9700e+27,0.0000e+00,3.3533e+32,7.2796e+31,137
3,1,0.0500,0.1000,1.5040e+28,0.0000e+00,3.6200e+27,0.0000e+00,6.2674e+31,1.4984e+31,137
3,2,0.1000,0.2000,3.5560e+28,0.0000e+00,9.4700e+27,0.0000e+00,8.1482e+31,2.3514e+31,137
