Time_hours,TAA,Exosphere_Total,Surface_Total,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.004613984076968336,2.3450000000000005e+28,2.1259521755802e+31,2.447999999999996e+28,2.401999999999996e+28,0.0,1.1e+26,3.5e+26,2.41400000000001e+28,2.3210000000000096e+28,9e+26,3.0000000000000005e+25,1.2813938826112553e+27,0.0
29561.555555555555,1.0035978740661449,2.327e+28,2.1274488547844284e+31,4.7255999999999945e+29,4.634799999999995e+29,0.0,2.2899999999999987e+27,6.78999999999999e+27,4.72740000000002e+29,4.569900000000019e+29,1.5200000000000003e+28,5.500000000000005e+26,2.4894453216448845e+28,0.0
29565.333333333332,2.0024777896696833,2.324e+28,2.1289138143272938e+31,4.730699999999992e+29,4.640199999999993e+29,0.0,2.2699999999999988e+27,6.77999999999999e+27,4.7310000000000254e+29,4.578300000000019e+29,1.4869999999999995e+28,4e+26,2.488670602747906e+28,0.0
29569.11111111111,3.001149752583842,2.2849999999999998e+28,2.130054523613983e+31,4.7045999999999946e+29,4.6097999999999946e+29,0.0,2.6899999999999995e+27,6.78999999999999e+27,4.70850000000002e+29,4.55470000000002e+29,1.4859999999999987e+28,5.2000000000000035e+26,2.4871245505938524e+28,0.0
29572.916666666668,4.006850565499008,2.307e+28,2.131350481115888e+31,4.7668999999999936e+29,4.675099999999998e+29,0.0,2.3699999999999984e+27,6.80999999999999e+27,4.764700000000022e+29,4.604900000000022e+29,1.5269999999999993e+28,7.100000000000006e+26,2.5030922725694004e+28,0.0
29576.694444444445,5.004794939285603,2.3690000000000002e+28,2.132822535786684e+31,4.752599999999991e+29,4.662799999999992e+29,0.0,2.1999999999999982e+27,6.779999999999991e+27,4.746400000000021e+29,4.596900000000021e+29,1.4309999999999997e+28,6.400000000000007e+26,2.4817388748696293e+28,0.0
29580.472222222223,6.002221622954494,2.3690000000000002e+28,2.134389768444752e+31,4.768499999999994e+29,4.6742999999999954e+29,0.0,2.64e+27,6.779999999999991e+27,4.768500000000023e+29,4.6158000000000226e+29,1.4779999999999996e+28,4.900000000000004e+26,2.47791299120634e+28,0.0
29584.277777777777,7.006355805322528,2.3220000000000003e+28,2.1360976630358727e+31,4.825099999999994e+29,4.735299999999991e+29,0.0,2.1699999999999986e+27,6.80999999999999e+27,4.829800000000022e+29,4.674900000000026e+29,1.498e+28,5.100000000000005e+26,2.4914953557053713e+28,0.0
29588.055555555555,8.002435972621242,2.376e+28,2.1379414365626973e+31,4.831399999999995e+29,4.739199999999992e+29,0.0,2.469999999999998e+27,6.74999999999999e+27,4.826000000000024e+29,4.6696000000000235e+29,1.5229999999999997e+28,4.1000000000000026e+26,2.4679726486300197e+28,0.0
29591.86111111111,9.005008106069909,2.3930000000000004e+28,2.1396103806920406e+31,4.8442999999999925e+29,4.752899999999992e+29,0.0,2.3299999999999978e+27,6.80999999999999e+27,4.842600000000022e+29,4.6868000000000246e+29,1.4919999999999996e+28,6.600000000000005e+26,2.479983468077559e+28,0.0
