Time_hours,TAA,Exosphere_Total,Surface_Total,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.004613984076968336,3.254e+28,1.2189163916113876e+31,4.1749999999999945e+28,8.460000000000009e+27,3.2919999999999937e+28,2e+25,3.5e+26,4.168000000000019e+28,4.06400000000002e+28,1.04e+27,0.0,1.2813938826112553e+27,0.0
29561.555555555555,1.0035978740661449,3.218e+28,1.2198716494253901e+31,8.075699999999994e+29,1.7205000000000023e+29,6.285399999999988e+29,1.9e+26,6.78999999999999e+27,8.079300000000035e+29,7.87770000000004e+29,2.0040000000000002e+28,1.2e+26,2.4894453216448845e+28,0.0
29565.333333333332,2.0024777896696833,3.414e+28,1.2212170899122647e+31,8.270499999999992e+29,1.7425000000000017e+29,6.457799999999987e+29,2.4e+26,6.77999999999999e+27,8.250900000000031e+29,8.037200000000028e+29,2.1229999999999997e+28,1.4e+26,2.488670602747906e+28,0.0
29569.11111111111,3.001149752583842,3.243e+28,1.2224300141645044e+31,8.089499999999987e+29,1.7313000000000015e+29,6.288899999999988e+29,1.4e+26,6.78999999999999e+27,8.106600000000034e+29,7.901600000000039e+29,2.032e+28,1.8e+26,2.4871245505938524e+28,0.0
29572.916666666668,4.006850565499008,3.209e+28,1.2236051895105582e+31,8.209099999999991e+29,1.7357000000000023e+29,6.404099999999985e+29,1.2e+26,6.80999999999999e+27,8.212500000000028e+29,8.000900000000034e+29,2.103e+28,1.3e+26,2.5030922725694004e+28,0.0
29576.694444444445,5.004794939285603,3.319e+28,1.224719879538661e+31,8.093599999999995e+29,1.6936000000000026e+29,6.329499999999985e+29,2.7e+26,6.779999999999991e+27,8.082600000000034e+29,7.884900000000035e+29,1.9630000000000003e+28,1.4e+26,2.4817388748696293e+28,0.0
29580.472222222223,6.002221622954494,3.2959999999999997e+28,1.2259042296710185e+31,8.110699999999991e+29,1.6838000000000025e+29,6.35699999999999e+29,2.1e+26,6.779999999999991e+27,8.113000000000028e+29,7.914500000000037e+29,1.966e+28,1.9e+26,2.47791299120634e+28,0.0
29584.277777777777,7.006355805322528,3.2399999999999997e+28,1.2273316302825673e+31,8.201599999999988e+29,1.7171000000000017e+29,6.414499999999985e+29,1.9e+26,6.80999999999999e+27,8.207200000000028e+29,8.005200000000032e+29,2.004e+28,1.6e+26,2.4914953557053713e+28,0.0
29588.055555555555,8.002435972621242,3.2519999999999997e+28,1.2283510166580875e+31,8.016399999999997e+29,1.666900000000003e+29,6.280399999999988e+29,1.6e+26,6.74999999999999e+27,8.015200000000035e+29,7.810100000000047e+29,2.0259999999999998e+28,2.5e+26,2.4679726486300197e+28,0.0
29591.86111111111,9.005008106069909,3.125e+28,1.229688054077012e+31,8.089599999999988e+29,1.680200000000001e+29,6.340099999999987e+29,1.2e+26,6.80999999999999e+27,8.102300000000034e+29,7.890500000000037e+29,2.0940000000000003e+28,2.4e+26,2.479983468077559e+28,0.0
29595.666666666668,10.006642251123594,3.066e+28,1.2307516157728484e+31,7.883499999999988e+29,1.6653000000000023e+29,6.147999999999985e+29,2.2e+26,6.79999999999999e+27,7.889400000000047e+29,7.691200000000056e+29,1.9560000000000013e+28,2.6e+26,2.4730849120901242e+28,0.0
29599.472222222223,11.007237818787871,3.0610000000000003e+28,1.2317864291541802e+31,7.762099999999993e+29,1.6120000000000018e+29,6.079999999999987e+29,1.8e+26,6.829999999999989e+27,7.76260000000005e+29,7.560900000000057e+29,1.9989999999999996e+28,1.8e+26,2.465447699856506e+28,0.0
29603.277777777777,12.006691724029224,3.1480000000000003e+28,1.233028624536836e+31,7.963399999999995e+29,1.6426000000000024e+29,6.250799999999988e+29,2.2e+26,6.77999999999999e+27,7.954700000000042e+29,7.751900000000047e+29,1.9960000000000014e+28,3.2e+26,2.457099883898094e+28,0.0
29607.083333333332,13.004907008396003,3.193e+28,1.2342981769674315e+31,7.938299999999988e+29,1.6227000000000017e+29,6.2470999999999854e+29,1.3e+26,6.71999999999999e+27,7.93380000000004e+29,7.741800000000047e+29,1.8920000000000009e+28,2.8e+26,2.448027060626874e+28,0.0
29610.88888888889,14.001781400720574,2.954e+28,1.2353696663342703e+31,7.866999999999989e+29,1.631700000000002e+29,6.1662999999999884e+29,1.5e+26,6.74999999999999e+27,7.890900000000048e+29,7.694300000000054e+29,1.927000000000001e+28,3.900000000000002e+26,2.4382512039513673e+28,0.0
