TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,2.6750e+28,6.0000e+25,4.3000e+27,3.0000e+25,1.3946e+32,2.1386e+31,136
0,1,0.0500,0.1000,7.6700e+27,7.3000e+26,2.3200e+27,3.3000e+26,1.1805e+31,3.9146e+30,136
0,2,0.1000,0.2000,1.9850e+28,5.5100e+27,9.2600e+27,2.9900e+27,1.7888e+31,8.2189e+30,136
0,3,0.2000,0.3500,2.2090e+28,2.2060e+28,1.4600e+28,1.4850e+28,1.0825e+31,7.1126e+30,136
0,4,0.3500,0.5500,1.9620e+28,6.0840e+28,1.6650e+28,5.2370e+28,5.6656e+30,4.8285e+30,136
0,5,0.5500,1.0100,1.8750e+28,2.5829e+29,1.7020e+28,2.4965e+29,3.5123e+30,3.2853e+30,136
1,0,0.0000,0.0500,2.5610e+28,1.1000e+26,4.6000e+27,3.0000e+25,1.3778e+32,2.1334e+31,136
1,1,0.0500,0.1000,7.2400e+27,4.8000e+26,2.5600e+27,1.0000e+26,1.1644e+31,3.9334e+30,136
1,2,0.1000,0.2000,1.9430e+28,5.3500e+27,8.8500e+27,2.6100e+27,1.7722e+31,8.1975e+30,136
1,3,0.2000,0.3500,2.2400e+28,2.2110e+28,1.4990e+28,1.6970e+28,1.0795e+31,7.1230e+30,136
1,4,0.3500,0.5500,1.9370e+28,6.4750e+28,1.6360e+28,5.3350e+28,5.7502e+30,4.7491e+30,136
1,5,0.5500,1.0100,1.9840e+28,2.6555e+29,1.7570e+28,2.4700e+29,3.6142e+30,3.3183e+30,136
2,0,0.0000,0.0500,2.4310e+28,6.0000e+25,4.6900e+27,7.0000e+25,1.3607e+32,2.1269e+31,136
2,1,0.0500,0.1000,7.0700e+27,4.5000e+26,2.4000e+27,2.4000e+26,1.1485e+31,3.9325e+30,136
2,2,0.1000,0.2000,1.9320e+28,5.1300e+27,8.9300e+27,2.8400e+27,1.7491e+31,8.1872e+30,136
2,3,0.2000,0.3500,2.2430e+28,2.1370e+28,1.4320e+28,1.5630e+28,1.0745e+31,7.1156e+30,136
2,4,0.3500,0.5500,1.9670e+28,6.2670e+28,1.6850e+28,5.4980e+28,5.7813e+30,4.7603e+30,136
2,5,0.5500,1.0100,1.8680e+28,2.6766e+29,1.8790e+28,2.6018e+29,3.6937e+30,3.3624e+30,136
3,0,0.0000,0.0500,2.5300e+28,9.0000e+25,4.6700e+27,7.0000e+25,1.3537e+32,2.1392e+31,137
3,1,0.0500,0.1000,6.7400e+27,5.2000e+26,2.3600e+27,2.1000e+26,1.1395e+31,3.9697e+30,137
3,2,0.1000,0.2000,1.7940e+28,4.9100e+27,9.3000e+27,2.9000e+27,1.7400e+31,8.2466e+30,137
3,3,0.2000,0.3500,2.2670e+28,2.1910e+28,1.5150e+28,1.6300e+28,1.0762e+31,7.2751e+30,137
3,4,0.3500,0.5500,1.9290e+28,6.2630e+28,1.6810e+28,5.4340e+28,5.8042e+30,4.8099e+30,137
3,5,0.5500,1.0100,1.9340e+28,2.6205e+29,1.8330e+28,2.5796e+29,3.6863e+30,3.4036e+30,137
4,0,0.0000,0.0500,2.3360e+28,7.0000e+25,4.9300e+27,8.0000e+25,1.3282e+32,2.1188e+31,136
4,1,0.0500,0.1000,6.8100e+27,4.5000e+26,2.2400e+27,2.6000e+26,1.1128e+31,3.9307e+30,136
4,2,0.1000,0.2000,1.9090e+28,5.7400e+27,9.2100e+27,2.8500e+27,1.7138e+31,8.1684e+30,136
4,3,0.2000,0.3500,2.1300e+28,2.1700e+28,1.4610e+28,1.5270e+28,1.0790e+31,7.1844e+30,136
4,4,0.3500,0.5500,1.8710e+28,5.8470e+28,1.6040e+28,5.0800e+28,5.5932e+30,4.7011e+30,136
4,5,0.5500,1.0100,1.9600e+28,2.6434e+29,1.8360e+28,2.5648e+29,3.6397e+30,3.3595e+30,136
5,0,0.0000,0.0500,2.2630e+28,6.0000e+25,4.7400e+27,3.0000e+25,1.3123e+32,2.1175e+31,136
5,1,0.0500,0.1000,7.2400e+27,5.8000e+26,2.3000e+27,1.8000e+26,1.1813e+31,3.9263e+30,136
5,2,0.1000,0.2000,1.7280e+28,4.9300e+27,8.6800e+27,2.6900e+27,1.6200e+31,8.1881e+30,136
5,3,0.2000,0.3500,2.2160e+28,2.2730e+28,1.4970e+28,1.5340e+28,1.0756e+31,7.1535e+30,136
5,4,0.3500,0.5500,1.9280e+28,6.1220e+28,1.6270e+28,5.6540e+28,5.5524e+30,4.7484e+30,136
5,5,0.5500,1.0100,1.9060e+28,2.6257e+29,1.8280e+28,2.6361e+29,3.6812e+30,3.4603e+30,136
6,0,0.0000,0.0500,2.2460e+28,9.0000e+25,4.5400e+27,8.0000e+25,1.3063e+32,2.1288e+31,137
6,1,0.0500,0.1000,7.0900e+27,5.0000e+26,2.1700e+27,1.5000e+26,1.1774e+31,3.7123e+30,137
6,2,0.1000,0.2000,1.8020e+28,5.4500e+27,9.2200e+27,2.7700e+27,1.6310e+31,8.4282e+30,137
6,3,0.2000,0.3500,2.1940e+28,2.2300e+28,1.4820e+28,1.6120e+28,1.0553e+31,7.2396e+30,137
6,4,0.3500,0.5500,1.9330e+28,6.0420e+28,1.7360e+28,5.7660e+28,5.6386e+30,4.8104e+30,137
6,5,0.5500,1.0100,1.8560e+28,2.5563e+29,1.8760e+28,2.6349e+29,3.6399e+30,3.5218e+30,137
7,0,0.0000,0.0500,2.2310e+28,3.0000e+25,4.4000e+27,6.0000e+25,1.2818e+32,2.1048e+31,136
7,1,0.0500,0.1000,7.3900e+27,5.6000e+26,2.3900e+27,1.8000e+26,1.1494e+31,3.6121e+30,136
7,2,0.1000,0.2000,1.8220e+28,5.2000e+27,9.2200e+27,2.6900e+27,1.6121e+31,8.4583e+30,136
7,3,0.2000,0.3500,2.1230e+28,2.1260e+28,1.4630e+28,1.5750e+28,1.0359e+31,7.1361e+30,136
7,4,0.3500,0.5500,1.8740e+28,6.0120e+28,1.6570e+28,5.6400e+28,5.6909e+30,4.8401e+30,136
7,5,0.5500,1.0100,1.9390e+28,2.6196e+29,1.8860e+28,2.5910e+29,3.6242e+30,3.5378e+30,136
8,0,0.0000,0.0500,2.1870e+28,4.0000e+25,4.4000e+27,4.0000e+25,1.2772e+32,2.0913e+31,137
8,1,0.0500,0.1000,7.1700e+27,5.2000e+26,2.2700e+27,1.7000e+26,1.1394e+31,3.8435e+30,137
8,2,0.1000,0.2000,1.7580e+28,5.2200e+27,9.5900e+27,2.9400e+27,1.6140e+31,8.6199e+30,137
8,3,0.2000,0.3500,2.0920e+28,2.0880e+28,1.5190e+28,1.6010e+28,1.0307e+31,7.1899e+30,137
8,4,0.3500,0.5500,1.9290e+28,5.8930e+28,1.6700e+28,5.5260e+28,5.7328e+30,4.8765e+30,137
8,5,0.5500,1.0100,1.9430e+28,2.5120e+29,1.8380e+28,2.6273e+29,3.6024e+30,3.4896e+30,137
9,0,0.0000,0.0500,2.0730e+28,2.0000e+25,4.7500e+27,4.0000e+25,1.2636e+32,1.9901e+31,137
9,1,0.0500,0.1000,6.9800e+27,4.8000e+26,2.6000e+27,1.3000e+26,1.1189e+31,4.8077e+30,137
9,2,0.1000,0.2000,1.7270e+28,5.9500e+27,9.6500e+27,2.7900e+27,1.6108e+31,8.6868e+30,137
9,3,0.2000,0.3500,2.0300e+28,2.2330e+28,1.4700e+28,1.6130e+28,1.0117e+31,7.2093e+30,137
9,4,0.3500,0.5500,2.0080e+28,5.7630e+28,1.6670e+28,5.4060e+28,5.6848e+30,4.8589e+30,137
9,5,0.5500,1.0100,1.8240e+28,2.5131e+29,1.8660e+28,2.5742e+29,3.5109e+30,3.5111e+30,137
