TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,1.0575e+29,2.6041e+28,7.2751e+28,1.7700e+26,6.7780e+27,2.1366e+28,4.6750e+27,4.5837e+28,2.6914e+28,1.0100e+26,7.6000e+25,3.3550e+27,3.4230e+27,5.2312e+07,1.0029e-20,1.5860e+08,1.0004e-20,4.5274e+06,1.0030e-20,6.6629e+05,6.6626e+05,24.6,68.8,0.2,6.4,1.0585e+29,1.0296e+29,2.7610e+27,1.2900e+26,0.0000e+00,0.0000e+00,97.3,2.6,0.1
1,1.0450e+29,2.5940e+28,7.1537e+28,1.9600e+26,6.8240e+27,2.1173e+28,4.7670e+27,4.5100e+28,2.6437e+28,1.0500e+26,9.1000e+25,3.4960e+27,3.3280e+27,5.1813e+07,1.0326e-20,1.5574e+08,1.0234e-20,4.5692e+06,1.4902e-20,6.6625e+05,6.6616e+05,24.8,68.5,0.2,6.5,1.0459e+29,1.0174e+29,2.7140e+27,1.3800e+26,0.0000e+00,0.0000e+00,97.3,2.6,0.1
2,1.0322e+29,2.5621e+28,7.0635e+28,1.8600e+26,6.7800e+27,2.0899e+28,4.7220e+27,4.4125e+28,2.6510e+28,1.1000e+26,7.6000e+25,3.4340e+27,3.3460e+27,5.1375e+07,1.0029e-20,1.4894e+08,1.0267e-20,4.5634e+06,1.0061e-20,6.6616e+05,6.6599e+05,24.8,68.4,0.2,6.6,1.0318e+29,1.0030e+29,2.7200e+27,1.6100e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
3,1.0337e+29,2.5042e+28,7.1363e+28,1.8500e+26,6.7790e+27,2.0378e+28,4.6640e+27,4.4592e+28,2.6771e+28,1.0600e+26,7.9000e+25,3.4270e+27,3.3520e+27,5.0825e+07,1.0119e-20,1.4405e+08,1.0051e-20,4.5540e+06,1.0066e-20,6.6599e+05,6.6576e+05,24.2,69.0,0.2,6.6,1.0327e+29,1.0045e+29,2.6380e+27,1.7500e+26,0.0000e+00,0.0000e+00,97.3,2.6,0.2
4,1.0476e+29,2.5027e+28,7.2762e+28,1.9600e+26,6.7760e+27,2.0247e+28,4.7800e+27,4.5567e+28,2.7195e+28,1.1800e+26,7.8000e+25,3.3300e+27,3.4460e+27,5.0574e+07,1.0551e-20,1.4696e+08,1.0029e-20,4.4969e+06,1.0922e-20,6.6576e+05,6.6547e+05,23.9,69.5,0.2,6.5,1.0489e+29,1.0196e+29,2.7650e+27,1.5700e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.1
5,1.0448e+29,2.4864e+28,7.2589e+28,2.0200e+26,6.8250e+27,2.0004e+28,4.8600e+27,4.5437e+28,2.7152e+28,1.3000e+26,7.2000e+25,3.4300e+27,3.3950e+27,5.0237e+07,1.0005e-20,1.5568e+08,1.0851e-20,4.5437e+06,1.0619e-20,6.6547e+05,6.6511e+05,23.8,69.5,0.2,6.5,1.0437e+29,1.0147e+29,2.7240e+27,1.7300e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
6,1.0366e+29,2.4470e+28,7.2245e+28,1.8200e+26,6.7640e+27,1.9604e+28,4.8660e+27,4.5453e+28,2.6792e+28,1.0200e+26,8.0000e+25,3.4180e+27,3.3460e+27,4.9895e+07,1.0241e-20,1.5534e+08,1.0183e-20,4.4512e+06,1.0171e-20,6.6510e+05,6.6468e+05,23.6,69.7,0.2,6.5,1.0373e+29,1.0082e+29,2.7510e+27,1.6400e+26,0.0000e+00,0.0000e+00,97.2,2.7,0.2
7,1.0294e+29,2.4348e+28,7.1576e+28,2.0400e+26,6.8070e+27,1.9492e+28,4.8560e+27,4.4409e+28,2.7167e+28,1.2100e+26,8.3000e+25,3.3130e+27,3.4940e+27,4.9516e+07,1.0138e-20,1.5977e+08,1.0285e-20,4.4469e+06,1.0005e-20,6.6468e+05,6.6419e+05,23.7,69.5,0.2,6.6,1.0308e+29,1.0025e+29,2.6630e+27,1.6300e+26,0.0000e+00,0.0000e+00,97.3,2.6,0.2
8,1.0149e+29,2.3896e+28,7.0647e+28,1.8700e+26,6.7600e+27,1.9106e+28,4.7900e+27,4.3331e+28,2.7316e+28,1.0900e+26,7.8000e+25,3.4050e+27,3.3550e+27,4.9083e+07,1.0023e-20,1.8373e+08,1.0024e-20,4.3975e+06,1.0216e-20,6.6418e+05,6.6363e+05,23.5,69.6,0.2,6.7,1.0145e+29,9.8612e+28,2.6450e+27,1.9800e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
9,1.0009e+29,2.3680e+28,6.9411e+28,2.0100e+26,6.7990e+27,1.8939e+28,4.7410e+27,4.2141e+28,2.7270e+28,1.1200e+26,8.9000e+25,3.3620e+27,3.4370e+27,4.8714e+07,1.0007e-20,1.4909e+08,1.0047e-20,4.3141e+06,1.0056e-20,6.6363e+05,6.6301e+05,23.7,69.3,0.2,6.8,1.0020e+29,9.7363e+28,2.6470e+27,1.9200e+26,0.0000e+00,0.0000e+00,97.2,2.6,0.2
