TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,1.1110e+30,1.8221e+29,9.1987e+29,2.0900e+27,6.7900e+27,1.3700e+29,4.5210e+28,5.1279e+29,4.0708e+29,1.1400e+27,9.5000e+26,3.5500e+27,3.2400e+27,5.9957e+08,1.3925e+03,1.8281e+09,3.4537e-14,4.1664e+07,8.6900e+01,6.6625e+05,6.6621e+05,16.4,82.8,0.2,0.6,1.1094e+30,1.0776e+30,3.1310e+28,4.8000e+26,3.4608e+28,0.0000e+00,97.1,2.8,0.0
1,1.1319e+30,1.8080e+29,9.4248e+29,1.8500e+27,6.7800e+27,1.3418e+29,4.6620e+28,5.1617e+29,4.2631e+29,1.1100e+27,7.4000e+26,3.2300e+27,3.5500e+27,5.9521e+08,1.3927e+03,1.9556e+09,2.8737e-14,4.0804e+07,8.6911e+01,6.6621e+05,6.6612e+05,16.0,83.3,0.2,0.6,1.1314e+30,1.0977e+30,3.3150e+28,5.3000e+26,3.4602e+28,0.0000e+00,97.0,2.9,0.0
2,1.1201e+30,1.7960e+29,9.3195e+29,1.7200e+27,6.7900e+27,1.3363e+29,4.5970e+28,5.1402e+29,4.1793e+29,9.5000e+26,7.7000e+26,3.3500e+27,3.4400e+27,5.8990e+08,1.3934e+03,1.8180e+09,2.3812e-14,3.9897e+07,8.6953e+01,6.6611e+05,6.6595e+05,16.0,83.2,0.2,0.6,1.1206e+30,1.0877e+30,3.2440e+28,5.1000e+26,3.4588e+28,0.0000e+00,97.1,2.9,0.0
3,1.1358e+30,1.7888e+29,9.4835e+29,1.7600e+27,6.8100e+27,1.3191e+29,4.6970e+28,5.3003e+29,4.1832e+29,9.9000e+26,7.7000e+26,3.6100e+27,3.2000e+27,5.8508e+08,1.3946e+03,1.8635e+09,1.9669e-14,3.9361e+07,8.7031e+01,6.6595e+05,6.6572e+05,15.7,83.5,0.2,0.6,1.1356e+30,1.1028e+30,3.2420e+28,4.2000e+26,3.4822e+28,0.0000e+00,97.1,2.9,0.0
4,1.1181e+30,1.7699e+29,9.3285e+29,1.5000e+27,6.7800e+27,1.3069e+29,4.6300e+28,5.1306e+29,4.1979e+29,8.3000e+26,6.7000e+26,3.2200e+27,3.5600e+27,5.7982e+08,1.3965e+03,1.7250e+09,1.6258e-14,3.8902e+07,8.7145e+01,6.6572e+05,6.6543e+05,15.8,83.4,0.1,0.6,1.1198e+30,1.0880e+30,3.1520e+28,3.2000e+26,3.4541e+28,0.0000e+00,97.2,2.8,0.0
5,1.1097e+30,1.7485e+29,9.2632e+29,1.7300e+27,6.7800e+27,1.2841e+29,4.6440e+28,5.0458e+29,4.2174e+29,9.5000e+26,7.8000e+26,3.5100e+27,3.2700e+27,5.7626e+08,1.3988e+03,2.3368e+09,1.3410e-14,3.8563e+07,8.7293e+01,6.6542e+05,6.6507e+05,15.8,83.5,0.2,0.6,1.1092e+30,1.0774e+30,3.1310e+28,4.7000e+26,3.4507e+28,0.0000e+00,97.1,2.8,0.0
6,1.1144e+30,1.7384e+29,9.3199e+29,1.7300e+27,6.8100e+27,1.2729e+29,4.6550e+28,5.0066e+29,4.3133e+29,1.0100e+27,7.2000e+26,3.3800e+27,3.4300e+27,5.7256e+08,1.4017e+03,2.1210e+09,1.1046e-14,3.8363e+07,8.7481e+01,6.6506e+05,6.6464e+05,15.6,83.6,0.2,0.6,1.1147e+30,1.0823e+30,3.1930e+28,4.9000e+26,3.4720e+28,0.0000e+00,97.1,2.9,0.0
7,1.0754e+30,1.6949e+29,8.9766e+29,1.4600e+27,6.7500e+27,1.2375e+29,4.5740e+28,4.7980e+29,4.1786e+29,8.5000e+26,6.1000e+26,3.2800e+27,3.4700e+27,5.6799e+08,1.4054e+03,1.9584e+09,9.1122e-15,3.8112e+07,8.7700e+01,6.6464e+05,6.6415e+05,15.8,83.5,0.1,0.6,1.0779e+30,1.0472e+30,3.0050e+28,5.8000e+26,3.4419e+28,0.0000e+00,97.2,2.8,0.1
8,1.0839e+30,1.7092e+29,9.0442e+29,1.7400e+27,6.8100e+27,1.2403e+29,4.6890e+28,4.8552e+29,4.1890e+29,9.6000e+26,7.8000e+26,3.2400e+27,3.5700e+27,5.6461e+08,1.4093e+03,1.7802e+09,7.5218e-15,3.6690e+07,8.7954e+01,6.6415e+05,6.6359e+05,15.8,83.4,0.2,0.6,1.0833e+30,1.0518e+30,3.0900e+28,5.5000e+26,3.4618e+28,0.0000e+00,97.1,2.9,0.1
9,1.0804e+30,1.6596e+29,9.0593e+29,1.7200e+27,6.8000e+27,1.2088e+29,4.5080e+28,4.8244e+29,4.2349e+29,1.0300e+27,6.9000e+26,3.4400e+27,3.3600e+27,5.5941e+08,1.4140e+03,1.7089e+09,6.2168e-15,3.7221e+07,8.8249e+01,6.6359e+05,6.6297e+05,15.4,83.9,0.2,0.6,1.0808e+30,1.0485e+30,3.1610e+28,6.3000e+26,3.4557e+28,0.0000e+00,97.0,2.9,0.1
10,1.0789e+30,1.6735e+29,9.0317e+29,1.5700e+27,6.8300e+27,1.2054e+29,4.6810e+28,4.8068e+29,4.2249e+29,7.6000e+26,8.1000e+26,3.3000e+27,3.5300e+27,5.5475e+08,1.4192e+03,1.6987e+09,5.1512e-15,3.7024e+07,8.8578e+01,6.6297e+05,6.6229e+05,15.5,83.7,0.1,0.6,1.0783e+30,1.0472e+30,3.0620e+28,5.1000e+26,3.4489e+28,0.0000e+00,97.1,2.8,0.0
11,1.0644e+30,1.6780e+29,8.8835e+29,1.4300e+27,6.7800e+27,1.2010e+29,4.7700e+28,4.7221e+29,4.1614e+29,7.9000e+26,6.4000e+26,3.3700e+27,3.4100e+27,5.5016e+08,1.4250e+03,1.8292e+09,4.2866e-15,3.6119e+07,8.8947e+01,6.6228e+05,6.6154e+05,15.8,83.5,0.1,0.6,1.0659e+30,1.0359e+30,2.9650e+28,4.2000e+26,3.4415e+28,0.0000e+00,97.2,2.8,0.0
12,1.0587e+30,1.6373e+29,8.8677e+29,1.4400e+27,6.7200e+27,1.1778e+29,4.5950e+28,4.7166e+29,4.1511e+29,7.8000e+26,6.6000e+26,3.5300e+27,3.1900e+27,5.4685e+08,1.4314e+03,1.7176e+09,3.5858e-15,3.5648e+07,8.9351e+01,6.6153e+05,6.6073e+05,15.5,83.8,0.1,0.6,1.0577e+30,1.0273e+30,2.9810e+28,5.1000e+26,3.4334e+28,0.0000e+00,97.1,2.8,0.0
13,1.0578e+30,1.6332e+29,8.8595e+29,1.7600e+27,6.7500e+27,1.1686e+29,4.6460e+28,4.6657e+29,4.1938e+29,9.9000e+26,7.7000e+26,3.4000e+27,3.3500e+27,5.4136e+08,1.4384e+03,1.8601e+09,3.0145e-15,3.5571e+07,8.9793e+01,6.6072e+05,6.5985e+05,15.4,83.8,0.2,0.6,1.0593e+30,1.0288e+30,2.9940e+28,6.5000e+26,3.4247e+28,0.0000e+00,97.1,2.8,0.1
14,1.0492e+30,1.6282e+29,8.7770e+29,1.8600e+27,6.8500e+27,1.1663e+29,4.6190e+28,4.6355e+29,4.1415e+29,9.5000e+26,9.1000e+26,3.4300e+27,3.4200e+27,5.3590e+08,1.4460e+03,1.6127e+09,2.5483e-15,3.5607e+07,9.0273e+01,6.5985e+05,6.5891e+05,15.5,83.7,0.2,0.7,1.0484e+30,1.0180e+30,2.9590e+28,8.1000e+26,3.4403e+28,0.0000e+00,97.1,2.8,0.1
