TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.4505e+29,2.1670e+29,6.1858e+29,2.9800e+27,6.7900e+27,1.4884e+29,6.7860e+28,3.4101e+29,2.7757e+29,1.7300e+27,1.2500e+27,3.5500e+27,3.2400e+27,5.5143e+08,2.3588e+06,1.4942e+09,1.8950e-05,2.6538e+07,1.5318e+05,6.6625e+05,6.6621e+05,25.6,73.2,0.4,0.8,8.4440e+29,8.1778e+29,2.6130e+28,4.9000e+26,3.0638e+28,0.0000e+00,96.8,3.1,0.1
1,8.5795e+29,2.1587e+29,6.3212e+29,3.1800e+27,6.7800e+27,1.5017e+29,6.5700e+28,3.4632e+29,2.8580e+29,1.8500e+27,1.3300e+27,3.2300e+27,3.5500e+27,5.4680e+08,2.6456e+06,1.4783e+09,1.6458e-05,2.5855e+07,2.1625e+05,6.6621e+05,6.6612e+05,25.2,73.7,0.4,0.8,8.5750e+29,8.3171e+29,2.5170e+28,6.2000e+26,3.0630e+28,0.0000e+00,97.0,2.9,0.1
2,8.8122e+29,2.1302e+29,6.5807e+29,3.3400e+27,6.7900e+27,1.4815e+29,6.4870e+28,3.5806e+29,3.0001e+29,1.8500e+27,1.4900e+27,3.3500e+27,3.4400e+27,5.4299e+08,2.5361e+06,1.4307e+09,1.4264e-05,2.5461e+07,1.8899e+05,6.6611e+05,6.6595e+05,24.2,74.7,0.4,0.8,8.7987e+29,8.5257e+29,2.6640e+28,6.6000e+26,3.0616e+28,0.0000e+00,96.9,3.0,0.1
3,8.8016e+29,2.1523e+29,6.5488e+29,3.2400e+27,6.8100e+27,1.4840e+29,6.6830e+28,3.5820e+29,2.9668e+29,1.7100e+27,1.5300e+27,3.6100e+27,3.2000e+27,5.3737e+08,2.8083e+06,1.3606e+09,1.2501e-05,2.5937e+07,2.0272e+05,6.6595e+05,6.6572e+05,24.5,74.4,0.4,0.8,8.8129e+29,8.5399e+29,2.6770e+28,5.3000e+26,3.0820e+28,0.0000e+00,96.9,3.0,0.1
4,8.6897e+29,2.0951e+29,6.4954e+29,3.1400e+27,6.7800e+27,1.4405e+29,6.5460e+28,3.5490e+29,2.9464e+29,1.6200e+27,1.5200e+27,3.2200e+27,3.5600e+27,5.3308e+08,2.5767e+06,1.6099e+09,1.0803e-05,2.6983e+07,2.0754e+05,6.6572e+05,6.6543e+05,24.1,74.7,0.4,0.8,8.6857e+29,8.4049e+29,2.7480e+28,6.0000e+26,3.0566e+28,0.0000e+00,96.8,3.2,0.1
5,8.6737e+29,2.0995e+29,6.4718e+29,3.4600e+27,6.7800e+27,1.4456e+29,6.5390e+28,3.5381e+29,2.9337e+29,2.0700e+27,1.3900e+27,3.5100e+27,3.2700e+27,5.2816e+08,2.7613e+06,1.6185e+09,9.3284e-06,2.7508e+07,1.8557e+05,6.6542e+05,6.6507e+05,24.2,74.6,0.4,0.8,8.6764e+29,8.4083e+29,2.5970e+28,8.4000e+26,3.0530e+28,0.0000e+00,96.9,3.0,0.1
6,8.7331e+29,2.1101e+29,6.5220e+29,3.2900e+27,6.8100e+27,1.4480e+29,6.6210e+28,3.4842e+29,3.0378e+29,1.7200e+27,1.5700e+27,3.3800e+27,3.4300e+27,5.2345e+08,3.0036e+06,1.5617e+09,8.0451e-06,2.7496e+07,1.9357e+05,6.6506e+05,6.6464e+05,24.2,74.7,0.4,0.8,8.7305e+29,8.4621e+29,2.6200e+28,6.4000e+26,3.0712e+28,0.0000e+00,96.9,3.0,0.1
7,8.6563e+29,2.0915e+29,6.4637e+29,3.3600e+27,6.7500e+27,1.4121e+29,6.7940e+28,3.4798e+29,2.9839e+29,1.8100e+27,1.5500e+27,3.2800e+27,3.4700e+27,5.1959e+08,3.0027e+06,1.3589e+09,6.9479e-06,2.7489e+07,2.1251e+05,6.6464e+05,6.6415e+05,24.2,74.7,0.4,0.8,8.6695e+29,8.4010e+29,2.6120e+28,7.3000e+26,3.0438e+28,0.0000e+00,96.9,3.0,0.1
8,8.5780e+29,2.0925e+29,6.3810e+29,3.6400e+27,6.8100e+27,1.4243e+29,6.6820e+28,3.3969e+29,2.9841e+29,2.0700e+27,1.5700e+27,3.2400e+27,3.5700e+27,5.1581e+08,2.6816e+06,1.4757e+09,5.9995e-06,2.7258e+07,2.0735e+05,6.6415e+05,6.6359e+05,24.4,74.4,0.4,0.8,8.5975e+29,8.3368e+29,2.5270e+28,8.0000e+26,3.0604e+28,0.0000e+00,97.0,2.9,0.1
9,8.5603e+29,2.0845e+29,6.3743e+29,3.3500e+27,6.8000e+27,1.4101e+29,6.7440e+28,3.3955e+29,2.9788e+29,1.8800e+27,1.4700e+27,3.4400e+27,3.3600e+27,5.1200e+08,2.6947e+06,1.4780e+09,5.1886e-06,2.6201e+07,2.1520e+05,6.6359e+05,6.6297e+05,24.4,74.5,0.4,0.8,8.5385e+29,8.2782e+29,2.5250e+28,7.8000e+26,3.0540e+28,0.0000e+00,97.0,3.0,0.1
