Time_hours,TAA,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.00461430146060593,4.749999999999995e+27,9.400000000000009e+26,3.6399999999999936e+27,1.2e+26,5e+25,4.9500000000000497e+27,4.79000000000005e+27,1.4e+26,2e+25,1.8305626894283403e+26,0.0
29561.555555555555,1.0035974065940536,4.979999999999994e+27,1.1500000000000013e+27,3.689999999999993e+27,9e+25,5e+25,4.54000000000004e+27,4.38000000000004e+27,1.3e+26,3.0000000000000005e+25,1.8302800723334903e+26,0.0
29565.333333333332,2.002477254328369,4.8799999999999947e+27,1.0000000000000013e+27,3.7399999999999933e+27,9e+25,5e+25,4.56000000000004e+27,4.3700000000000397e+27,1.7e+26,2e+25,1.829431062375745e+26,0.0
29569.11111111111,3.001149505202193,5.089999999999995e+27,1.0900000000000016e+27,3.7899999999999934e+27,1.6e+26,5e+25,4.650000000000043e+27,4.510000000000043e+27,1.3e+26,1e+25,1.82802860699635e+26,0.0
29572.916666666668,4.006850556154859,5.109999999999993e+27,1.0100000000000012e+27,3.9399999999999926e+27,1.1e+26,5e+25,4.6700000000000436e+27,4.5200000000000433e+27,1.4e+26,1e+25,1.826024104400101e+26,0.0
29576.694444444445,5.004794303826202,5.049999999999994e+27,1.0400000000000012e+27,3.869999999999993e+27,9e+25,5e+25,5.140000000000053e+27,5.030000000000052e+27,9e+25,2e+25,1.8235023124771948e+26,0.0
29580.472222222223,6.0022217199166334,4.969999999999993e+27,8.800000000000009e+26,3.8999999999999927e+27,1.4000000000000002e+26,5e+25,4.830000000000046e+27,4.6200000000000457e+27,1.8e+26,3.0000000000000005e+25,1.8204096133086407e+26,0.0
29584.277777777777,7.006356128182233,4.6399999999999956e+27,1.0500000000000011e+27,3.4599999999999943e+27,8e+25,5e+25,4.98000000000005e+27,4.8300000000000507e+27,1.4e+26,1e+25,1.8167577181258844e+26,0.0
29588.055555555555,8.002436129660055,4.9199999999999957e+27,1.2000000000000015e+27,3.6199999999999937e+27,5e+25,5e+25,4.650000000000042e+27,4.4800000000000423e+27,1.5e+26,2e+25,1.8125565291060745e+26,0.0
29591.86111111111,9.005008575085412,4.8199999999999944e+27,9.10000000000001e+26,3.759999999999993e+27,1e+26,5e+25,5.18000000000005e+27,5.060000000000051e+27,1.2e+26,0.0,1.807787358529706e+26,0.0
