TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
0,0,0.0000,0.0500,0.0000e+00,8.0000e+25,0.0000e+00,4.0000e+25,2.6038e+32,2.3099e+32,136
0,1,0.0500,0.1000,0.0000e+00,2.8000e+26,0.0000e+00,2.9000e+26,9.9406e+31,9.0219e+31,136
0,2,0.1000,0.2000,0.0000e+00,3.9300e+27,0.0000e+00,3.0400e+27,3.0720e+32,2.6621e+32,136
0,3,0.2000,0.3500,0.0000e+00,2.2340e+28,0.0000e+00,1.6920e+28,3.5312e+32,3.0892e+32,136
0,4,0.3500,0.5500,0.0000e+00,6.9800e+28,0.0000e+00,5.7320e+28,2.4877e+32,2.2775e+32,136
0,5,0.5500,1.0100,0.0000e+00,1.9906e+29,0.0000e+00,2.0262e+29,7.7408e+31,7.6526e+31,136
1,0,0.0000,0.0500,0.0000e+00,5.0000e+25,0.0000e+00,3.0000e+25,2.6050e+32,2.3108e+32,136
1,1,0.0500,0.1000,0.0000e+00,2.6000e+26,0.0000e+00,1.6000e+26,9.9486e+31,9.0287e+31,136
1,2,0.1000,0.2000,0.0000e+00,3.8600e+27,0.0000e+00,2.6700e+27,3.0745e+32,2.6648e+32,136
1,3,0.2000,0.3500,0.0000e+00,2.1590e+28,0.0000e+00,1.7540e+28,3.5332e+32,3.0921e+32,136
1,4,0.3500,0.5500,0.0000e+00,6.7930e+28,0.0000e+00,6.0510e+28,2.4860e+32,2.2775e+32,136
1,5,0.5500,1.0100,0.0000e+00,1.9617e+29,0.0000e+00,1.9944e+29,7.7294e+31,7.6365e+31,136
2,0,0.0000,0.0500,0.0000e+00,9.0000e+25,0.0000e+00,5.0000e+25,2.6062e+32,2.3117e+32,136
2,1,0.0500,0.1000,0.0000e+00,3.2000e+26,0.0000e+00,1.3000e+26,9.9575e+31,9.0353e+31,136
2,2,0.1000,0.2000,0.0000e+00,4.0000e+27,0.0000e+00,2.3600e+27,3.0773e+32,2.6668e+32,136
2,3,0.2000,0.3500,0.0000e+00,2.2170e+28,0.0000e+00,1.7250e+28,3.5355e+32,3.0955e+32,136
2,4,0.3500,0.5500,0.0000e+00,6.5800e+28,0.0000e+00,5.4950e+28,2.4837e+32,2.2778e+32,136
2,5,0.5500,1.0100,0.0000e+00,1.9868e+29,0.0000e+00,1.9218e+29,7.7153e+31,7.6218e+31,136
3,0,0.0000,0.0500,0.0000e+00,8.0000e+25,0.0000e+00,5.0000e+25,2.6264e+32,2.3294e+32,137
3,1,0.0500,0.1000,0.0000e+00,2.3000e+26,0.0000e+00,1.3000e+26,1.0039e+32,9.1077e+31,137
3,2,0.1000,0.2000,0.0000e+00,4.1300e+27,0.0000e+00,2.7800e+27,3.1029e+32,2.6885e+32,137
3,3,0.2000,0.3500,0.0000e+00,2.0630e+28,0.0000e+00,1.7830e+28,3.5637e+32,3.1215e+32,137
3,4,0.3500,0.5500,0.0000e+00,6.3980e+28,0.0000e+00,5.7090e+28,2.4998e+32,2.2929e+32,137
3,5,0.5500,1.0100,0.0000e+00,2.0617e+29,0.0000e+00,1.9918e+29,7.7632e+31,7.6605e+31,137
