TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,5.9194e+29,0.0000e+00,5.7572e+29,9.4300e+27,6.7900e+27,0.0000e+00,0.0000e+00,2.9549e+29,2.8023e+29,5.0200e+27,4.4100e+27,3.5500e+27,3.2400e+27,0.0000e+00,2.0200e+27,0.0000e+00,0.0000e+00,1.2504e+09,2.4555e-05,4.1106e+07,8.8414e+05,6.6625e+05,6.6621e+05,0.0,97.3,1.6,1.1,5.9149e+29,5.7163e+29,1.8500e+28,1.3600e+27,2.4895e+28,0.0000e+00,96.6,3.1,0.2
1,5.8617e+29,0.0000e+00,5.7021e+29,9.1800e+27,6.7800e+27,0.0000e+00,0.0000e+00,2.8986e+29,2.8035e+29,5.0600e+27,4.1200e+27,3.2300e+27,3.5500e+27,0.0000e+00,1.9700e+27,0.0000e+00,0.0000e+00,1.4593e+09,2.4555e-05,4.0380e+07,9.2847e+05,6.6621e+05,6.6612e+05,0.0,97.3,1.6,1.2,5.8689e+29,5.6668e+29,1.8790e+28,1.4200e+27,2.4887e+28,0.0000e+00,96.6,3.2,0.2
2,5.7406e+29,0.0000e+00,5.5798e+29,9.2900e+27,6.7900e+27,0.0000e+00,0.0000e+00,2.9106e+29,2.6692e+29,4.8300e+27,4.4600e+27,3.3500e+27,3.4400e+27,0.0000e+00,2.0800e+27,0.0000e+00,0.0000e+00,1.4472e+09,2.4555e-05,3.9609e+07,9.7776e+05,6.6611e+05,6.6595e+05,0.0,97.2,1.6,1.2,5.7422e+29,5.5432e+29,1.8400e+28,1.5000e+27,2.4871e+28,0.0000e+00,96.5,3.2,0.3
3,5.8799e+29,0.0000e+00,5.7228e+29,8.9000e+27,6.8100e+27,0.0000e+00,0.0000e+00,2.9522e+29,2.7706e+29,4.7900e+27,4.1100e+27,3.6100e+27,3.2000e+27,0.0000e+00,1.9200e+27,0.0000e+00,0.0000e+00,1.4544e+09,2.4555e-05,3.9461e+07,9.6199e+05,6.6595e+05,6.6572e+05,0.0,97.3,1.5,1.2,5.8731e+29,5.6688e+29,1.8820e+28,1.6100e+27,2.5031e+28,0.0000e+00,96.5,3.2,0.3
4,5.9173e+29,0.0000e+00,5.7581e+29,9.1400e+27,6.7800e+27,0.0000e+00,0.0000e+00,2.9711e+29,2.7870e+29,5.0500e+27,4.0900e+27,3.2200e+27,3.5600e+27,0.0000e+00,1.8600e+27,0.0000e+00,0.0000e+00,1.3971e+09,2.4555e-05,3.9566e+07,9.6233e+05,6.6572e+05,6.6543e+05,0.0,97.3,1.5,1.1,5.9269e+29,5.7265e+29,1.8570e+28,1.4700e+27,2.4818e+28,0.0000e+00,96.6,3.1,0.2
5,5.8272e+29,0.0000e+00,5.6692e+29,9.0200e+27,6.7800e+27,0.0000e+00,0.0000e+00,2.8617e+29,2.8075e+29,4.9800e+27,4.0400e+27,3.5100e+27,3.2700e+27,0.0000e+00,1.6700e+27,0.0000e+00,0.0000e+00,1.3019e+09,2.4555e-05,3.9004e+07,9.0751e+05,6.6542e+05,6.6507e+05,0.0,97.3,1.5,1.2,5.8223e+29,5.6214e+29,1.8570e+28,1.5200e+27,2.4779e+28,0.0000e+00,96.5,3.2,0.3
6,5.8493e+29,0.0000e+00,5.6888e+29,9.2400e+27,6.8100e+27,0.0000e+00,0.0000e+00,2.8645e+29,2.8243e+29,4.7700e+27,4.4700e+27,3.3800e+27,3.4300e+27,0.0000e+00,1.4600e+27,0.0000e+00,0.0000e+00,1.3376e+09,2.4555e-05,3.8250e+07,9.6886e+05,6.6506e+05,6.6464e+05,0.0,97.3,1.6,1.2,5.8511e+29,5.6425e+29,1.9240e+28,1.6200e+27,2.4915e+28,0.0000e+00,96.4,3.3,0.3
7,5.7008e+29,0.0000e+00,5.5439e+29,8.9400e+27,6.7500e+27,0.0000e+00,0.0000e+00,2.7833e+29,2.7606e+29,4.6400e+27,4.3000e+27,3.2800e+27,3.4700e+27,0.0000e+00,1.7600e+27,0.0000e+00,0.0000e+00,1.4040e+09,2.4555e-05,3.7631e+07,9.1059e+05,6.6464e+05,6.6415e+05,0.0,97.2,1.6,1.2,5.7075e+29,5.5099e+29,1.8160e+28,1.6000e+27,2.4680e+28,0.0000e+00,96.5,3.2,0.3
8,5.7201e+29,0.0000e+00,5.5566e+29,9.5400e+27,6.8100e+27,0.0000e+00,0.0000e+00,2.8104e+29,2.7462e+29,5.0000e+27,4.5400e+27,3.2400e+27,3.5700e+27,0.0000e+00,1.6200e+27,0.0000e+00,0.0000e+00,1.2141e+09,2.4555e-05,3.7299e+07,9.0578e+05,6.6415e+05,6.6359e+05,0.0,97.1,1.7,1.2,5.7163e+29,5.5144e+29,1.8180e+28,2.0100e+27,2.4800e+28,0.0000e+00,96.5,3.2,0.4
9,5.5854e+29,0.0000e+00,5.4311e+29,8.6300e+27,6.8000e+27,0.0000e+00,0.0000e+00,2.7242e+29,2.7069e+29,4.5700e+27,4.0600e+27,3.4400e+27,3.3600e+27,0.0000e+00,1.6100e+27,0.0000e+00,0.0000e+00,1.4418e+09,4.9110e-05,3.6744e+07,8.5243e+05,6.6359e+05,6.6297e+05,0.0,97.2,1.5,1.2,5.5890e+29,5.3936e+29,1.7750e+28,1.7900e+27,2.4731e+28,0.0000e+00,96.5,3.2,0.3
