Time_hours,TAA,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward
29557.777777777777,0.004613984076968336,8.100000000000003e+26,7.100000000000004e+26,0.0,5e+25,5e+25,2.429999999999995e+27,2.3699999999999949e+27,6e+25,0.0,1.8305626894283293e+26,0.0
29561.555555555555,1.0035978740661449,1.0100000000000011e+27,9.600000000000011e+26,0.0,0.0,5e+25,8.300000000000003e+26,8.100000000000003e+26,2e+25,0.0,1.830291579197056e+26,0.0
29565.333333333332,2.0024777896696833,7.900000000000003e+26,7.000000000000004e+26,0.0,4e+25,5e+25,8.300000000000003e+26,8.000000000000003e+26,3.0000000000000005e+25,0.0,1.829430619736946e+26,0.0
29569.11111111111,3.001149752583842,9.500000000000009e+26,9.000000000000009e+26,0.0,0.0,5e+25,1.1099999999999993e+27,1.0699999999999994e+27,3.0000000000000005e+25,1e+25,1.8280162283760666e+26,0.0
29572.916666666668,4.006850565499008,1.020000000000001e+27,9.300000000000011e+26,0.0,4e+25,5e+25,1.189999999999999e+27,1.149999999999999e+27,3.0000000000000005e+25,1e+25,1.826035121480144e+26,0.0
29576.694444444445,5.004794939285603,1.0000000000000008e+27,9.000000000000009e+26,0.0,5e+25,5e+25,9.5e+26,9e+26,3.0000000000000005e+25,2e+25,1.8234895009491743e+26,0.0
29580.472222222223,6.002221622954494,1.0900000000000012e+27,1.0000000000000013e+27,0.0,4e+25,5e+25,9.699999999999998e+26,9.199999999999999e+26,4e+25,1e+25,1.8204110172050494e+26,0.0
29584.277777777777,7.006355805322528,9.800000000000009e+26,9.100000000000009e+26,0.0,2e+25,5e+25,1.209999999999999e+27,1.169999999999999e+27,4e+25,0.0,1.8167444759663054e+26,0.0
29588.055555555555,8.002435972621242,1.0600000000000012e+27,9.800000000000012e+26,0.0,3.0000000000000005e+25,5e+25,9.499999999999998e+26,9.499999999999998e+26,0.0,0.0,1.812566494960215e+26,0.0
29591.86111111111,9.005008106069909,1.0300000000000009e+27,9.100000000000009e+26,0.0,7.000000000000001e+25,5e+25,1.0599999999999997e+27,1.0099999999999996e+27,2e+25,3.0000000000000005e+25,1.807808604304898e+26,0.0
29595.666666666668,10.006642251123594,1.0700000000000006e+27,1.0100000000000007e+27,0.0,1e+25,5e+25,1.0399999999999999e+27,9.599999999999997e+26,6e+25,2e+25,1.8025075300796053e+26,0.0
29599.472222222223,11.007237818787871,1.1200000000000012e+27,1.0200000000000013e+27,0.0,5.000000000000001e+25,5e+25,9.799999999999997e+26,9.699999999999997e+26,1e+25,0.0,1.7966718717502913e+26,0.0
29603.277777777777,12.006691724029224,1.2100000000000016e+27,1.1200000000000016e+27,0.0,4e+25,5e+25,1.1499999999999992e+27,1.0999999999999992e+27,4e+25,1e+25,1.790298571707451e+26,0.0
29607.083333333332,13.004907008396003,1.020000000000001e+27,9.40000000000001e+26,0.0,3.0000000000000005e+25,5e+25,1.0799999999999996e+27,1.0199999999999995e+27,4e+25,2e+25,1.783440159068964e+26,0.0
29610.88888888889,14.001781400720574,9.300000000000007e+26,8.700000000000008e+26,0.0,1e+25,5e+25,1.1099999999999995e+27,1.0699999999999994e+27,2e+25,2e+25,1.7760345682703752e+26,0.0
