Year,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV,Total,Active,Inert
0.0000,1.485015e+26,3.204587e+26,7.164859e+26,7.730909e+26,1.010105e+27,5.407598e+29,5.866779e+29,5.937782e+29,5.943725e+29,5.943959e+29,2.912953e+30,2.968642e+27,2.909984e+30
0.0412,6.340135e+27,1.808619e+28,4.395181e+28,8.925799e+28,1.662003e+29,6.288854e+29,6.512181e+29,5.776004e+29,4.990551e+29,4.648949e+29,3.145490e+30,3.238364e+29,2.821654e+30
0.0853,1.503715e+28,4.281247e+28,1.028553e+29,2.021198e+29,3.245522e+29,7.541815e+29,6.984836e+29,5.542892e+29,4.449436e+29,4.052873e+29,3.544562e+30,6.873769e+29,2.857185e+30
0.1340,2.382428e+28,7.144032e+28,1.674068e+29,3.168072e+29,4.681717e+29,8.548975e+29,7.211176e+29,5.320781e+29,4.119380e+29,3.748679e+29,3.942549e+30,1.047650e+30,2.894899e+30
0.1899,3.120553e+28,9.300590e+28,2.223645e+29,4.177183e+29,5.894428e+29,9.277190e+29,7.378184e+29,5.107543e+29,3.907182e+29,3.565245e+29,4.277271e+30,1.353737e+30,2.923534e+30
0.2562,3.663330e+28,1.074764e+29,2.597565e+29,4.903637e+29,6.917317e+29,1.005214e+30,7.502118e+29,4.922353e+29,3.728664e+29,3.413302e+29,4.547820e+30,1.585962e+30,2.961858e+30
0.3339,3.927776e+28,1.155274e+29,2.823739e+29,5.365704e+29,7.860970e+29,1.090954e+30,7.737407e+29,4.770640e+29,3.545698e+29,3.230345e+29,4.779210e+30,1.759846e+30,3.019363e+30
0.4220,4.100952e+28,1.207619e+29,2.952293e+29,5.628198e+29,8.569475e+29,1.186272e+30,8.107854e+29,4.681041e+29,3.312183e+29,2.959866e+29,4.969134e+30,1.876768e+30,3.092366e+30
0.5163,4.233421e+28,1.250305e+29,3.082841e+29,5.941276e+29,9.213123e+29,1.266008e+30,8.497498e+29,4.561104e+29,2.992431e+29,2.598524e+29,5.122053e+30,1.991089e+30,3.130964e+30
0.6091,4.317711e+28,1.305381e+29,3.281384e+29,6.452834e+29,1.003744e+30,1.320786e+30,8.839576e+29,4.408716e+29,2.638245e+29,2.191287e+29,5.279449e+30,2.150881e+30,3.128568e+30
0.6939,4.562903e+28,1.410208e+29,3.604814e+29,7.168244e+29,1.101300e+30,1.344430e+30,9.118299e+29,4.263872e+29,2.294215e+29,1.790229e+29,5.456348e+30,2.365256e+30,3.091092e+30
0.7678,4.964844e+28,1.565968e+29,4.039052e+29,7.985691e+29,1.194027e+30,1.352265e+30,9.226669e+29,4.172805e+29,2.003061e+29,1.440009e+29,5.639266e+30,2.602746e+30,3.036520e+30
0.8303,5.611611e+28,1.755219e+29,4.528938e+29,8.887558e+29,1.292915e+30,1.378331e+30,9.119517e+29,4.138384e+29,1.783192e+29,1.170928e+29,5.865736e+30,2.866202e+30,2.999533e+30
0.8834,6.445971e+28,2.038166e+29,5.162867e+29,9.884796e+29,1.405848e+30,1.419597e+30,9.043106e+29,4.063836e+29,1.634142e+29,9.710303e+28,6.169699e+30,3.178890e+30,2.990809e+30
0.9303,7.785051e+28,2.327682e+29,5.887506e+29,1.103745e+30,1.525887e+30,1.475811e+30,9.137082e+29,4.020640e+29,1.537365e+29,8.391528e+28,6.558236e+30,3.529002e+30,3.029235e+30
0.9729,8.808709e+28,2.625126e+29,6.460374e+29,1.189185e+30,1.623577e+30,1.553706e+30,9.596037e+29,4.172364e+29,1.535528e+29,7.600654e+28,6.969505e+30,3.809399e+30,3.160106e+30
1.0141,9.630746e+28,2.868016e+29,6.869166e+29,1.248248e+30,1.687449e+30,1.614120e+30,1.009083e+30,4.501561e+29,1.611800e+29,7.284896e+28,7.313110e+30,4.005723e+30,3.307388e+30
1.0562,1.057059e+29,3.165869e+29,7.438832e+29,1.333864e+30,1.772991e+30,1.667953e+30,1.036421e+30,4.551836e+29,1.591688e+29,6.916928e+28,7.660927e+30,4.273030e+30,3.387896e+30
1.1017,1.200868e+29,3.556704e+29,8.284886e+29,1.460157e+30,1.891540e+30,1.725543e+30,1.034134e+30,4.352402e+29,1.471723e+29,6.453851e+28,8.062572e+30,4.655943e+30,3.406629e+30
1.1524,1.273618e+29,3.853175e+29,9.039649e+29,1.582532e+30,2.008397e+30,1.777577e+30,1.035858e+30,4.165992e+29,1.363529e+29,5.962729e+28,8.433587e+30,5.007574e+30,3.426014e+30
1.2116,1.242500e+29,3.827300e+29,9.392301e+29,1.679147e+30,2.131130e+30,1.846741e+30,1.047808e+30,4.029553e+29,1.256958e+29,5.408191e+28,8.733769e+30,5.256487e+30,3.477282e+30
1.2817,1.183799e+29,3.625365e+29,9.073604e+29,1.705124e+30,2.263053e+30,1.973665e+30,1.087103e+30,3.988474e+29,1.170369e+29,4.619971e+28,8.979306e+30,5.356454e+30,3.622852e+30
1.3636,1.099188e+29,3.401400e+29,8.491407e+29,1.642396e+30,2.330070e+30,2.147395e+30,1.170243e+30,4.111602e+29,1.128553e+29,3.730207e+28,9.150621e+30,5.271665e+30,3.878955e+30
1.4546,1.008361e+29,3.173417e+29,7.955670e+29,1.538003e+30,2.281359e+30,2.310043e+30,1.293523e+30,4.428961e+29,1.139326e+29,3.081274e+28,9.224314e+30,5.033107e+30,4.191207e+30
1.5493,9.377684e+28,2.999259e+29,7.660699e+29,1.489056e+30,2.232784e+30,2.385465e+30,1.391711e+30,4.710350e+29,1.178154e+29,2.694760e+28,9.274586e+30,4.881612e+30,4.392974e+30
1.6398,8.900666e+28,2.947234e+29,7.652359e+29,1.514858e+30,2.252670e+30,2.366987e+30,1.427834e+30,4.845051e+29,1.194679e+29,2.520518e+28,9.340494e+30,4.916495e+30,4.424000e+30
1.7208,8.894533e+28,3.011421e+29,7.950404e+29,1.583457e+30,2.313232e+30,2.309355e+30,1.414412e+30,4.882549e+29,1.187500e+29,2.450460e+28,9.437094e+30,5.081817e+30,4.355277e+30
1.7904,9.194552e+28,3.158266e+29,8.391686e+29,1.663403e+30,2.370187e+30,2.276252e+30,1.374890e+30,4.947374e+29,1.202362e+29,2.428547e+28,9.570932e+30,5.280530e+30,4.290402e+30
1.8496,9.764878e+28,3.390678e+29,8.992361e+29,1.756837e+30,2.446789e+30,2.266400e+30,1.337187e+30,4.939742e+29,1.215810e+29,2.430645e+28,9.783027e+30,5.539578e+30,4.243449e+30
