水星年 [年目],日付,,TAA[°],"Na原子柱密度
[atm s/cm^2]",,"誤差
[1010atm s/cm^2]
"
1,2013/2/9,,312,61000000000 ,,0.42
1,2013/2/10,,318,66000000000 ,,0.44
1,2013/2/12,,329,55000000000 ,,0.66
1,2013/2/15,,348,49000000000 ,,0.86
3,2013/5/31,,85,85000000000 ,,0.31
3,2013/6/1,,90,93000000000 ,,0.26
3,2013/6/2,,94,91000000000 ,,0.22
3,2013/6/7,,114,117000000000 ,,0.32
3,2013/6/9,,121,128000000000 ,,0.74
3,2013/6/10,,124,122000000000 ,,0.3
3,2013/6/12,,131,142000000000 ,,0.12
3,2013/6/13,,134,144000000000 ,,0.19
3,2013/6/14,,137,145000000000 ,,0.15
3,2013/6/17,,147,157000000000 ,,0.16
3,2013/6/18,,150,159000000000 ,,0.14
3,2013/6/20,,155,149000000000 ,,0.45
3,2013/6/22,,161,130000000000 ,,0.2
3,2013/6/27,,175,80000000000 ,,0.28
3,2013/6/28,,178,76000000000 ,,0.8
4,2013/9/14,,149,132000000000 ,,1.71
4,2013/9/16,,155,137000000000 ,,2.9
4,2013/9/19,,164,149000000000 ,,1.48
4,2013/9/22,,172,126000000000 ,,0.99
4,2013/9/23,,175,119000000000 ,,1.15
4,2013/9/30,,194,67000000000 ,,0.49
4,2013/10/8,,218,65000000000 ,,0.33
4,2013/10/9,,221,60000000000 ,,0.88
4,2013/10/10,,224,74000000000 ,,0.31
4,2013/10/17,,248,62000000000 ,,0.12
4,2013/10/19,,255,74000000000 ,,0.15
4,2013/10/21,,263,74000000000 ,,0.09
4,2013/10/23,,272,65000000000 ,,0.1
4,2013/10/24,,276,55000000000 ,,0.23
4,2013/10/25,,281,62000000000 ,,0.15
5,2014/1/24,,296,77000000000 ,,0.6
5,2014/1/26,,307,82000000000 ,,0.33
7,2014/5/11,,50,86000000000 ,,0.38
7,2014/5/13,,61,85000000000 ,,0.47
7,2014/5/16,,76,87000000000 ,,0.34
7,2014/5/17,,81,95000000000 ,,0.2
7,2014/5/18,,86,106000000000 ,,0.15
7,2014/5/19,,90,105000000000 ,,0.33
7,2014/5/20,,94,114000000000 ,,0.16
7,2014/5/21,,98,118000000000 ,,0.16
7,2014/5/22,,103,113000000000 ,,0.2
7,2014/5/24,,110,128000000000 ,,0.18
7,2014/5/25,,114,130000000000 ,,0.2
7,2014/5/26,,118,129000000000 ,,0.4
7,2014/5/27,,121,128000000000 ,,0.21
7,2014/5/28,,125,132000000000 ,,0.2
7,2014/5/29,,128,133000000000 ,,0.14
8,2014/9/12,,181,143000000000 ,,1.2
8,2014/9/13,,184,141000000000 ,,1.4
8,2014/9/15,,189,108000000000 ,,0.72
