êÖêØîN [îNñ⁄],"UT
data
",Tem inator,TAA,"Column density
[atm s/cm^2]","åÎç∑
[atm s/cm^2]"
2,20130411,Dsuk,207,85000000000,3700000000
2,20130412,Dsuk,210,69000000000,3100000000
2,20130417,Dsuk,225,82000000000,3200000000
2,20130418,Dsuk,228,78000000000,1800000000
2,20130419,Dsuk,232,73000000000,2000000000
2,20130425,Dsuk,253,75000000000,5000000000
3,20130720,Dusk,246,66000000000,1100000000
3,20130801,Dusk,298,70000000000,2200000000
3,20130803,Dusk,309,70000000000,2100000000
3,20130804,Dusk,315,72000000000,2500000000
5,20131118,Dusk,63,60000000000,2100000000
5,20131119,Dusk,68,59000000000,2300000000
5,20131120,Dusk,73,64000000000,9300000000
5,20131121,Dusk,78,54000000000,4800000000
5,20131122,Dusk,83,54000000000,3800000000
5,20131125,Dusk,96,53000000000,4200000000
5,20131128,Dusk,108,55000000000,6500000000
7,20140505,Dusk,139,69000000000,2100000000
7,20140506,Dusk,142,66000000000,2300000000
7,20140509,Dusk,151,76000000000,3300000000
8,20141025,Dusk,359,95000000000,7600000000
9,20141026,Dusk,5,92000000000,5100000000
9,20141030,Dusk,30,1.23E+11,1800000000
9,20141031,Dusk,36,90000000000,2400000000
9,20141104,Dusk,58,66000000000,3200000000
9,20141105,Dusk,64,67000000000,3800000000
9,20141106,Dusk,69,68000000000,5000000000
9,20141110,Dusk,88,66000000000,7100000000
10,20150211,Dusk,108,55000000000,1600000000
10,20150212,Dusk,112,52000000000,1600000000
10,20150215,Dusk,123,49000000000,1800000000
10,20150216,Dusk,126,48000000000,2100000000
10,20150217,Dusk,130,46000000000,1800000000
10,20150218,Dusk,133,54000000000,2500000000
10,20150220,Dusk,139,63000000000,2800000000
10,20150223,Dusk,148,77000000000,3800000000
10,20150225,Dusk,154,86000000000,4900000000
10,20150227,Dusk,160,80000000000,5900000000
11,20150501,Dusk,166,96000000000,9800000000
11,20150502,Dusk,168,1.08E+11,8400000000
11,20150503,Dusk,171,1.22E+11,14800000000
11,20150510,Dusk,191,90000000000,10500000000
11,20150513,Dusk,199,69000000000,10600000000
11,20150514,Dusk,202,83000000000,9700000000
