TAA,Side,Band_Index,EffCos_Lo,EffCos_Hi,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV
1,Dawn,0,0.0000,0.0500,9.551150e+28,3.325975e+29,6.370335e+29,8.550117e+29,8.093803e+29,5.422550e+29,2.515032e+29,8.215150e+28,1.932154e+28,3.321642e+27
1,Dawn,1,0.0500,0.1000,3.454729e+26,4.952970e+28,2.577501e+29,3.712190e+29,3.566841e+29,2.336571e+29,1.053440e+29,3.484538e+28,7.866030e+27,1.315811e+27
1,Dawn,2,0.1000,0.2000,4.893132e+25,2.202749e+27,1.592060e+29,6.794880e+29,7.761582e+29,5.209964e+29,2.387975e+29,7.866830e+28,1.787154e+28,2.925812e+27
1,Dawn,3,0.2000,0.3500,3.004150e+25,1.100088e+26,2.256303e+27,7.326343e+28,5.266431e+29,5.940044e+29,2.838433e+29,9.145858e+28,2.131593e+28,3.363647e+27
1,Dawn,4,0.3500,0.5500,7.033061e+25,1.207916e+26,1.447113e+26,1.683814e+27,2.393643e+28,1.774925e+29,2.076392e+29,7.904803e+28,1.833489e+28,3.099608e+27
1,Dawn,5,0.5500,1.0100,1.038579e+26,1.992370e+26,4.458391e+26,5.700356e+26,1.218060e+27,8.886647e+27,4.103646e+28,5.193633e+28,1.955736e+28,3.722915e+27
1,Dusk,0,0.0000,0.0500,5.316689e+28,1.891118e+29,3.858141e+29,5.428849e+29,5.315894e+29,3.699017e+29,1.710569e+29,5.566474e+28,1.271257e+28,2.226770e+27
1,Dusk,1,0.0500,0.1000,6.824017e+26,3.201080e+28,1.502947e+29,2.403688e+29,2.416962e+29,1.615987e+29,7.380780e+28,2.335480e+28,5.570143e+27,9.386540e+26
1,Dusk,2,0.1000,0.2000,7.759707e+24,1.518825e+27,9.616610e+28,3.866635e+29,4.604614e+29,3.203914e+29,1.511945e+29,4.994352e+28,1.107568e+28,1.864131e+27
1,Dusk,3,0.2000,0.3500,7.004339e+25,6.420479e+25,1.439663e+27,4.814852e+28,2.975654e+29,3.362693e+29,1.651704e+29,5.437204e+28,1.251544e+28,2.071945e+27
1,Dusk,4,0.3500,0.5500,1.033639e+25,5.080542e+25,1.284800e+26,1.062886e+27,1.597962e+28,1.132288e+29,1.288179e+29,5.013374e+28,1.171014e+28,1.786523e+27
1,Dusk,5,0.5500,1.0100,1.038789e+26,2.092872e+26,4.559251e+26,5.100206e+26,1.061996e+27,7.347727e+27,3.574804e+28,4.492731e+28,1.779372e+28,3.099080e+27
