# Wavelength Flux(MR)
5.89097364e+02 -1.03021511e+29
5.89100659e+02 -9.17983574e+28
5.89103954e+02 -1.31593869e+27
5.89107249e+02 1.42088493e+28
5.89110544e+02 -4.92798555e+27
5.89113839e+02 5.40616778e+28
5.89117135e+02 -6.77686933e+28
5.89120430e+02 -2.26512362e+28
5.89123725e+02 8.97685785e+28
5.89127020e+02 1.39872332e+29
5.89130315e+02 -6.42339559e+27
5.89133610e+02 -6.27972886e+28
5.89136905e+02 -2.32000506e+28
5.89140200e+02 -5.65388223e+28
5.89143496e+02 -1.04353078e+28
5.89146791e+02 6.54444950e+28
5.89150086e+02 5.47649277e+28
5.89153381e+02 1.48209011e+28
5.89156676e+02 -6.38303103e+28
5.89159971e+02 -3.30273525e+28
5.89163266e+02 -6.77631348e+28
5.89166561e+02 -4.12069786e+28
5.89169856e+02 -1.09702369e+29
5.89173152e+02 -1.76207549e+28
5.89176447e+02 -8.86384078e+28
5.89179742e+02 -1.56452443e+29
5.89183037e+02 2.64706858e+28
5.89186332e+02 3.63043263e+28
5.89189627e+02 2.02411767e+28
5.89192922e+02 -1.49649167e+28
5.89196217e+02 3.97252841e+28
5.89199513e+02 -5.74684253e+28
5.89202808e+02 -3.02110370e+27
5.89206103e+02 -9.64009233e+28
5.89209398e+02 -8.81756803e+27
5.89212693e+02 5.87318029e+28
5.89215988e+02 6.37759486e+27
5.89219283e+02 -9.74621616e+28
5.89222578e+02 -5.03213528e+29
5.89225873e+02 -9.43325775e+29
5.89229169e+02 -7.85365272e+29
5.89232464e+02 -4.43872712e+29
5.89235759e+02 -4.85873139e+27
5.89239054e+02 1.29336865e+29
5.89242349e+02 5.49963349e+28
5.89245644e+02 8.35774259e+28
5.89248939e+02 -6.85068645e+27
5.89252234e+02 -8.76312449e+28
5.89255530e+02 6.59821880e+28
5.89258825e+02 1.20063707e+28
5.89262120e+02 -4.81470889e+28
5.89265415e+02 -7.91411975e+28
5.89268710e+02 5.15584650e+28
5.89272005e+02 6.43924588e+28
5.89275300e+02 6.94645838e+28
5.89278595e+02 3.96067731e+28
5.89281890e+02 -1.43307954e+28
5.89285186e+02 4.75112896e+28
5.89288481e+02 -7.16923324e+28
5.89291776e+02 -4.31337035e+28
5.89295071e+02 -1.16800776e+28
5.89298366e+02 -2.20357583e+28
5.89301661e+02 2.80365658e+28
5.89304956e+02 -1.73495947e+28
5.89308251e+02 -4.49895003e+28
5.89311547e+02 5.58754555e+28
5.89314842e+02 -1.91680784e+28
5.89318137e+02 1.75045008e+28
5.89321432e+02 1.09344466e+29
5.89324727e+02 1.00551771e+29
5.89328022e+02 -1.17663665e+28
5.89331317e+02 -2.48366839e+28
5.89334612e+02 -2.26946377e+29
5.89337907e+02 -2.33952881e+29
5.89341203e+02 -3.12754333e+28
5.89344498e+02 -3.58435184e+28
5.89347793e+02 1.12156658e+28
5.89351088e+02 9.02954642e+28
5.89354383e+02 4.88030579e+28
5.89357678e+02 -7.41736357e+28
5.89360973e+02 2.57102375e+28
5.89364268e+02 -3.06806297e+27
5.89367564e+02 2.58968961e+28
5.89370859e+02 9.39767345e+28
5.89374154e+02 7.10596093e+28
5.89377449e+02 4.52964163e+28
5.89380744e+02 1.00422237e+29
5.89384039e+02 -5.69839656e+26
5.89387334e+02 -3.76347422e+27
5.89390629e+02 5.34067476e+28
5.89393924e+02 -1.42494158e+28
5.89397220e+02 1.21574345e+29
5.89400515e+02 1.34414054e+29
5.89403810e+02 2.24612020e+28
5.89407105e+02 -1.06628950e+29
5.89410400e+02 1.96140690e+28
5.89413695e+02 -8.34687961e+28
5.89416990e+02 -1.17898046e+29
5.89420285e+02 -8.95164258e+28
5.89423581e+02 -4.80583059e+28
5.89426876e+02 -3.23603301e+28
5.89430171e+02 -6.56190926e+28
5.89433466e+02 5.67890236e+28
5.89436761e+02 3.52725042e+27
5.89440056e+02 -7.25794393e+28
5.89443351e+02 2.75052863e+28
5.89446646e+02 1.18009413e+29
5.89449941e+02 -8.48817705e+28
5.89453237e+02 -9.53394340e+27
5.89456532e+02 -1.13898268e+29
5.89459827e+02 -1.68716990e+27
5.89463122e+02 3.83555276e+28
5.89466417e+02 3.01415605e+28
5.89469712e+02 -9.59785844e+28
5.89473007e+02 -1.60785300e+29
5.89476302e+02 -4.69154677e+28
5.89479598e+02 6.44184139e+28
5.89482893e+02 4.74265083e+28
5.89486188e+02 -9.77964343e+27
5.89489483e+02 -1.47922790e+29
5.89492778e+02 6.05341465e+28
5.89496073e+02 2.11913476e+29
5.89499368e+02 6.83701103e+28
5.89502663e+02 5.68677765e+28
5.89505959e+02 -3.90800850e+28
5.89509254e+02 -1.62175589e+28
5.89512549e+02 3.36627640e+28
5.89515844e+02 -5.73297141e+28
5.89519139e+02 -4.69486678e+28
5.89522434e+02 -6.73186283e+28
5.89525729e+02 -1.70844773e+29
5.89529024e+02 -1.91668304e+28
5.89532319e+02 1.02074337e+29
5.89535615e+02 2.14550772e+28
5.89538910e+02 9.13603747e+28
5.89542205e+02 5.95650636e+28
5.89545500e+02 4.68912966e+28
5.89548795e+02 -1.11190320e+29
5.89552090e+02 -2.00364457e+28
5.89555385e+02 5.26107857e+28
5.89558680e+02 1.06996224e+29
5.89561976e+02 2.72108055e+28
5.89565271e+02 4.49991807e+28
5.89568566e+02 -3.72436704e+28
5.89571861e+02 -6.69630757e+28
5.89575156e+02 -2.20463145e+28
5.89578451e+02 1.31688853e+29
5.89581746e+02 -1.05187918e+29
5.89585041e+02 -6.70864288e+28
5.89588336e+02 1.56555466e+28
5.89591632e+02 -1.02361709e+28
5.89594927e+02 -2.19463432e+28
5.89598222e+02 1.00448558e+29
5.89601517e+02 2.02081034e+28
5.89604812e+02 9.07741448e+28
5.89608107e+02 7.28478477e+27
5.89611402e+02 -4.92863755e+28
5.89614697e+02 -4.86330351e+28
5.89617993e+02 -1.57993468e+29
5.89621288e+02 -1.25605463e+29
5.89624583e+02 -7.43393813e+28
5.89627878e+02 -6.79295969e+28
5.89631173e+02 5.15931384e+28
5.89634468e+02 -7.19150360e+28
5.89637763e+02 -6.24680145e+28
5.89641058e+02 -2.64164912e+28
5.89644353e+02 7.95219817e+28
5.89647649e+02 5.72017071e+28
5.89650944e+02 7.42392772e+28
5.89654239e+02 2.04043113e+28
5.89657534e+02 -1.24834608e+29
5.89660829e+02 -1.21474587e+29
5.89664124e+02 -9.33600474e+28
5.89667419e+02 -1.52092184e+28
5.89670714e+02 1.35516755e+29
5.89674010e+02 2.85599431e+28
5.89677305e+02 3.97066018e+28
5.89680600e+02 6.00851099e+27
5.89683895e+02 6.96498386e+28
5.89687190e+02 -1.01806901e+29
5.89690485e+02 3.85820010e+28
5.89693780e+02 3.53690259e+28
5.89697075e+02 -1.26691334e+29
5.89700370e+02 -3.77637539e+28
5.89703666e+02 7.26730682e+28
5.89706961e+02 1.99731897e+28
5.89710256e+02 2.62517049e+28
5.89713551e+02 3.88754704e+28
5.89716846e+02 2.81133227e+28
