# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 8.8056e+28 6.1581e+28 0.000003 589.849135
2 1.6621e+29 3.9462e+28 0.000001 589.759498
3 1.1987e+29 5.7874e+28 0.000000 589.777398
4 1.2265e+30 1.0130e+29 0.000000 589.705422
5 1.4449e+31 7.6726e+30 0.000000 589.769544
6 3.9927e+28 2.0866e+28 0.000009 589.856290
7 9.1992e+28 5.6726e+28 0.000002 589.669634
8 -1.0411e+29 2.0809e+29 0.000330 589.845600
9 4.2993e+28 2.4812e+28 0.000004 589.728102
10 3.5570e+28 3.2688e+28 0.001258 589.815928
11 2.8981e+28 2.3360e+28 0.000013 589.764321
12 1.8851e+29 9.6766e+28 0.000001 589.780073
13 5.1249e+28 2.8764e+28 0.000000 589.725263
