# Wavelength Flux(MR)
5.89098004e+02 1.25395924e+27
5.89101293e+02 -2.41527230e+27
5.89104583e+02 -1.08678782e+27
5.89107872e+02 4.06540526e+27
5.89111162e+02 4.20009401e+27
5.89114451e+02 1.43889025e+27
5.89117741e+02 2.05175155e+27
5.89121031e+02 -3.73835729e+27
5.89124320e+02 2.18655724e+27
5.89127610e+02 -1.02150521e+27
5.89130899e+02 -2.07240398e+27
5.89134189e+02 4.60816179e+27
5.89137478e+02 6.68039154e+27
5.89140768e+02 8.06019166e+27
5.89144058e+02 3.81415675e+27
5.89147347e+02 1.80845063e+27
5.89150637e+02 3.95407485e+27
5.89153926e+02 2.88805966e+27
5.89157216e+02 1.70905438e+27
5.89160506e+02 3.69902175e+27
5.89163795e+02 3.85732331e+27
5.89167085e+02 3.45685339e+27
5.89170374e+02 7.19762498e+26
5.89173664e+02 2.72574281e+26
5.89176953e+02 -1.60007055e+27
5.89180243e+02 1.44324168e+27
5.89183533e+02 4.59520141e+27
5.89186822e+02 1.87254979e+27
5.89190112e+02 5.12708610e+27
5.89193401e+02 2.74310634e+27
5.89196691e+02 2.75942649e+27
5.89199981e+02 2.69176459e+26
5.89203270e+02 1.63707852e+27
5.89206560e+02 5.51961859e+27
5.89209849e+02 3.80356496e+27
5.89213139e+02 2.02186125e+27
5.89216428e+02 3.86658034e+27
5.89219718e+02 6.38568681e+27
5.89223008e+02 3.62562548e+27
5.89226297e+02 6.36410149e+27
5.89229587e+02 -1.27521694e+27
5.89232876e+02 -5.76636160e+27
5.89236166e+02 -1.12614143e+28
5.89239455e+02 -1.07523171e+28
5.89242745e+02 -8.01800890e+26
5.89246035e+02 2.09375163e+28
5.89249324e+02 4.25677230e+28
5.89252614e+02 5.20496590e+28
5.89255903e+02 3.66637293e+28
5.89259193e+02 1.70707475e+28
5.89262483e+02 9.58120015e+27
5.89265772e+02 5.29472498e+27
5.89269062e+02 -1.42930608e+27
5.89272351e+02 -1.51372651e+27
5.89275641e+02 -9.56450175e+26
5.89278930e+02 -2.19558768e+27
5.89282220e+02 1.37782487e+27
5.89285510e+02 1.96961954e+27
5.89288799e+02 3.34980435e+27
5.89292089e+02 1.65089473e+27
5.89295378e+02 -1.17594438e+27
5.89298668e+02 6.89137205e+25
5.89301957e+02 3.90329088e+27
5.89305247e+02 4.21724707e+26
5.89308537e+02 3.55958827e+27
5.89311826e+02 3.73399602e+27
5.89315116e+02 1.58973467e+27
5.89318405e+02 3.65719369e+27
5.89321695e+02 2.33400600e+27
5.89324985e+02 6.78955654e+26
5.89328274e+02 -1.99122235e+27
5.89331564e+02 -3.36420358e+27
5.89334853e+02 -5.54612722e+27
5.89338143e+02 9.45379575e+26
5.89341432e+02 5.77850121e+27
5.89344722e+02 4.12882680e+27
5.89348012e+02 6.25175092e+27
5.89351301e+02 1.66589431e+27
5.89354591e+02 1.44218087e+27
5.89357880e+02 -2.28515873e+27
5.89361170e+02 -5.48177839e+27
5.89364459e+02 -5.25711285e+27
5.89367749e+02 -5.60081621e+27
5.89371039e+02 4.87722660e+26
5.89374328e+02 -3.57472461e+27
5.89377618e+02 -2.46021184e+27
5.89380907e+02 3.10410504e+27
5.89384197e+02 1.55145085e+27
5.89387487e+02 4.72497989e+26
5.89390776e+02 -6.36569664e+26
5.89394066e+02 3.28929373e+27
5.89397355e+02 1.55979828e+27
5.89400645e+02 -1.46461964e+27
5.89403934e+02 -2.85250119e+27
5.89407224e+02 -6.36773658e+27
5.89410514e+02 -3.04697537e+26
5.89413803e+02 2.96676595e+27
5.89417093e+02 2.05237168e+27
5.89420382e+02 4.58006715e+27
5.89423672e+02 -1.46156408e+27
5.89426962e+02 -1.16600579e+27
5.89430251e+02 -1.87167221e+27
5.89433541e+02 1.71963673e+27
5.89436830e+02 -4.33968560e+27
5.89440120e+02 -3.15962824e+27
5.89443409e+02 -3.66204050e+26
5.89446699e+02 1.75754705e+27
5.89449989e+02 2.51945915e+27
5.89453278e+02 3.22175647e+27
5.89456568e+02 2.61810131e+26
5.89459857e+02 1.03096201e+27
5.89463147e+02 1.80831269e+26
5.89466436e+02 -6.94664013e+26
5.89469726e+02 -3.74185390e+27
5.89473016e+02 -4.68633717e+27
5.89476305e+02 1.32241305e+27
5.89479595e+02 1.54348094e+27
5.89482884e+02 -8.40649054e+26
5.89486174e+02 8.08591770e+26
5.89489464e+02 1.41882085e+27
5.89492753e+02 -3.29523198e+27
5.89496043e+02 2.82097861e+27
5.89499332e+02 6.09138084e+27
5.89502622e+02 9.18330897e+27
5.89505911e+02 6.12467506e+27
5.89509201e+02 3.86780350e+27
5.89512491e+02 -1.67061063e+26
5.89515780e+02 -1.66856883e+27
5.89519070e+02 -5.01528929e+26
