filename,cts2MR
MERCURY1_tr.totfib_sft-05,1.84842637e+25
MERCURY1_tr.totfib_sft005,1.85427405e+25
MERCURY1_tr.totfib_sft015,1.86018508e+25
MERCURY2_tr.totfib_sft-05,1.09458721e+25
MERCURY2_tr.totfib_sft005,1.09516881e+25
MERCURY2_tr.totfib_sft015,1.09862529e+25
MERCURY3_tr.totfib_sft-05,9.02422148e+24
MERCURY3_tr.totfib_sft005,9.05238134e+24
MERCURY3_tr.totfib_sft015,9.08085273e+24
MERCURY4_tr.totfib_sft-05,1.67240718e+25
MERCURY4_tr.totfib_sft005,1.67763705e+25
MERCURY4_tr.totfib_sft015,1.68287213e+25
MERCURY5_tr.totfib_sft-05,1.98312282e+25
MERCURY5_tr.totfib_sft005,1.98923917e+25
MERCURY5_tr.totfib_sft015,1.99550154e+25
MERCURY6_tr.totfib_sft-05,1.50223679e+25
MERCURY6_tr.totfib_sft005,1.50691069e+25
MERCURY6_tr.totfib_sft015,1.50772353e+25
MERCURY7_tr.totfib_sft-05,5.04983124e+25
MERCURY7_tr.totfib_sft005,5.06566916e+25
MERCURY7_tr.totfib_sft015,5.08148916e+25
MERCURY8_tr.totfib_sft-05,-5.55182512e+26
MERCURY8_tr.totfib_sft005,-5.55493507e+26
MERCURY8_tr.totfib_sft015,-5.55721970e+26
MERCURY9_tr.totfib_sft-05,1.28873879e+25
MERCURY9_tr.totfib_sft005,1.29277845e+25
MERCURY9_tr.totfib_sft015,1.29687157e+25
MERCURY10_tr.totfib_sft-05,1.22613067e+25
MERCURY10_tr.totfib_sft005,1.22996177e+25
MERCURY10_tr.totfib_sft015,1.23063538e+25
MERCURY11_tr.totfib_sft-05,1.13006594e+25
MERCURY11_tr.totfib_sft005,1.13362032e+25
MERCURY11_tr.totfib_sft015,1.13717739e+25
MERCURY12_tr.totfib_sft-05,1.48539824e+25
MERCURY12_tr.totfib_sft005,1.49004787e+25
MERCURY12_tr.totfib_sft015,1.49475433e+25
