Date,Observation_Type,TAA_deg,PhaseAngle_deg,Distance_Rms_au,Lat_h,Ecliptic_Lon,Ecliptic_Lat,Total_Atoms_Raw,Disk_Avg_CD_Raw,Disk_Avg_CD_Corrected,Disk_Avg_Error_Corrected,Disk_Avg_Brightness_kR,Disk_Avg_Brightness_kR_Corrected,Correction_Factor
20250811,Dusk,2.71904e+02,1.33508e+02,3.68244e-01,-3.84555e-02,3.49566e+02,-5.99429e+00,8.61236e+27,2.30277e+10,4.79040e+10,3.79485e+09,2.46892e+01,5.13605e+01,4.80705e-01
20250812,Dusk,2.76407e+02,1.29268e+02,3.62445e-01,-3.59431e-02,3.54080e+02,-5.69128e+00,9.69556e+27,2.59240e+10,5.26888e+10,4.21592e+09,2.76871e+01,5.62723e+01,4.92020e-01
20250813,Dusk,2.81032e+02,1.25000e+02,3.56727e-01,-3.32218e-02,3.58710e+02,-5.34367e+00,3.98023e+28,1.06423e+11,2.11249e+11,1.88378e+10,1.12701e+02,2.23710e+02,5.03782e-01
20250815,Dusk,2.90767e+02,1.16290e+02,3.45576e-01,-2.71270e-02,8.43461e+00,-4.50223e+00,1.18820e+28,3.17701e+10,6.00638e+10,3.16776e+09,3.25103e+01,6.14632e+01,5.28939e-01
20250816,Dusk,2.95869e+02,1.11854e+02,3.40242e-01,-2.37790e-02,1.35274e+01,-4.00758e+00,1.20684e+28,3.22685e+10,5.94980e+10,3.29930e+09,3.20888e+01,5.91667e+01,5.42346e-01
20250817,Dusk,3.01128e+02,1.07369e+02,3.35139e-01,-2.02546e-02,1.87697e+01,-3.46486e+00,1.12206e+28,3.00016e+10,5.39295e+10,3.42060e+09,2.86765e+01,5.15476e+01,5.56311e-01
20250818,Dusk,0.00000e+00,1.02822e+02,3.30305e-01,-1.65628e-02,2.41759e+01,-2.87424e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.70887e-01
20250819,Dusk,3.12134e+02,9.82406e+01,3.25818e-01,-1.27480e-02,2.97122e+01,-2.24233e+00,1.10936e+28,2.96619e+10,5.06178e+10,3.14668e+09,2.48034e+01,4.23268e+01,5.85998e-01
20250820,Dusk,0.00000e+00,9.36036e+01,3.21706e-01,-8.81613e-03,3.54042e+01,-1.57035e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.01729e-01
20250821,Dusk,3.23720e+02,8.89250e+01,3.18028e-01,-4.80479e-03,4.12339e+01,-8.65662e-01,9.30150e+27,2.48703e+10,4.02402e+10,4.01067e+09,1.57315e+01,2.54535e+01,6.18047e-01
20250822,Dusk,3.29722e+02,8.42130e+01,3.14834e-01,-7.48090e-04,4.71908e+01,-1.36143e-01,7.57500e+27,2.02540e+10,3.18995e+10,3.96968e+09,1.00977e+01,1.59036e+01,6.34932e-01
20250823,Dusk,3.35843e+02,7.94722e+01,3.12167e-01,3.32227e-03,5.32693e+01,6.09788e-01,7.47042e+27,1.99744e+10,3.06179e+10,4.60779e+09,7.22934e+00,1.10815e+01,6.52377e-01
20251021,Dawn,2.10114e+02,5.73672e+01,4.50988e-01,-4.72674e-02,2.87380e+02,-6.01614e+00,1.91088e+28,5.10931e+10,5.10931e+10,3.43959e+09,2.51858e+01,2.51858e+01,1.00000e+00
