# Wavelength Flux(MR)
5.89097364e+02 -5.32214462e+28
5.89100659e+02 -1.52171520e+28
5.89103954e+02 2.38967962e+28
5.89107249e+02 4.11829537e+28
5.89110544e+02 3.74996983e+28
5.89113839e+02 2.18829711e+28
5.89117135e+02 9.11300402e+27
5.89120430e+02 6.25264919e+27
5.89123725e+02 2.87815661e+27
5.89127020e+02 2.83100693e+27
5.89130315e+02 1.24665163e+28
5.89133610e+02 1.65702555e+28
5.89136905e+02 1.28299875e+28
5.89140200e+02 8.78955521e+27
5.89143496e+02 6.44003773e+27
5.89146791e+02 4.36776117e+27
5.89150086e+02 2.03333188e+27
5.89153381e+02 4.20387377e+27
5.89156676e+02 1.85352218e+27
5.89159971e+02 1.25675919e+27
5.89163266e+02 1.62191608e+27
5.89166561e+02 1.36190076e+26
5.89169856e+02 -5.57829323e+26
5.89173152e+02 6.82565954e+27
5.89176447e+02 8.88976261e+27
5.89179742e+02 1.11923993e+28
5.89183037e+02 6.22768350e+27
5.89186332e+02 4.95589582e+27
5.89189627e+02 2.21908638e+27
5.89192922e+02 8.79373384e+26
5.89196217e+02 2.43754062e+27
5.89199513e+02 -7.05036863e+25
5.89202808e+02 2.63498465e+27
5.89206103e+02 1.15210511e+27
5.89209398e+02 -1.91856091e+27
5.89212693e+02 -6.89243593e+25
5.89215988e+02 1.63276587e+27
5.89219283e+02 -1.03776767e+27
5.89222578e+02 -1.19314079e+27
5.89225873e+02 1.06370534e+27
5.89229169e+02 6.93472292e+27
5.89232464e+02 2.81602956e+27
5.89235759e+02 1.73804742e+27
5.89239054e+02 1.58046285e+27
5.89242349e+02 4.20600126e+27
5.89245644e+02 5.97513328e+27
5.89248939e+02 3.18847506e+27
5.89252234e+02 4.52874995e+27
5.89255530e+02 5.01405322e+27
5.89258825e+02 6.33564586e+27
5.89262120e+02 3.81227882e+27
5.89265415e+02 1.83952162e+27
5.89268710e+02 -9.39484004e+25
5.89272005e+02 -6.21457564e+26
5.89275300e+02 -3.14625762e+27
5.89278595e+02 -1.12324420e+27
5.89281890e+02 5.16561992e+27
5.89285186e+02 5.06658431e+27
5.89288481e+02 5.65097612e+27
5.89291776e+02 4.80076785e+27
5.89295071e+02 2.81747435e+27
5.89298366e+02 4.69026312e+27
5.89301661e+02 3.38975748e+27
5.89304956e+02 1.25011256e+27
5.89308251e+02 -3.19255197e+27
5.89311547e+02 -1.04323331e+27
5.89314842e+02 1.81461049e+27
5.89318137e+02 2.40042603e+27
5.89321432e+02 1.54639968e+26
5.89324727e+02 -5.28753138e+27
5.89328022e+02 -5.41083304e+27
5.89331317e+02 4.87490077e+27
5.89334612e+02 1.54953700e+28
5.89337907e+02 1.49120226e+28
5.89341203e+02 9.18716914e+27
5.89344498e+02 1.10601565e+28
5.89347793e+02 6.54326320e+27
5.89351088e+02 3.65230446e+27
5.89354383e+02 4.58703507e+27
5.89357678e+02 8.35922545e+27
5.89360973e+02 6.15028739e+27
5.89364268e+02 5.55538833e+27
5.89367564e+02 2.30409560e+27
5.89370859e+02 2.51570848e+27
5.89374154e+02 2.98393070e+27
5.89377449e+02 1.63221563e+27
5.89380744e+02 -1.19513364e+27
5.89384039e+02 -4.73722957e+27
5.89387334e+02 -8.55643218e+27
5.89390629e+02 -8.30564770e+27
5.89393924e+02 -5.51505092e+27
5.89397220e+02 -2.13966690e+27
5.89400515e+02 2.14232526e+27
5.89403810e+02 7.01319321e+27
5.89407105e+02 1.19581534e+28
5.89410400e+02 1.17107113e+28
5.89413695e+02 5.99926756e+27
5.89416990e+02 4.50817144e+27
5.89420285e+02 -1.13164356e+27
5.89423581e+02 -1.82084692e+27
5.89426876e+02 -3.36512824e+27
5.89430171e+02 -1.78420611e+27
5.89433466e+02 -2.69617049e+25
5.89436761e+02 7.57444515e+26
5.89440056e+02 1.10929442e+27
5.89443351e+02 2.48838156e+26
5.89446646e+02 -2.98875959e+27
5.89449941e+02 -9.58215330e+26
5.89453237e+02 1.71184297e+27
5.89456532e+02 -1.85715859e+26
5.89459827e+02 -3.43367400e+27
5.89463122e+02 -7.33264340e+27
5.89466417e+02 -2.35775427e+27
5.89469712e+02 2.28846787e+27
5.89473007e+02 7.28784803e+27
5.89476302e+02 9.92463037e+27
5.89479598e+02 1.00904447e+28
5.89482893e+02 5.41122951e+27
5.89486188e+02 6.21813369e+27
5.89489483e+02 4.28770086e+27
5.89492778e+02 5.13087548e+27
5.89496073e+02 6.28707166e+27
5.89499368e+02 3.82438310e+27
5.89502663e+02 7.12496989e+27
5.89505959e+02 4.10335320e+26
5.89509254e+02 -4.78753307e+27
5.89512549e+02 -4.68450731e+27
5.89515844e+02 -1.03375453e+27
