Wavelength(nm) Intensity
5.89097364e+02 5.35523489e+03
5.89100659e+02 7.69095162e+03
5.89103954e+02 1.17549020e+04
5.89107249e+02 1.40369820e+04
5.89110544e+02 1.34823372e+04
5.89113839e+02 1.16602662e+04
5.89117135e+02 1.16486578e+04
5.89120430e+02 1.09372611e+04
5.89123725e+02 1.09006770e+04
5.89127020e+02 1.19328367e+04
5.89130315e+02 1.37040742e+04
5.89133610e+02 1.56624564e+04
5.89136905e+02 1.66538636e+04
5.89140200e+02 1.69245819e+04
5.89143496e+02 1.67854713e+04
5.89146791e+02 1.73601485e+04
5.89150086e+02 1.72650808e+04
5.89153381e+02 1.79088628e+04
5.89156676e+02 1.83385451e+04
5.89159971e+02 1.92348113e+04
5.89163266e+02 1.83205656e+04
5.89166561e+02 1.70597550e+04
5.89169856e+02 1.73049922e+04
5.89173152e+02 1.82347388e+04
5.89176447e+02 1.96062879e+04
5.89179742e+02 1.97588479e+04
5.89183037e+02 2.00250812e+04
5.89186332e+02 2.04215663e+04
5.89189627e+02 2.09188666e+04
5.89192922e+02 2.05000406e+04
5.89196217e+02 2.10712617e+04
5.89199513e+02 2.16590661e+04
5.89202808e+02 2.17722136e+04
5.89206103e+02 2.06512706e+04
5.89209398e+02 2.09974302e+04
5.89212693e+02 2.07510299e+04
5.89215988e+02 2.05237505e+04
5.89219283e+02 1.98979577e+04
5.89222578e+02 1.95992809e+04
5.89225873e+02 2.05756493e+04
5.89229169e+02 2.14914087e+04
5.89232464e+02 2.07214339e+04
5.89235759e+02 2.15734852e+04
5.89239054e+02 2.32047509e+04
5.89242349e+02 2.30454503e+04
5.89245644e+02 2.27382718e+04
5.89248939e+02 2.27270025e+04
5.89252234e+02 2.29852582e+04
5.89255530e+02 2.35941432e+04
5.89258825e+02 2.37922868e+04
5.89262120e+02 2.44288381e+04
5.89265415e+02 2.34180775e+04
5.89268710e+02 2.29795534e+04
5.89272005e+02 2.26772464e+04
5.89275300e+02 2.22418976e+04
5.89278595e+02 2.16896807e+04
5.89281890e+02 2.21660235e+04
5.89285186e+02 2.32538260e+04
5.89288481e+02 2.32751094e+04
5.89291776e+02 2.25413011e+04
5.89295071e+02 2.32585947e+04
5.89298366e+02 2.37369884e+04
5.89301661e+02 2.30128630e+04
5.89304956e+02 2.24222763e+04
5.89308251e+02 2.14621777e+04
5.89311547e+02 2.11608265e+04
5.89314842e+02 2.20356084e+04
5.89318137e+02 2.10909034e+04
5.89321432e+02 1.98448438e+04
5.89324727e+02 1.74245364e+04
5.89328022e+02 1.76676027e+04
5.89331317e+02 1.99319651e+04
5.89334612e+02 2.22286024e+04
5.89337907e+02 2.27016052e+04
5.89341203e+02 2.34484013e+04
5.89344498e+02 2.30712862e+04
5.89347793e+02 2.33512221e+04
5.89351088e+02 2.31463745e+04
5.89354383e+02 2.35362490e+04
5.89357678e+02 2.44261775e+04
5.89360973e+02 2.32482495e+04
5.89364268e+02 2.25609811e+04
5.89367564e+02 2.16633656e+04
5.89370859e+02 2.08364032e+04
5.89374154e+02 2.03575569e+04
5.89377449e+02 1.88940278e+04
5.89380744e+02 1.79631531e+04
5.89384039e+02 1.63925249e+04
5.89387334e+02 1.45339704e+04
5.89390629e+02 1.39781583e+04
5.89393924e+02 1.44185697e+04
5.89397220e+02 1.50629094e+04
5.89400515e+02 1.64406248e+04
5.89403810e+02 1.90924047e+04
5.89407105e+02 2.10196506e+04
5.89410400e+02 2.23213346e+04
5.89413695e+02 2.22249406e+04
5.89416990e+02 2.27351768e+04
5.89420285e+02 2.26722878e+04
5.89423581e+02 2.22756311e+04
5.89426876e+02 2.24059094e+04
5.89430171e+02 2.25467487e+04
5.89433466e+02 2.29457649e+04
5.89436761e+02 2.31764097e+04
5.89440056e+02 2.26726790e+04
5.89443351e+02 2.25895528e+04
5.89446646e+02 2.24448818e+04
5.89449941e+02 2.22134358e+04
5.89453237e+02 2.28370458e+04
5.89456532e+02 2.24022987e+04
5.89459827e+02 2.16983971e+04
5.89463122e+02 2.14841070e+04
5.89466417e+02 2.14481449e+04
5.89469712e+02 2.20142863e+04
5.89473007e+02 2.34966506e+04
5.89476302e+02 2.37522998e+04
5.89479598e+02 2.40808514e+04
5.89482893e+02 2.41462222e+04
5.89486188e+02 2.42155553e+04
5.89489483e+02 2.38488474e+04
5.89492778e+02 2.41797331e+04
5.89496073e+02 2.37982286e+04
5.89499368e+02 2.37678145e+04
5.89502663e+02 2.34977807e+04
5.89505959e+02 2.20687571e+04
5.89509254e+02 2.10759151e+04
5.89512549e+02 2.10784194e+04
5.89515844e+02 2.12301196e+04
5.89519139e+02 2.22522479e+04
5.89522434e+02 2.30945470e+04
5.89525729e+02 2.32462590e+04
5.89529024e+02 2.29054239e+04
5.89532319e+02 2.26480356e+04
5.89535615e+02 2.22599757e+04
5.89538910e+02 2.29853286e+04
5.89542205e+02 2.23754109e+04
5.89545500e+02 2.27690312e+04
5.89548795e+02 2.23837623e+04
5.89552090e+02 2.19244458e+04
5.89555385e+02 2.27655162e+04
5.89558680e+02 2.32839194e+04
5.89561976e+02 2.24237533e+04
5.89565271e+02 2.23137386e+04
5.89568566e+02 2.21987663e+04
5.89571861e+02 2.21366657e+04
5.89575156e+02 2.21373805e+04
5.89578451e+02 2.21258157e+04
5.89581746e+02 2.24204665e+04
5.89585041e+02 2.27220242e+04
5.89588336e+02 2.18083652e+04
5.89591632e+02 2.18919231e+04
5.89594927e+02 2.09723207e+04
5.89598222e+02 1.99699769e+04
5.89601517e+02 1.96557954e+04
5.89604812e+02 2.04931657e+04
5.89608107e+02 2.01158451e+04
5.89611402e+02 2.05167188e+04
5.89614697e+02 2.07665803e+04
5.89617993e+02 2.01760886e+04
5.89621288e+02 2.04543637e+04
