# Index Total_Atoms Error Peak_Diff_nm Center_WL_nm
1 1.2107e+28 1.2567e+28 0.000064 589.828531
2 1.0576e+28 9.2053e+27 0.001149 589.706414
3 1.1696e+28 8.9035e+27 0.001277 589.706060
4 1.1156e+28 9.0602e+27 0.001192 589.706561
5 1.4986e+28 8.1578e+27 0.000899 589.705870
6 1.3935e+28 7.9185e+27 0.001240 589.705780
7 1.2939e+28 6.9531e+27 0.001365 589.705635
8 1.5087e+28 6.9711e+27 0.000971 589.705703
9 1.3896e+28 6.5622e+27 0.001225 589.705591
10 1.7720e+28 7.0431e+27 0.001292 589.705421
11 1.6867e+28 6.6007e+27 0.001096 589.705602
12 1.5283e+28 7.1232e+27 0.001470 589.705975
13 1.8279e+28 6.7216e+27 0.001498 589.705833
14 1.8688e+28 6.9672e+27 0.001514 589.705314
15 1.9655e+28 7.2559e+27 0.001880 589.705968
16 1.9970e+28 6.5204e+27 0.001504 589.705685
17 2.0638e+28 6.2961e+27 0.001865 589.705539
18 2.0776e+28 8.0731e+27 0.001756 589.705723
19 1.9646e+28 6.5360e+27 0.001542 589.705597
20 2.0440e+28 7.1144e+27 0.001472 589.705330
21 2.1662e+28 7.1784e+27 0.001614 589.705811
22 2.2012e+28 6.3494e+27 0.001504 589.705552
23 2.0847e+28 6.7137e+27 0.001872 589.705651
24 2.1744e+28 6.1880e+27 0.001622 589.705446
25 2.2940e+28 7.4866e+27 0.001511 589.705249
26 2.2543e+28 7.3727e+27 0.001379 589.705511
27 2.1878e+28 7.6175e+27 0.001851 589.705641
28 2.2974e+28 7.2765e+27 0.001885 589.705715
