filename,cts2MR
MERCURY1_tr.totfib_sft010,7.25536699e+24
MERCURY1_tr.totfib_sft020,7.26083023e+24
MERCURY1_tr.totfib_sft030,7.26430390e+24
MERCURY2_tr.totfib_sft010,6.83858397e+24
MERCURY2_tr.totfib_sft020,6.84272527e+24
MERCURY2_tr.totfib_sft030,6.84663263e+24
MERCURY3_tr.totfib_sft010,6.24622960e+24
MERCURY3_tr.totfib_sft020,6.24992459e+24
MERCURY3_tr.totfib_sft030,6.25339597e+24
MERCURY4_tr.totfib_sft010,6.98170553e+24
MERCURY4_tr.totfib_sft020,6.98663361e+24
MERCURY4_tr.totfib_sft030,6.97403311e+24
MERCURY5_tr.totfib_sft010,6.89609360e+24
MERCURY5_tr.totfib_sft020,6.90045220e+24
MERCURY5_tr.totfib_sft030,6.90415790e+24
MERCURY6_tr.totfib_sft010,6.20359312e+24
MERCURY6_tr.totfib_sft020,6.20743323e+24
MERCURY6_tr.totfib_sft030,6.21070119e+24
MERCURY7_tr.totfib_sft010,6.19523061e+24
MERCURY7_tr.totfib_sft020,6.19965352e+24
MERCURY7_tr.totfib_sft030,6.20246920e+24
MERCURY8_tr.totfib_sft010,6.13555256e+24
MERCURY8_tr.totfib_sft020,6.13949381e+24
MERCURY8_tr.totfib_sft030,6.14295387e+24
MERCURY9_tr.totfib_sft010,6.42895743e+24
MERCURY9_tr.totfib_sft020,6.43308304e+24
MERCURY9_tr.totfib_sft030,6.43674157e+24
MERCURY10_tr.totfib_sft010,6.91094114e+24
MERCURY10_tr.totfib_sft020,6.91533999e+24
MERCURY10_tr.totfib_sft030,6.91863633e+24
MERCURY11_tr.totfib_sft010,7.12696555e+24
MERCURY11_tr.totfib_sft020,7.13173092e+24
MERCURY11_tr.totfib_sft030,7.13609680e+24
MERCURY12_tr.totfib_sft010,8.99025118e+24
MERCURY12_tr.totfib_sft020,8.99603915e+24
MERCURY12_tr.totfib_sft030,9.00123724e+24
MERCURY13_tr.totfib_sft010,7.20058831e+24
MERCURY13_tr.totfib_sft020,7.20587136e+24
MERCURY13_tr.totfib_sft030,7.20936852e+24
MERCURY14_tr.totfib_sft010,6.70977801e+24
MERCURY14_tr.totfib_sft020,6.71406665e+24
MERCURY14_tr.totfib_sft030,6.71735547e+24
MERCURY15_tr.totfib_sft010,6.99014133e+24
MERCURY15_tr.totfib_sft020,6.99480389e+24
MERCURY15_tr.totfib_sft030,6.99844885e+24
MERCURY16_tr.totfib_sft010,7.14435135e+24
MERCURY16_tr.totfib_sft020,7.14979265e+24
MERCURY16_tr.totfib_sft030,7.15346407e+24
MERCURY17_tr.totfib_sft010,7.24230080e+24
MERCURY17_tr.totfib_sft020,7.24711536e+24
MERCURY17_tr.totfib_sft030,7.25095709e+24
MERCURY18_tr.totfib_sft010,6.90519414e+24
MERCURY18_tr.totfib_sft020,6.90983145e+24
MERCURY18_tr.totfib_sft030,6.91352183e+24
MERCURY19_tr.totfib_sft010,7.85406070e+24
MERCURY19_tr.totfib_sft020,7.85959208e+24
MERCURY19_tr.totfib_sft030,7.86406527e+24
MERCURY20_tr.totfib_sft010,7.52940072e+24
MERCURY20_tr.totfib_sft020,7.53468193e+24
MERCURY20_tr.totfib_sft030,7.53982858e+24
MERCURY21_tr.totfib_sft010,7.71352547e+24
MERCURY21_tr.totfib_sft020,7.71890180e+24
MERCURY21_tr.totfib_sft030,7.72333299e+24
MERCURY22_tr.totfib_sft010,8.70289664e+24
MERCURY22_tr.totfib_sft020,8.71032417e+24
MERCURY22_tr.totfib_sft030,8.71561913e+24
MERCURY23_tr.totfib_sft010,8.28668607e+24
MERCURY23_tr.totfib_sft020,8.29274572e+24
MERCURY23_tr.totfib_sft030,8.29781164e+24
MERCURY24_tr.totfib_sft010,8.27544168e+24
MERCURY24_tr.totfib_sft020,8.28159575e+24
MERCURY24_tr.totfib_sft030,8.28676788e+24
MERCURY25_tr.totfib_sft010,8.67223891e+24
MERCURY25_tr.totfib_sft020,8.67841156e+24
MERCURY25_tr.totfib_sft030,8.68355885e+24
MERCURY26_tr.totfib_sft010,7.99475654e+24
MERCURY26_tr.totfib_sft020,8.00084860e+24
MERCURY26_tr.totfib_sft030,8.00600213e+24
MERCURY27_tr.totfib_sft010,8.77516840e+24
MERCURY27_tr.totfib_sft020,8.76152963e+24
MERCURY27_tr.totfib_sft030,8.76741031e+24
MERCURY28_tr.totfib_sft010,9.19150596e+24
MERCURY28_tr.totfib_sft020,9.17890198e+24
MERCURY28_tr.totfib_sft030,9.18537291e+24
