# Wavelength Flux(MR)
5.89097364e+02 -3.69804233e+26
5.89100659e+02 -1.49564177e+27
5.89103954e+02 -1.95812314e+27
5.89107249e+02 -1.56394031e+27
5.89110544e+02 -2.25926588e+26
5.89113839e+02 -1.70192310e+27
5.89117135e+02 -1.07940097e+27
5.89120430e+02 -3.30137291e+26
5.89123725e+02 -1.07037334e+27
5.89127020e+02 -6.35604313e+26
5.89130315e+02 -1.16897745e+27
5.89133610e+02 2.09067718e+27
5.89136905e+02 3.28055503e+27
5.89140200e+02 1.74304529e+27
5.89143496e+02 1.94106236e+27
5.89146791e+02 1.61007018e+27
5.89150086e+02 1.22758719e+27
5.89153381e+02 -5.57935184e+25
5.89156676e+02 7.87403743e+26
5.89159971e+02 -2.33916635e+26
5.89163266e+02 -5.23728485e+26
5.89166561e+02 8.89585570e+25
5.89169856e+02 9.73007158e+26
5.89173152e+02 -7.58621525e+26
5.89176447e+02 4.35008323e+25
5.89179742e+02 5.14408576e+26
5.89183037e+02 -1.35875339e+27
5.89186332e+02 -1.10999914e+27
5.89189627e+02 -1.09870727e+27
5.89192922e+02 -9.57029414e+26
5.89196217e+02 -3.16381202e+27
5.89199513e+02 -2.30391080e+27
5.89202808e+02 -2.29889295e+27
5.89206103e+02 -3.23987316e+27
5.89209398e+02 -1.35314258e+27
5.89212693e+02 8.61927840e+27
5.89215988e+02 2.76188411e+28
5.89219283e+02 5.77116361e+28
5.89222578e+02 7.81676305e+28
5.89225873e+02 7.39834751e+28
5.89229169e+02 4.76098707e+28
5.89232464e+02 1.46774975e+28
5.89235759e+02 2.24769118e+27
5.89239054e+02 7.64817304e+26
5.89242349e+02 1.15767905e+27
5.89245644e+02 1.14301313e+27
5.89248939e+02 2.97485476e+26
5.89252234e+02 -3.87309049e+26
5.89255530e+02 -1.73969752e+27
5.89258825e+02 -3.41194155e+26
5.89262120e+02 -1.45228924e+27
5.89265415e+02 -4.51096875e+26
5.89268710e+02 -1.31191198e+27
5.89272005e+02 -1.44891270e+27
5.89275300e+02 -1.85130994e+27
5.89278595e+02 -2.57522758e+27
5.89281890e+02 -1.01394491e+27
5.89285186e+02 -6.85166244e+26
5.89288481e+02 -3.73068866e+26
5.89291776e+02 -6.94435645e+26
5.89295071e+02 -1.68170499e+27
5.89298366e+02 2.90665294e+27
5.89301661e+02 2.00555301e+27
5.89304956e+02 1.96519165e+27
5.89308251e+02 1.73832550e+27
5.89311547e+02 1.23138172e+27
5.89314842e+02 3.02760873e+26
5.89318137e+02 2.90545211e+26
5.89321432e+02 2.61351730e+27
5.89324727e+02 -9.57572704e+26
5.89328022e+02 -3.19180963e+27
5.89331317e+02 -3.00101622e+27
5.89334612e+02 -3.83480920e+25
5.89337907e+02 2.71919871e+27
5.89341203e+02 2.39851920e+27
5.89344498e+02 4.23943402e+27
5.89347793e+02 1.01914139e+27
5.89351088e+02 -2.96745260e+26
5.89354383e+02 -1.16017569e+27
5.89357678e+02 8.17200556e+26
5.89360973e+02 4.39960179e+26
5.89364268e+02 -8.09042648e+26
5.89367564e+02 -9.39168104e+26
5.89370859e+02 -3.02803493e+26
5.89374154e+02 -1.35727314e+27
5.89377449e+02 -1.39613081e+27
5.89380744e+02 -2.19852275e+26
5.89384039e+02 6.11325208e+26
5.89387334e+02 7.49229891e+26
5.89390629e+02 1.59464262e+26
5.89393924e+02 -2.06638096e+27
5.89397220e+02 -1.32887374e+27
5.89400515e+02 -2.95461222e+27
5.89403810e+02 -1.80083475e+27
5.89407105e+02 -9.91591019e+26
5.89410400e+02 7.70946348e+26
5.89413695e+02 3.49611814e+27
5.89416990e+02 7.91799044e+25
5.89420285e+02 1.89025078e+27
5.89423581e+02 -8.14243707e+26
5.89426876e+02 -1.04459246e+27
5.89430171e+02 -6.37760978e+26
5.89433466e+02 -4.17365530e+26
5.89436761e+02 7.62779967e+26
5.89440056e+02 1.05347348e+27
5.89443351e+02 -5.22517591e+25
5.89446646e+02 -1.22421090e+27
5.89449941e+02 -5.12879215e+26
5.89453237e+02 1.57662146e+26
5.89456532e+02 1.66295576e+26
5.89459827e+02 1.93862463e+27
5.89463122e+02 -5.02303208e+26
5.89466417e+02 -1.63203653e+27
5.89469712e+02 3.36105742e+26
5.89473007e+02 -4.20053484e+26
5.89476302e+02 7.94684036e+26
5.89479598e+02 6.05349040e+26
5.89482893e+02 2.70486625e+26
5.89486188e+02 -1.13495437e+27
5.89489483e+02 -2.59165032e+27
5.89492778e+02 -3.41514137e+27
5.89496073e+02 -2.30712362e+27
5.89499368e+02 -8.48839080e+26
5.89502663e+02 -2.32643101e+27
5.89505959e+02 -1.01740304e+27
5.89509254e+02 -1.11684014e+26
5.89512549e+02 -1.61238260e+27
5.89515844e+02 2.87805924e+26
5.89519139e+02 -1.33760708e+27
5.89522434e+02 9.18860089e+26
5.89525729e+02 8.01472003e+26
5.89529024e+02 -1.86710418e+26
5.89532319e+02 -7.34479629e+26
5.89535615e+02 -2.43724480e+27
5.89538910e+02 3.83336362e+26
5.89542205e+02 -3.42915498e+26
5.89545500e+02 -1.56427528e+27
5.89548795e+02 -1.79861220e+27
5.89552090e+02 -3.85200992e+26
5.89555385e+02 -1.48396815e+27
5.89558680e+02 -1.23870308e+27
5.89561976e+02 -1.61546337e+27
5.89565271e+02 -1.61929989e+27
5.89568566e+02 -1.21148781e+27
5.89571861e+02 -2.58147238e+27
5.89575156e+02 -2.58830312e+27
5.89578451e+02 -5.05246864e+26
5.89581746e+02 -2.19893063e+27
5.89585041e+02 -3.72838737e+26
5.89588336e+02 3.92169369e+26
5.89591632e+02 -1.60578640e+27
5.89594927e+02 -1.44761745e+27
5.89598222e+02 -1.80920626e+27
5.89601517e+02 -1.85331071e+27
5.89604812e+02 -1.95996134e+27
5.89608107e+02 -1.97756159e+27
5.89611402e+02 -2.05722309e+27
5.89614697e+02 -2.14400208e+27
5.89617993e+02 -1.27360646e+27
5.89621288e+02 -3.93266901e+26
5.89624583e+02 -2.01844310e+27
5.89627878e+02 -2.31380719e+27
5.89631173e+02 -8.52525019e+26
5.89634468e+02 -1.58823145e+27
5.89637763e+02 -2.99032717e+27
5.89641058e+02 -4.21415686e+26
5.89644353e+02 -9.07534018e+26
5.89647649e+02 -1.46025975e+27
5.89650944e+02 -1.89073100e+27
5.89654239e+02 -1.08957856e+27
5.89657534e+02 -2.42374720e+27
5.89660829e+02 -2.47796374e+26
5.89664124e+02 2.76604732e+25
5.89667419e+02 -1.49227717e+27
5.89670714e+02 -1.95891046e+27
5.89674010e+02 6.01547972e+26
5.89677305e+02 -2.09030764e+27
5.89680600e+02 -2.53234248e+27
5.89683895e+02 -7.24227109e+26
5.89687190e+02 -3.43953466e+26
5.89690485e+02 -8.47108003e+26
5.89693780e+02 -2.28629133e+27
5.89697075e+02 4.96654543e+25
5.89700370e+02 -9.43480174e+26
5.89703666e+02 -2.14176400e+27
5.89706961e+02 -3.34865050e+27
5.89710256e+02 -1.68064021e+27
5.89713551e+02 -2.15738143e+27
5.89716846e+02 -1.55827156e+27
5.89720141e+02 -2.35407659e+27
5.89723436e+02 -1.24439392e+27
5.89726731e+02 -2.24342066e+27
5.89730027e+02 -3.10556930e+27
5.89733322e+02 -7.36248557e+26
5.89736617e+02 -1.04804388e+27
5.89739912e+02 -4.63183461e+26
5.89743207e+02 -1.49131112e+27
5.89746502e+02 -5.34419725e+26
5.89749797e+02 4.15554759e+25
5.89753092e+02 -1.03782481e+27
5.89756387e+02 4.15215416e+26
5.89759683e+02 -2.41696953e+25
5.89762978e+02 9.60541525e+26
5.89766273e+02 2.26830395e+27
5.89769568e+02 1.98520281e+27
5.89772863e+02 9.70074136e+26
5.89776158e+02 2.08183874e+27
5.89779453e+02 8.40362625e+26
5.89782748e+02 -1.47135120e+26
5.89786044e+02 1.25585946e+27
5.89789339e+02 -2.39556919e+26
5.89792634e+02 -2.84008735e+27
5.89795929e+02 -3.23668751e+27
5.89799224e+02 -3.14612930e+27
5.89802519e+02 -2.30837251e+27
5.89805814e+02 -1.60702938e+27
5.89809109e+02 1.81229066e+27
5.89812404e+02 1.36846455e+28
5.89815700e+02 3.32943468e+28
5.89818995e+02 5.10816697e+28
5.89822290e+02 5.94014139e+28
5.89825585e+02 5.03003341e+28
5.89828880e+02 2.58969209e+28
5.89832175e+02 6.42123293e+27
5.89835470e+02 2.15861390e+27
5.89838765e+02 3.70646544e+26
5.89842061e+02 3.38050026e+26
5.89845356e+02 -9.19259600e+26
5.89848651e+02 -4.25559783e+26
5.89851946e+02 1.64534124e+26
5.89855241e+02 1.90841982e+25
5.89858536e+02 2.34538713e+27
5.89861831e+02 1.93521795e+27
5.89865126e+02 -5.55160075e+26
5.89868421e+02 -2.77420854e+27
