Wavelength(nm) Intensity
5.89097364e+02 3.87781092e+03
5.89100659e+02 3.61044734e+03
5.89103954e+02 3.51203484e+03
5.89107249e+02 3.31737033e+03
5.89110544e+02 3.67924880e+03
5.89113839e+02 3.97692953e+03
5.89117135e+02 3.78590166e+03
5.89120430e+02 3.06911539e+03
5.89123725e+02 2.89633214e+03
5.89127020e+02 2.68477581e+03
5.89130315e+02 2.91730357e+03
5.89133610e+02 3.32919057e+03
5.89136905e+02 3.70711011e+03
5.89140200e+02 3.46338221e+03
5.89143496e+02 3.41469692e+03
5.89146791e+02 3.05036154e+03
5.89150086e+02 2.81162520e+03
5.89153381e+02 2.75926379e+03
5.89156676e+02 2.76468788e+03
5.89159971e+02 2.98107087e+03
5.89163266e+02 2.73271267e+03
5.89166561e+02 2.00794681e+03
5.89169856e+02 1.76805641e+03
5.89173152e+02 2.23653733e+03
5.89176447e+02 2.11064080e+03
5.89179742e+02 2.08508325e+03
5.89183037e+02 1.61452179e+03
5.89186332e+02 1.61655163e+03
5.89189627e+02 1.20741436e+03
5.89192922e+02 5.45946012e+02
5.89196217e+02 6.65309356e+02
5.89199513e+02 6.27920885e+02
5.89202808e+02 1.95072332e+02
5.89206103e+02 7.90012837e+02
5.89209398e+02 1.15242622e+03
5.89212693e+02 2.89624985e+03
5.89215988e+02 7.12868303e+03
5.89219283e+02 1.37896002e+04
5.89222578e+02 1.91183139e+04
5.89225873e+02 1.83390299e+04
5.89229169e+02 1.20890175e+04
5.89232464e+02 5.96611514e+03
5.89235759e+02 3.22022802e+03
5.89239054e+02 2.78096511e+03
5.89242349e+02 2.69005434e+03
5.89245644e+02 2.27513312e+03
5.89248939e+02 2.51095279e+03
5.89252234e+02 3.25598074e+03
5.89255530e+02 3.20581908e+03
5.89258825e+02 3.36173718e+03
5.89262120e+02 3.07531755e+03
5.89265415e+02 3.64080481e+03
5.89268710e+02 3.50156596e+03
5.89272005e+02 3.58304281e+03
5.89275300e+02 3.14461368e+03
5.89278595e+02 3.12805587e+03
5.89281890e+02 3.43513101e+03
5.89285186e+02 3.43092059e+03
5.89288481e+02 3.78326543e+03
5.89291776e+02 3.73573306e+03
5.89295071e+02 4.21846170e+03
5.89298366e+02 3.60035792e+03
5.89301661e+02 3.93647364e+03
5.89304956e+02 3.95750779e+03
5.89308251e+02 3.48711553e+03
5.89311547e+02 3.37957690e+03
5.89314842e+02 3.78505167e+03
5.89318137e+02 3.12321614e+03
5.89321432e+02 3.02804453e+03
5.89324727e+02 2.35989354e+03
5.89328022e+02 2.26196561e+03
5.89331317e+02 2.55426332e+03
5.89334612e+02 3.07352697e+03
5.89337907e+02 3.74197516e+03
5.89341203e+02 3.55981370e+03
5.89344498e+02 3.69759742e+03
5.89347793e+02 3.93344334e+03
5.89351088e+02 4.07136498e+03
5.89354383e+02 3.84425393e+03
5.89357678e+02 4.08851405e+03
5.89360973e+02 4.30333268e+03
5.89364268e+02 4.10948486e+03
5.89367564e+02 3.87038412e+03
5.89370859e+02 4.05889393e+03
5.89374154e+02 4.17761320e+03
5.89377449e+02 3.71420547e+03
5.89380744e+02 3.76512414e+03
5.89384039e+02 3.89683038e+03
5.89387334e+02 3.90744458e+03
5.89390629e+02 3.72172803e+03
5.89393924e+02 3.86833492e+03
5.89397220e+02 3.60860161e+03
5.89400515e+02 2.80130546e+03
5.89403810e+02 2.72414051e+03
5.89407105e+02 3.16551043e+03
5.89410400e+02 3.69306964e+03
5.89413695e+02 4.61738940e+03
5.89416990e+02 4.05014697e+03
5.89420285e+02 4.19075034e+03
5.89423581e+02 4.13312056e+03
5.89426876e+02 3.60901590e+03
5.89430171e+02 4.04431934e+03
5.89433466e+02 4.31568286e+03
5.89436761e+02 4.32656186e+03
5.89440056e+02 4.01484737e+03
5.89443351e+02 3.89049784e+03
5.89446646e+02 3.38533474e+03
5.89449941e+02 3.69712366e+03
5.89453237e+02 4.24405999e+03
5.89456532e+02 3.98551823e+03
5.89459827e+02 4.05194150e+03
5.89463122e+02 3.73252089e+03
5.89466417e+02 3.67035718e+03
5.89469712e+02 3.52189635e+03
5.89473007e+02 3.64248227e+03
5.89476302e+02 3.84678128e+03
5.89479598e+02 3.85237443e+03
5.89482893e+02 3.23261286e+03
5.89486188e+02 3.13712791e+03
5.89489483e+02 3.14854798e+03
5.89492778e+02 2.67394640e+03
5.89496073e+02 2.61751980e+03
5.89499368e+02 2.19659026e+03
5.89502663e+02 2.67445285e+03
5.89505959e+02 3.17855301e+03
5.89509254e+02 3.27707234e+03
5.89512549e+02 3.44664870e+03
5.89515844e+02 3.93063331e+03
5.89519139e+02 3.87962394e+03
5.89522434e+02 3.68147784e+03
5.89525729e+02 4.31700271e+03
5.89529024e+02 4.02669371e+03
5.89532319e+02 3.98128083e+03
5.89535615e+02 3.88789490e+03
5.89538910e+02 4.28975231e+03
5.89542205e+02 4.34730987e+03
5.89545500e+02 4.12842645e+03
5.89548795e+02 4.22669386e+03
5.89552090e+02 4.13386702e+03
5.89555385e+02 4.03711427e+03
5.89558680e+02 4.27592695e+03
5.89561976e+02 4.19312931e+03
5.89565271e+02 3.80871388e+03
5.89568566e+02 4.37273505e+03
5.89571861e+02 3.86050313e+03
5.89575156e+02 3.84548702e+03
5.89578451e+02 4.50393984e+03
5.89581746e+02 3.73264349e+03
5.89585041e+02 4.13117391e+03
5.89588336e+02 4.23388552e+03
5.89591632e+02 4.19127444e+03
5.89594927e+02 4.03655085e+03
5.89598222e+02 3.79838040e+03
5.89601517e+02 3.86370709e+03
5.89604812e+02 3.83685740e+03
5.89608107e+02 3.86311972e+03
5.89611402e+02 3.85953022e+03
5.89614697e+02 3.72557244e+03
5.89617993e+02 4.05174529e+03
5.89621288e+02 4.09951627e+03
5.89624583e+02 4.03116173e+03
5.89627878e+02 4.04590799e+03
5.89631173e+02 4.07966027e+03
5.89634468e+02 4.05444823e+03
5.89637763e+02 4.34942363e+03
5.89641058e+02 4.03695729e+03
5.89644353e+02 3.79424457e+03
5.89647649e+02 3.91456814e+03
5.89650944e+02 3.87150966e+03
5.89654239e+02 3.65221251e+03
5.89657534e+02 3.52682265e+03
5.89660829e+02 3.76052471e+03
5.89664124e+02 3.85742610e+03
5.89667419e+02 3.79206692e+03
5.89670714e+02 4.16973777e+03
5.89674010e+02 3.59263807e+03
5.89677305e+02 3.41882027e+03
5.89680600e+02 3.78284439e+03
