# Wavelength Flux(MR)
5.89097364e+02 5.48029392e+26
5.89100659e+02 2.29656206e+27
5.89103954e+02 3.68384376e+27
5.89107249e+02 -3.72491393e+27
5.89110544e+02 7.88760762e+26
5.89113839e+02 7.25383722e+27
5.89117135e+02 -2.03477780e+27
5.89120430e+02 -1.69853358e+27
5.89123725e+02 -3.13714452e+27
5.89127020e+02 -4.58064515e+27
5.89130315e+02 -1.84568066e+27
5.89133610e+02 3.79693782e+27
5.89136905e+02 4.66419321e+27
5.89140200e+02 5.74929967e+27
5.89143496e+02 5.83943792e+27
5.89146791e+02 -1.10801858e+27
5.89150086e+02 -2.32413843e+27
5.89153381e+02 -2.94044598e+26
5.89156676e+02 -4.42925757e+27
5.89159971e+02 -2.33189848e+27
5.89163266e+02 -5.33942087e+27
5.89166561e+02 -3.07889051e+27
5.89169856e+02 2.13823344e+26
5.89173152e+02 1.49063898e+26
5.89176447e+02 1.82308230e+27
5.89179742e+02 3.77652380e+27
5.89183037e+02 2.10424038e+27
5.89186332e+02 -4.39682856e+27
5.89189627e+02 4.45194438e+26
5.89192922e+02 2.82469355e+27
5.89196217e+02 6.78897696e+26
5.89199513e+02 -3.69773401e+27
5.89202808e+02 -6.95845314e+27
5.89206103e+02 1.74754630e+27
5.89209398e+02 -1.27377565e+27
5.89212693e+02 9.99755397e+27
5.89215988e+02 3.47305144e+28
5.89219283e+02 5.59429337e+28
5.89222578e+02 7.82722869e+28
5.89225873e+02 7.23983749e+28
5.89229169e+02 4.31049116e+28
5.89232464e+02 1.79836185e+28
5.89235759e+02 5.19003182e+27
5.89239054e+02 2.40948502e+27
5.89242349e+02 1.37476356e+27
5.89245644e+02 -6.15295667e+27
5.89248939e+02 -4.40237671e+27
5.89252234e+02 -1.30499796e+27
5.89255530e+02 2.02403959e+27
5.89258825e+02 1.44998729e+27
5.89262120e+02 2.93326362e+27
5.89265415e+02 1.64997462e+27
5.89268710e+02 4.84893435e+27
5.89272005e+02 -7.69197380e+26
5.89275300e+02 -5.29087922e+27
5.89278595e+02 -1.61647199e+27
5.89281890e+02 -2.11620419e+27
5.89285186e+02 -8.49735832e+26
5.89288481e+02 -7.30343001e+27
