filename,cts2MR
MERCURY1_tr.totfib_sft-05,4.68462418e+24
MERCURY1_tr.totfib_sft005,4.68066066e+24
MERCURY1_tr.totfib_sft015,4.67889539e+24
MERCURY2_tr.totfib_sft-05,4.64972242e+24
MERCURY2_tr.totfib_sft005,4.64593615e+24
MERCURY2_tr.totfib_sft015,4.64431402e+24
MERCURY3_tr.totfib_sft-05,4.58910385e+24
MERCURY3_tr.totfib_sft005,4.58537634e+24
MERCURY3_tr.totfib_sft015,4.58378472e+24
MERCURY4_tr.totfib_sft-05,4.57138169e+24
MERCURY4_tr.totfib_sft005,4.56746856e+24
MERCURY4_tr.totfib_sft015,4.56574830e+24
MERCURY5_tr.totfib_sft-05,1.48302677e+25
MERCURY5_tr.totfib_sft005,1.48177357e+25
MERCURY5_tr.totfib_sft015,1.48116474e+25
