Wavelength(nm) Intensity
5.89097364e+02 4.09392521e+03
5.89100659e+02 3.59416697e+03
5.89103954e+02 3.65489316e+03
5.89107249e+02 3.71571098e+03
5.89110544e+02 3.86012602e+03
5.89113839e+02 3.82938805e+03
5.89117135e+02 3.46817653e+03
5.89120430e+02 3.03830451e+03
5.89123725e+02 3.00923731e+03
5.89127020e+02 2.63244845e+03
5.89130315e+02 2.99727402e+03
5.89133610e+02 3.22757200e+03
5.89136905e+02 3.73485284e+03
5.89140200e+02 3.71783156e+03
5.89143496e+02 3.53753346e+03
5.89146791e+02 2.99143569e+03
5.89150086e+02 2.78068714e+03
5.89153381e+02 2.64643984e+03
5.89156676e+02 2.91202132e+03
5.89159971e+02 2.87164460e+03
5.89163266e+02 2.69575006e+03
5.89166561e+02 2.58937230e+03
5.89169856e+02 2.32487274e+03
5.89173152e+02 2.09884931e+03
5.89176447e+02 2.39271329e+03
5.89179742e+02 1.66838305e+03
5.89183037e+02 2.06841150e+03
5.89186332e+02 1.39541101e+03
5.89189627e+02 9.02189467e+02
5.89192922e+02 1.03642437e+03
5.89196217e+02 6.97337279e+02
5.89199513e+02 4.56528249e+02
5.89202808e+02 5.16923033e+02
5.89206103e+02 2.36326017e+02
5.89209398e+02 8.83388505e+02
5.89212693e+02 3.01959594e+03
5.89215988e+02 7.48831783e+03
5.89219283e+02 1.42321222e+04
5.89222578e+02 1.91305806e+04
5.89225873e+02 1.80985235e+04
5.89229169e+02 1.16113935e+04
5.89232464e+02 5.58217694e+03
5.89235759e+02 3.39150677e+03
5.89239054e+02 3.15068776e+03
5.89242349e+02 3.17232868e+03
5.89245644e+02 2.83609214e+03
5.89248939e+02 2.70812160e+03
5.89252234e+02 2.98324594e+03
5.89255530e+02 3.09241681e+03
5.89258825e+02 3.09000955e+03
5.89262120e+02 3.38361202e+03
5.89265415e+02 3.36075485e+03
5.89268710e+02 3.60057875e+03
5.89272005e+02 3.23661143e+03
5.89275300e+02 2.85956655e+03
5.89278595e+02 3.11357136e+03
5.89281890e+02 3.74351826e+03
5.89285186e+02 4.07168474e+03
5.89288481e+02 3.40896159e+03
5.89291776e+02 3.29777157e+03
5.89295071e+02 3.66783828e+03
5.89298366e+02 3.50687335e+03
5.89301661e+02 4.18028157e+03
5.89304956e+02 3.48896506e+03
5.89308251e+02 3.39586381e+03
