# Wavelength Flux(MR)
5.89097364e+02 -3.47201275e+26
5.89100659e+02 -1.70833877e+27
5.89103954e+02 -1.14383533e+27
5.89107249e+02 -5.17801777e+26
5.89110544e+02 4.29977768e+26
5.89113839e+02 8.18252203e+26
5.89117135e+02 1.02300683e+26
5.89120430e+02 -8.82662910e+26
5.89123725e+02 -6.09293484e+26
5.89127020e+02 -1.57339423e+27
5.89130315e+02 -1.71684609e+26
5.89133610e+02 7.05653377e+26
5.89136905e+02 2.44555992e+27
5.89140200e+02 2.42884691e+27
5.89143496e+02 1.88896750e+27
5.89146791e+02 1.90283101e+26
5.89150086e+02 -3.20424962e+26
5.89153381e+02 -4.89762079e+26
5.89156676e+02 7.47512996e+26
5.89159971e+02 1.03583946e+27
5.89163266e+02 9.13725802e+26
5.89166561e+02 1.03402155e+27
5.89169856e+02 6.22923178e+26
5.89173152e+02 3.21090668e+26
5.89176447e+02 1.72236880e+27
5.89179742e+02 -2.59097341e+26
5.89183037e+02 1.48042034e+27
5.89186332e+02 -3.30001141e+26
5.89189627e+02 -1.54654257e+27
5.89192922e+02 -7.04054264e+26
5.89196217e+02 -1.47656759e+27
5.89199513e+02 -2.00758528e+27
5.89202808e+02 -1.66101678e+27
5.89206103e+02 -2.59084203e+27
5.89209398e+02 -6.09288861e+26
5.89212693e+02 6.14705935e+27
5.89215988e+02 2.04910290e+28
5.89219283e+02 4.22641809e+28
5.89222578e+02 5.78597140e+28
5.89225873e+02 5.37864614e+28
5.89229169e+02 3.16487055e+28
5.89232464e+02 1.10476101e+28
5.89235759e+02 3.19104442e+27
5.89239054e+02 1.83241304e+27
5.89242349e+02 1.38741635e+27
5.89245644e+02 -1.97202755e+26
5.89248939e+02 -1.04679817e+27
5.89252234e+02 -5.16402655e+26
5.89255530e+02 -4.90629152e+26
5.89258825e+02 -7.90499849e+26
5.89262120e+02 -6.88815265e+25
5.89265415e+02 -3.58261318e+26
5.89268710e+02 2.52560715e+26
5.89272005e+02 -1.11320688e+27
5.89275300e+02 -2.50683102e+27
5.89278595e+02 -1.79999024e+27
5.89281890e+02 1.63075150e+26
5.89285186e+02 1.14529983e+27
5.89288481e+02 -1.12144650e+27
