# Wavelength Flux(MR)
5.89097364e+02 3.97449239e+26
5.89100659e+02 1.66554359e+27
5.89103954e+02 2.67164667e+27
5.89107249e+02 -2.70143213e+27
5.89110544e+02 5.72035678e+26
5.89113839e+02 5.26072529e+27
5.89117135e+02 -1.47568889e+27
5.89120430e+02 -1.23183335e+27
5.89123725e+02 -2.27516210e+27
5.89127020e+02 -3.32203702e+27
5.89130315e+02 -1.33854933e+27
5.89133610e+02 2.75366626e+27
5.89136905e+02 3.38262887e+27
5.89140200e+02 4.16958435e+27
5.89143496e+02 4.23495563e+27
5.89146791e+02 -8.03572119e+26
5.89150086e+02 -1.68554290e+27
5.89153381e+02 -2.13250974e+26
5.89156676e+02 -3.21224569e+27
5.89159971e+02 -1.69117075e+27
5.89163266e+02 -3.87232654e+27
5.89166561e+02 -2.23291434e+27
5.89169856e+02 1.55071838e+26
5.89173152e+02 1.08106123e+26
5.89176447e+02 1.32216024e+27
5.89179742e+02 2.73886133e+27
5.89183037e+02 1.52606548e+27
5.89186332e+02 -3.18872708e+27
5.89189627e+02 3.22869892e+26
5.89192922e+02 2.04856221e+27
5.89196217e+02 4.92359309e+26
5.89199513e+02 -2.68172034e+27
5.89202808e+02 -5.04650288e+27
5.89206103e+02 1.26737901e+27
5.89209398e+02 -9.23784690e+26
5.89212693e+02 7.25056042e+27
5.89215988e+02 2.51877303e+28
5.89219283e+02 4.05716860e+28
5.89222578e+02 5.67656796e+28
5.89225873e+02 5.25057222e+28
5.89229169e+02 3.12611231e+28
5.89232464e+02 1.30423214e+28
5.89235759e+02 3.76398461e+27
5.89239054e+02 1.74743910e+27
5.89242349e+02 9.97024498e+26
5.89245644e+02 -4.46232991e+27
5.89248939e+02 -3.19275079e+27
5.89252234e+02 -9.46428155e+26
5.89255530e+02 1.46790119e+27
5.89258825e+02 1.05157927e+27
5.89262120e+02 2.12730085e+27
5.89265415e+02 1.19661676e+27
5.89268710e+02 3.51660932e+27
5.89272005e+02 -5.57847659e+26
5.89275300e+02 -3.83712252e+27
5.89278595e+02 -1.17231954e+27
5.89281890e+02 -1.53474203e+27
5.89285186e+02 -6.16256837e+26
5.89288481e+02 -5.29669164e+27
5.89291776e+02 2.78211745e+27
5.89295071e+02 1.89699219e+24
5.89298366e+02 9.83443068e+26
5.89301661e+02 2.15045846e+27
5.89304956e+02 8.13834382e+26
5.89308251e+02 2.26331879e+27
5.89311547e+02 -7.64891092e+26
5.89314842e+02 -5.66837481e+26
5.89318137e+02 -4.47071820e+26
5.89321432e+02 4.82031917e+26
5.89324727e+02 -5.25612607e+26
5.89328022e+02 -7.75704667e+27
5.89331317e+02 1.52382824e+27
5.89334612e+02 4.86132842e+27
5.89337907e+02 4.31757763e+27
5.89341203e+02 7.51609306e+26
5.89344498e+02 3.69877186e+27
5.89347793e+02 2.53116165e+26
5.89351088e+02 1.42213445e+26
5.89354383e+02 1.48980092e+26
5.89357678e+02 -3.53986994e+27
5.89360973e+02 -1.91806258e+26
5.89364268e+02 3.96111302e+27
5.89367564e+02 2.30989728e+26
5.89370859e+02 -2.25413275e+27
5.89374154e+02 -2.46487443e+27
5.89377449e+02 -3.16316420e+27
5.89380744e+02 -6.59065687e+26
5.89384039e+02 3.35843196e+27
5.89387334e+02 1.27166534e+27
5.89390629e+02 -9.52946576e+26
5.89393924e+02 -1.71808253e+27
5.89397220e+02 1.13928515e+27
5.89400515e+02 -6.90864019e+26
5.89403810e+02 -1.80441810e+27
5.89407105e+02 -1.15371009e+27
5.89410400e+02 1.08302467e+27
5.89413695e+02 4.70267808e+27
5.89416990e+02 2.61365403e+27
5.89420285e+02 9.35164652e+26
5.89423581e+02 2.98591882e+27
5.89426876e+02 3.20145671e+27
5.89430171e+02 2.29636629e+26
5.89433466e+02 5.64627794e+26
5.89436761e+02 -3.46303517e+26
5.89440056e+02 -3.39731237e+27
5.89443351e+02 -4.11329866e+26
5.89446646e+02 -2.30215531e+27
5.89449941e+02 -2.30682577e+27
5.89453237e+02 2.95565409e+27
5.89456532e+02 1.58568265e+26
5.89459827e+02 -1.74954187e+27
5.89463122e+02 8.87591001e+25
5.89466417e+02 1.01917289e+27
5.89469712e+02 3.59406708e+26
5.89473007e+02 8.42506036e+26
5.89476302e+02 8.76933870e+26
5.89479598e+02 4.79336815e+26
5.89482893e+02 -1.65062771e+26
5.89486188e+02 -4.30235509e+26
5.89489483e+02 -4.17703475e+27
5.89492778e+02 -5.06297424e+27
5.89496073e+02 -3.88693864e+27
5.89499368e+02 -4.03498449e+27
5.89502663e+02 -4.69337479e+27
5.89505959e+02 -2.31900686e+27
5.89509254e+02 -5.64504047e+26
5.89512549e+02 -1.56277560e+27
5.89515844e+02 -1.77503127e+27
5.89519139e+02 -1.75986947e+27
5.89522434e+02 2.36728354e+27
5.89525729e+02 1.07381951e+27
5.89529024e+02 4.77047360e+26
5.89532319e+02 -5.71136798e+26
5.89535615e+02 -3.00426819e+27
5.89538910e+02 9.99863072e+26
5.89542205e+02 6.37460288e+26
