filename,cts2MR
MERCURY1_tr.totfib_sft-05,3.39744609e+24
MERCURY1_tr.totfib_sft005,3.39457162e+24
MERCURY1_tr.totfib_sft015,3.39329138e+24
MERCURY2_tr.totfib_sft-05,3.37213417e+24
MERCURY2_tr.totfib_sft005,3.36938824e+24
MERCURY2_tr.totfib_sft015,3.36821181e+24
MERCURY3_tr.totfib_sft-05,3.32817156e+24
MERCURY3_tr.totfib_sft005,3.32546824e+24
MERCURY3_tr.totfib_sft015,3.32431394e+24
MERCURY4_tr.totfib_sft-05,3.31531885e+24
MERCURY4_tr.totfib_sft005,3.31248092e+24
MERCURY4_tr.totfib_sft015,3.31123333e+24
MERCURY5_tr.totfib_sft-05,1.07554060e+25
MERCURY5_tr.totfib_sft005,1.07463174e+25
MERCURY5_tr.totfib_sft015,1.07419019e+25
